role,market_view,denominator,event_year,pit_observations,raw_up_crossings,raw_down_crossings,declustered_up_episodes,declustered_down_episodes,matched_up_episodes,matched_down_episodes
closing_acceptance,ALL_A,ALL_STATUS,2018,0,0,0,0,0,0,0
closing_acceptance,ALL_A,ALL_STATUS,2019,0,0,0,0,0,0,0
closing_acceptance,ALL_A,ALL_STATUS,2020,187,51,51,3,2,0,0
closing_acceptance,ALL_A,ALL_STATUS,2021,243,69,69,1,4,0,0
closing_acceptance,ALL_A,ALL_STATUS,2022,242,65,66,4,2,0,0
closing_acceptance,ALL_A,ALL_STATUS,2023,237,62,62,3,4,0,0
closing_acceptance,ALL_A,NON_ST,2018,0,0,0,0,0,0,0
closing_acceptance,ALL_A,NON_ST,2019,0,0,0,0,0,0,0
closing_acceptance,ALL_A,NON_ST,2020,187,50,50,2,2,0,0
closing_acceptance,ALL_A,NON_ST,2021,243,71,71,1,3,0,0
closing_acceptance,ALL_A,NON_ST,2022,242,64,65,3,3,0,0
closing_acceptance,ALL_A,NON_ST,2023,237,61,61,2,4,0,0
closing_acceptance,CHINEXT_BOARD,ALL_STATUS,2018,0,0,0,0,0,0,0
closing_acceptance,CHINEXT_BOARD,ALL_STATUS,2019,0,0,0,0,0,0,0
closing_acceptance,CHINEXT_BOARD,ALL_STATUS,2020,187,50,49,3,2,0,0
closing_acceptance,CHINEXT_BOARD,ALL_STATUS,2021,243,60,60,4,5,0,0
closing_acceptance,CHINEXT_BOARD,ALL_STATUS,2022,242,62,63,5,3,0,0
closing_acceptance,CHINEXT_BOARD,ALL_STATUS,2023,237,64,64,3,3,0,0
closing_acceptance,CHINEXT_BOARD,NON_ST,2018,0,0,0,0,0,0,0
closing_acceptance,CHINEXT_BOARD,NON_ST,2019,0,0,0,0,0,0,0
closing_acceptance,CHINEXT_BOARD,NON_ST,2020,187,50,49,3,2,0,0
closing_acceptance,CHINEXT_BOARD,NON_ST,2021,243,60,60,4,5,0,0
closing_acceptance,CHINEXT_BOARD,NON_ST,2022,242,60,61,5,4,0,0
closing_acceptance,CHINEXT_BOARD,NON_ST,2023,237,64,64,3,3,0,0
closing_acceptance,SH_A,ALL_STATUS,2018,0,0,0,0,0,0,0
closing_acceptance,SH_A,ALL_STATUS,2019,0,0,0,0,0,0,0
closing_acceptance,SH_A,ALL_STATUS,2020,187,55,55,1,1,0,0
closing_acceptance,SH_A,ALL_STATUS,2021,243,64,65,1,4,0,0
closing_acceptance,SH_A,ALL_STATUS,2022,242,65,65,6,2,0,1
closing_acceptance,SH_A,ALL_STATUS,2023,237,63,63,3,3,0,0
closing_acceptance,SH_A,NON_ST,2018,0,0,0,0,0,0,0
closing_acceptance,SH_A,NON_ST,2019,0,0,0,0,0,0,0
closing_acceptance,SH_A,NON_ST,2020,187,53,53,1,1,0,0
closing_acceptance,SH_A,NON_ST,2021,243,64,65,1,3,0,0
closing_acceptance,SH_A,NON_ST,2022,242,62,62,6,3,0,1
closing_acceptance,SH_A,NON_ST,2023,237,65,65,2,3,0,0
closing_acceptance,SZ_A,ALL_STATUS,2018,0,0,0,0,0,0,0
closing_acceptance,SZ_A,ALL_STATUS,2019,0,0,0,0,0,0,0
closing_acceptance,SZ_A,ALL_STATUS,2020,187,51,50,2,3,0,0
closing_acceptance,SZ_A,ALL_STATUS,2021,243,70,70,2,3,0,0
closing_acceptance,SZ_A,ALL_STATUS,2022,242,64,64,2,3,0,0
closing_acceptance,SZ_A,ALL_STATUS,2023,237,57,58,4,4,0,0
closing_acceptance,SZ_A,NON_ST,2018,0,0,0,0,0,0,0
closing_acceptance,SZ_A,NON_ST,2019,0,0,0,0,0,0,0
closing_acceptance,SZ_A,NON_ST,2020,187,50,49,2,3,0,0
closing_acceptance,SZ_A,NON_ST,2021,243,70,70,2,2,0,0
closing_acceptance,SZ_A,NON_ST,2022,242,63,63,3,4,0,0
closing_acceptance,SZ_A,NON_ST,2023,237,58,59,3,4,0,0
closing_rejection_depth,ALL_A,ALL_STATUS,2018,0,0,0,0,0,0,0
closing_rejection_depth,ALL_A,ALL_STATUS,2019,0,0,0,0,0,0,0
closing_rejection_depth,ALL_A,ALL_STATUS,2020,187,52,53,1,3,0,0
closing_rejection_depth,ALL_A,ALL_STATUS,2021,243,66,66,3,5,0,0
closing_rejection_depth,ALL_A,ALL_STATUS,2022,242,52,52,5,9,3,0
closing_rejection_depth,ALL_A,ALL_STATUS,2023,237,49,48,11,1,0,1
closing_rejection_depth,ALL_A,NON_ST,2018,0,0,0,0,0,0,0
closing_rejection_depth,ALL_A,NON_ST,2019,0,0,0,0,0,0,0
closing_rejection_depth,ALL_A,NON_ST,2020,187,53,54,1,2,0,0
closing_rejection_depth,ALL_A,NON_ST,2021,243,65,65,3,5,0,0
closing_rejection_depth,ALL_A,NON_ST,2022,242,52,52,5,8,1,0
closing_rejection_depth,ALL_A,NON_ST,2023,237,49,48,11,0,0,0
