role,market_view,denominator,scope,scope_value,direction,horizon,outcome,n,mean,median,positive,p10,p90
closing_acceptance,SH_A,ALL_STATUS,overall,ALL,DOWN,1,downside,1,0.014480237185106205,0.014480237185106205,1,0.014480237185106205,0.014480237185106205
closing_acceptance,SH_A,ALL_STATUS,year,2022,DOWN,1,downside,1,0.014480237185106205,0.014480237185106205,1,0.014480237185106205,0.014480237185106205
closing_acceptance,SH_A,ALL_STATUS,overall,ALL,DOWN,1,terminal,1,0.017193198971944802,0.017193198971944802,1,0.017193198971944802,0.017193198971944802
closing_acceptance,SH_A,ALL_STATUS,year,2022,DOWN,1,terminal,1,0.017193198971944802,0.017193198971944802,1,0.017193198971944802,0.017193198971944802
closing_acceptance,SH_A,ALL_STATUS,overall,ALL,DOWN,3,downside,1,0.0227293754772829,0.0227293754772829,1,0.0227293754772829,0.0227293754772829
closing_acceptance,SH_A,ALL_STATUS,year,2022,DOWN,3,downside,1,0.0227293754772829,0.0227293754772829,1,0.0227293754772829,0.0227293754772829
closing_acceptance,SH_A,ALL_STATUS,overall,ALL,DOWN,3,terminal,1,0.038503334059907496,0.038503334059907496,1,0.038503334059907496,0.038503334059907496
closing_acceptance,SH_A,ALL_STATUS,year,2022,DOWN,3,terminal,1,0.038503334059907496,0.038503334059907496,1,0.038503334059907496,0.038503334059907496
closing_acceptance,SH_A,ALL_STATUS,overall,ALL,DOWN,5,downside,1,0.040229694552798401,0.040229694552798401,1,0.040229694552798401,0.040229694552798401
closing_acceptance,SH_A,ALL_STATUS,year,2022,DOWN,5,downside,1,0.040229694552798401,0.040229694552798401,1,0.040229694552798401,0.040229694552798401
closing_acceptance,SH_A,ALL_STATUS,overall,ALL,DOWN,5,terminal,1,0.0621264595196254,0.0621264595196254,1,0.0621264595196254,0.0621264595196254
closing_acceptance,SH_A,ALL_STATUS,year,2022,DOWN,5,terminal,1,0.0621264595196254,0.0621264595196254,1,0.0621264595196254,0.0621264595196254
closing_acceptance,SH_A,NON_ST,overall,ALL,DOWN,1,downside,1,-0.0039768837671565992,-0.0039768837671565992,0,-0.0039768837671565992,-0.0039768837671565992
closing_acceptance,SH_A,NON_ST,year,2022,DOWN,1,downside,1,-0.0039768837671565992,-0.0039768837671565992,0,-0.0039768837671565992,-0.0039768837671565992
closing_acceptance,SH_A,NON_ST,overall,ALL,DOWN,1,terminal,1,-0.0039875958197077999,-0.0039875958197077999,0,-0.0039875958197077999,-0.0039875958197077999
closing_acceptance,SH_A,NON_ST,year,2022,DOWN,1,terminal,1,-0.0039875958197077999,-0.0039875958197077999,0,-0.0039875958197077999,-0.0039875958197077999
closing_acceptance,SH_A,NON_ST,overall,ALL,DOWN,3,downside,1,0.011782310696405299,0.011782310696405299,1,0.011782310696405299,0.011782310696405299
closing_acceptance,SH_A,NON_ST,year,2022,DOWN,3,downside,1,0.011782310696405299,0.011782310696405299,1,0.011782310696405299,0.011782310696405299
closing_acceptance,SH_A,NON_ST,overall,ALL,DOWN,3,terminal,1,0.0223597675253897,0.0223597675253897,1,0.0223597675253897,0.0223597675253897
closing_acceptance,SH_A,NON_ST,year,2022,DOWN,3,terminal,1,0.0223597675253897,0.0223597675253897,1,0.0223597675253897,0.0223597675253897
closing_acceptance,SH_A,NON_ST,overall,ALL,DOWN,5,downside,1,0.020187568831852,0.020187568831852,1,0.020187568831852,0.020187568831852
closing_acceptance,SH_A,NON_ST,year,2022,DOWN,5,downside,1,0.020187568831852,0.020187568831852,1,0.020187568831852,0.020187568831852
closing_acceptance,SH_A,NON_ST,overall,ALL,DOWN,5,terminal,1,0.038614909544756403,0.038614909544756403,1,0.038614909544756403,0.038614909544756403
closing_acceptance,SH_A,NON_ST,year,2022,DOWN,5,terminal,1,0.038614909544756403,0.038614909544756403,1,0.038614909544756403,0.038614909544756403
closing_rejection_depth,ALL_A,ALL_STATUS,overall,ALL,DOWN,1,downside,1,0.0056761298356510989,0.0056761298356510989,1,0.0056761298356510989,0.0056761298356510989
closing_rejection_depth,ALL_A,ALL_STATUS,year,2023,DOWN,1,downside,1,0.0056761298356510989,0.0056761298356510989,1,0.0056761298356510989,0.0056761298356510989
closing_rejection_depth,ALL_A,ALL_STATUS,overall,ALL,DOWN,1,terminal,1,0.0055837849161777661,0.0055837849161777661,1,0.0055837849161777661,0.0055837849161777661
closing_rejection_depth,ALL_A,ALL_STATUS,year,2023,DOWN,1,terminal,1,0.0055837849161777661,0.0055837849161777661,1,0.0055837849161777661,0.0055837849161777661
closing_rejection_depth,ALL_A,ALL_STATUS,overall,ALL,DOWN,3,downside,1,0.00047881392623230074,0.00047881392623230074,1,0.00047881392623230074,0.00047881392623230074
closing_rejection_depth,ALL_A,ALL_STATUS,year,2023,DOWN,3,downside,1,0.00047881392623230074,0.00047881392623230074,1,0.00047881392623230074,0.00047881392623230074
closing_rejection_depth,ALL_A,ALL_STATUS,overall,ALL,DOWN,3,terminal,1,0.021211135591615936,0.021211135591615936,1,0.021211135591615936,0.021211135591615936
closing_rejection_depth,ALL_A,ALL_STATUS,year,2023,DOWN,3,terminal,1,0.021211135591615936,0.021211135591615936,1,0.021211135591615936,0.021211135591615936
