market_view,denominator,event_year,response_dates,anchor_security_rows,response_security_rows,minimum_response_retention,minimum_response_count
ALL_A,ALL_STATUS,2018,203,635408,634308,0.9896632210736912,2918
ALL_A,ALL_STATUS,2019,244,819132,818198,0.99094749547374772,3229
ALL_A,ALL_STATUS,2020,243,877191,876375,0.99234693877551017,3479
ALL_A,ALL_STATUS,2021,243,988954,987906,0.99398345449987469,3857
ALL_A,ALL_STATUS,2022,242,1074823,1072234,0.98912792042563036,4251
ALL_A,ALL_STATUS,2023,237,1130037,1127684,0.98832432432432438,4541
ALL_A,NON_ST,2018,203,625047,623952,0.98948796202102407,2870
ALL_A,NON_ST,2019,244,799935,799010,0.99070919789408485,3141
ALL_A,NON_ST,2020,243,846907,846134,0.99203774697729286,3342
ALL_A,NON_ST,2021,243,959776,958828,0.99379524301964839,3720
ALL_A,NON_ST,2022,242,1054491,1052372,0.98944157672454247,4198
ALL_A,NON_ST,2023,237,1112180,1110172,0.98928024502297085,4484
CHINEXT_BOARD,ALL_STATUS,2018,203,135171,135166,0.99846625766871167,626
CHINEXT_BOARD,ALL_STATUS,2019,244,174484,174479,0.99863574351978168,693
CHINEXT_BOARD,ALL_STATUS,2020,243,188525,188510,0.99869281045751634,736
CHINEXT_BOARD,ALL_STATUS,2021,243,222955,222909,0.99506903353057197,838
CHINEXT_BOARD,ALL_STATUS,2022,242,265333,265085,0.99439775910364148,1011
CHINEXT_BOARD,ALL_STATUS,2023,237,292795,292600,0.99338296112489666,1177
CHINEXT_BOARD,NON_ST,2018,203,135171,135166,0.99846625766871167,626
CHINEXT_BOARD,NON_ST,2019,244,174484,174479,0.99863574351978168,693
CHINEXT_BOARD,NON_ST,2020,243,188381,188366,0.99869281045751634,736
CHINEXT_BOARD,NON_ST,2021,243,220737,220701,0.99700299700299699,836
CHINEXT_BOARD,NON_ST,2022,242,263315,263147,0.99528301886792447,1000
CHINEXT_BOARD,NON_ST,2023,237,290539,290383,0.99417152373022477,1171
SH_A,ALL_STATUS,2018,203,252717,251647,0.97372881355932206,1089
SH_A,ALL_STATUS,2019,244,329715,328796,0.97722095671981779,1226
SH_A,ALL_STATUS,2020,243,367832,367058,0.98143053645116918,1396
SH_A,ALL_STATUS,2021,243,431612,430785,0.98601398601398604,1668
SH_A,ALL_STATUS,2022,242,473770,472125,0.97771883289124673,1812
SH_A,ALL_STATUS,2023,237,497097,495431,0.97546319479218824,1908
SH_A,NON_ST,2018,203,246998,245928,0.97309027777777779,1061
SH_A,NON_ST,2019,244,321068,320153,0.97658079625292737,1189
SH_A,NON_ST,2020,243,355531,354773,0.98074179743223966,1341
SH_A,NON_ST,2021,243,420018,419216,0.98563734290843807,1610
SH_A,NON_ST,2022,242,466229,464774,0.97750401713979651,1793
SH_A,NON_ST,2023,237,490662,489113,0.97666159309994927,1881
SZ_A,ALL_STATUS,2018,203,382691,382661,0.99891716296697342,1793
SZ_A,ALL_STATUS,2019,244,489417,489402,0.99950641658440276,1973
SZ_A,ALL_STATUS,2020,243,509359,509317,0.9986257443884563,2039
SZ_A,ALL_STATUS,2021,243,557342,557121,0.9945583926329008,2187
SZ_A,ALL_STATUS,2022,242,601053,600109,0.98983326555510365,2380
SZ_A,ALL_STATUS,2023,237,632940,632253,0.98863636363636365,2588
SZ_A,NON_ST,2018,203,378049,378024,0.99890410958904108,1774
SZ_A,NON_ST,2019,244,478867,478857,0.99949367088607599,1937
SZ_A,NON_ST,2020,243,491376,491361,0.99949924887330999,1980
SZ_A,NON_ST,2021,243,539758,539612,0.9974025974025974,2108
SZ_A,NON_ST,2022,242,588262,587598,0.99001248439450684,2328
SZ_A,NON_ST,2023,237,621518,621059,0.99151234567901236,2542
