symbol,trade_date,selection_hash,field,exact_match,aggregate_hex,scalar_hex
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,coordinate_close_t,True,0x1.de7fa17f7b623p-1,0x1.de7fa17f7b623p-1
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,coordinate_close_t1,True,0x1.df3dd769d10a8p-1,0x1.df3dd769d10a8p-1
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,coordinate_close_t3,True,0x1.da0a5e0179705p-1,0x1.da0a5e0179705p-1
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,coordinate_close_t5,True,0x1.dd0335aad0119p-1,0x1.dd0335aad0119p-1
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,mapped_low_t1,True,0x1.d88df22cce1fdp-1,0x1.d88df22cce1fdp-1
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,mapped_low_t2,True,0x1.d653506dcd26dp-1,0x1.d653506dcd26dp-1
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,mapped_low_t3,True,0x1.d711865822cf1p-1,0x1.d711865822cf1p-1
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,mapped_low_t4,True,0x1.d653506dcd26ep-1,0x1.d653506dcd26ep-1
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,mapped_low_t5,True,0x1.d88df22cce1fdp-1,0x1.d88df22cce1fdp-1
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,terminal_log_return_h1,True,0x1.96bd7d1b0e5dap-10,0x1.96bd7d1b0e5dap-10
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,terminal_log_return_h3,True,-0x1.32b915c3a2d36p-7,-0x1.32b915c3a2d36p-7
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,terminal_log_return_h5,True,-0x1.97b07517d6dd3p-9,-0x1.97b07517d6dd3p-9
601117.SH,2018-09-03,00000db7a19beb1c3d1562ab4b2e6b4a3d443e3d84b74bd88bcb8a9f52d63556,adverse_log_excursion_h1,True,-0x1.999af7222eb80p-7,-0x1.999af7222eb80p-7
