audit_type,scope,scope_value,market_view,denominator,coordinate,target,control_role,control_column,n,spearman,r2,adjusted_r2
joint_rank_regression,block,A,ALL_A,ALL_STATUS,absolute,breakout_formation_depth20,all_five_primary,breadth_net_new_high_low60_pit_3y_pct|realized_volatility_median20_pit_3y_pct|median_signed_limit_utilization|open_close_log_return__median|intraday_log_range__median,107,,0.37269231766179622,0.34163748190247922
joint_rank_regression,block,A,ALL_A,ALL_STATUS,pit,breakout_formation_depth20_pit_3y_pct,all_five_primary,breadth_net_new_high_low60_pit_3y_pct|realized_volatility_median20_pit_3y_pct|median_signed_limit_utilization|open_close_log_return__median|intraday_log_range__median,107,,0.37489056705550761,0.34394455552360204
joint_rank_regression,block,A,ALL_A,NON_ST,absolute,breakout_formation_depth20,all_five_primary,breadth_net_new_high_low60_pit_3y_pct|realized_volatility_median20_pit_3y_pct|median_signed_limit_utilization|open_close_log_return__median|intraday_log_range__median,107,,0.35498793880098656,0.32305664864261951
joint_rank_regression,block,A,ALL_A,NON_ST,pit,breakout_formation_depth20_pit_3y_pct,all_five_primary,breadth_net_new_high_low60_pit_3y_pct|realized_volatility_median20_pit_3y_pct|median_signed_limit_utilization|open_close_log_return__median|intraday_log_range__median,107,,0.35766248163729197,0.32586359458963321
joint_rank_regression,block,A,CHINEXT_BOARD,ALL_STATUS,absolute,breakout_formation_depth20,all_five_primary,breadth_net_new_high_low60_pit_3y_pct|realized_volatility_median20_pit_3y_pct|median_signed_limit_utilization|open_close_log_return__median|intraday_log_range__median,107,,0.34752511579460532,0.31522437895275413
joint_rank_regression,block,A,CHINEXT_BOARD,ALL_STATUS,pit,breakout_formation_depth20_pit_3y_pct,all_five_primary,breadth_net_new_high_low60_pit_3y_pct|realized_volatility_median20_pit_3y_pct|median_signed_limit_utilization|open_close_log_return__median|intraday_log_range__median,107,,0.39295249153774114,0.3629006346831738
joint_rank_regression,block,A,CHINEXT_BOARD,NON_ST,absolute,breakout_formation_depth20,all_five_primary,breadth_net_new_high_low60_pit_3y_pct|realized_volatility_median20_pit_3y_pct|median_signed_limit_utilization|open_close_log_return__median|intraday_log_range__median,107,,0.34842615550908518,0.31617002459369337
joint_rank_regression,block,A,CHINEXT_BOARD,NON_ST,pit,breakout_formation_depth20_pit_3y_pct,all_five_primary,breadth_net_new_high_low60_pit_3y_pct|realized_volatility_median20_pit_3y_pct|median_signed_limit_utilization|open_close_log_return__median|intraday_log_range__median,107,,0.39466773885673467,0.36470079523578092
joint_rank_regression,block,A,SH_A,ALL_STATUS,absolute,breakout_formation_depth20,all_five_primary,breadth_net_new_high_low60_pit_3y_pct|realized_volatility_median20_pit_3y_pct|median_signed_limit_utilization|open_close_log_return__median|intraday_log_range__median,107,,0.5132700628240594,0.48917452137970585
joint_rank_regression,block,A,SH_A,ALL_STATUS,pit,breakout_formation_depth20_pit_3y_pct,all_five_primary,breadth_net_new_high_low60_pit_3y_pct|realized_volatility_median20_pit_3y_pct|median_signed_limit_utilization|open_close_log_return__median|intraday_log_range__median,107,,0.49758919753340947,0.47271737562912275
