market_view,denominator,event_year,stratum,eligible_dates,complete_dates,minimum_anchor_count,minimum_response_count,minimum_response_retention,pit_complete_rows
ALL_A,ALL_STATUS,2018,1,201,201,5,5,0.94117647058823528,0
ALL_A,ALL_STATUS,2018,2,201,201,5,5,0.92307692307692313,0
ALL_A,ALL_STATUS,2018,3,201,200,5,5,0.81818181818181823,0
ALL_A,ALL_STATUS,2018,4,201,201,5,5,0.95238095238095233,0
ALL_A,ALL_STATUS,2018,5,201,201,5,5,0.92307692307692313,0
ALL_A,ALL_STATUS,2019,1,243,242,7,7,0.90000000000000002,0
ALL_A,ALL_STATUS,2019,2,243,242,7,7,0.9375,0
ALL_A,ALL_STATUS,2019,3,243,242,7,7,0.88888888888888884,0
ALL_A,ALL_STATUS,2019,4,243,242,7,7,0.91666666666666663,0
ALL_A,ALL_STATUS,2019,5,243,242,6,6,0.90000000000000002,0
ALL_A,ALL_STATUS,2020,1,243,243,8,8,0.97222222222222221,184
ALL_A,ALL_STATUS,2020,2,243,243,8,8,0.96153846153846156,184
ALL_A,ALL_STATUS,2020,3,243,243,8,8,0.96296296296296291,184
ALL_A,ALL_STATUS,2020,4,243,243,8,8,0.96226415094339623,184
ALL_A,ALL_STATUS,2020,5,243,243,8,8,0.97435897435897434,184
ALL_A,ALL_STATUS,2021,1,243,243,20,20,0.97222222222222221,243
ALL_A,ALL_STATUS,2021,2,243,243,20,20,0.97701149425287359,243
ALL_A,ALL_STATUS,2021,3,243,243,19,19,0.97468354430379744,243
ALL_A,ALL_STATUS,2021,4,243,243,19,19,0.97222222222222221,243
ALL_A,ALL_STATUS,2021,5,243,243,19,19,0.96052631578947367,243
ALL_A,ALL_STATUS,2022,1,242,242,7,7,0.88888888888888884,242
ALL_A,ALL_STATUS,2022,2,242,242,7,7,0.91666666666666663,242
ALL_A,ALL_STATUS,2022,3,242,242,7,7,0.92307692307692313,242
ALL_A,ALL_STATUS,2022,4,242,242,7,7,0.88888888888888884,242
ALL_A,ALL_STATUS,2022,5,242,242,7,7,0.9285714285714286,242
ALL_A,ALL_STATUS,2023,1,242,237,16,0,0,242
ALL_A,ALL_STATUS,2023,2,242,237,16,0,0,242
ALL_A,ALL_STATUS,2023,3,242,237,16,0,0,242
ALL_A,ALL_STATUS,2023,4,242,237,16,0,0,242
ALL_A,ALL_STATUS,2023,5,242,237,15,0,0,242
ALL_A,NON_ST,2018,1,201,201,5,5,0.94117647058823528,0
ALL_A,NON_ST,2018,2,201,201,5,5,0.90909090909090906,0
ALL_A,NON_ST,2018,3,201,200,5,5,0.81818181818181823,0
ALL_A,NON_ST,2018,4,201,201,5,5,0.94999999999999996,0
ALL_A,NON_ST,2018,5,201,201,5,5,0.92307692307692313,0
ALL_A,NON_ST,2019,1,243,242,7,7,0.90000000000000002,0
ALL_A,NON_ST,2019,2,243,242,7,7,0.93548387096774188,0
ALL_A,NON_ST,2019,3,243,242,7,7,0.88888888888888884,0
ALL_A,NON_ST,2019,4,243,242,7,7,0.91666666666666663,0
ALL_A,NON_ST,2019,5,243,242,6,6,0.90000000000000002,0
ALL_A,NON_ST,2020,1,243,243,8,8,0.97142857142857142,184
ALL_A,NON_ST,2020,2,243,243,8,8,0.96078431372549022,184
ALL_A,NON_ST,2020,3,243,243,7,7,0.96153846153846156,184
ALL_A,NON_ST,2020,4,243,243,7,7,0.96153846153846156,184
ALL_A,NON_ST,2020,5,243,243,7,7,0.97368421052631582,184
