selection_hash,closing_arm,symbol,trade_date,field,expected_value,observed_value,exact_match
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,adverse_log_excursion_h1,-0.013397329571821281,-0.013397329571821281,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,adverse_log_excursion_h3,-0.015325970478226933,-0.015325970478226933,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,adverse_log_excursion_h5,-0.015325970478226933,-0.015325970478226933,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,closing_arm,accepted,accepted,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,coordinate_close_t,0.69172541222319928,0.69172541222319928,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,coordinate_close_t1,0.69041034489958097,0.69041034489958097,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,coordinate_close_t3,0.6838350082814898,0.6838350082814898,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,coordinate_close_t5,0.7180267586955642,0.7180267586955642,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,mapped_low_t1,0.6825199409578715,0.6825199409578715,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,mapped_low_t2,0.68515007560510799,0.68515007560510799,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,mapped_low_t3,0.68120487363425319,0.68120487363425319,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,mapped_low_t4,0.68515007560510788,0.68515007560510788,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,mapped_low_t5,0.70093088348852695,0.70093088348852695,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,mapped_open_t1,0.69961581616490875,0.69961581616490875,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,mapped_open_t2,0.69304047954681747,0.69304047954681747,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,mapped_open_t3,0.69830074884129045,0.69830074884129045,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,mapped_open_t4,0.68778021025234448,0.68778021025234448,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,mapped_open_t5,0.70487608545938174,0.70487608545938174,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,post_trough_recovery_h1,0.011494379425735094,0.011494379425735094,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,post_trough_recovery_h3,0.0038535693159901258,0.0038535693159901258,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,post_trough_recovery_h5,0.052643733485421999,0.052643733485421999,True
00005dbe58ecca4fc223d186387bf56aa83337b483975e3c2f7a3d8367d8451c,accepted,002344.SZ,2023-05-05,preopen_path_to_trough_h1,0.01134227660393451,0.01134227660393451,True
