audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,n,partial_rho,low_n,high_n,tail_residual_gap
partial_rank,CROSSER_DOWNSIDE,block,A,ALL_A,ALL_STATUS,pit,3,107,-0.30456215789572127,,,
partial_rank,CROSSER_DOWNSIDE,block,A,ALL_A,NON_ST,pit,3,107,-0.3142635024394988,,,
partial_rank,CROSSER_DOWNSIDE,block,A,CHINEXT_BOARD,ALL_STATUS,pit,3,107,-0.15006695947050547,,,
partial_rank,CROSSER_DOWNSIDE,block,A,CHINEXT_BOARD,NON_ST,pit,3,107,-0.14676000257212515,,,
partial_rank,CROSSER_DOWNSIDE,block,A,SH_A,ALL_STATUS,pit,3,107,-0.2055749601432813,,,
partial_rank,CROSSER_DOWNSIDE,block,A,SH_A,NON_ST,pit,3,107,-0.21403798209598901,,,
partial_rank,CROSSER_DOWNSIDE,block,A,SZ_A,ALL_STATUS,pit,3,107,-0.28015996354770684,,,
partial_rank,CROSSER_DOWNSIDE,block,A,SZ_A,NON_ST,pit,3,107,-0.26864770824525702,,,
partial_rank,CROSSER_DOWNSIDE,block,B,ALL_A,ALL_STATUS,pit,3,722,-0.42504242811832599,,,
partial_rank,CROSSER_DOWNSIDE,block,B,ALL_A,NON_ST,pit,3,722,-0.43016653903998714,,,
partial_rank,CROSSER_DOWNSIDE,block,B,CHINEXT_BOARD,ALL_STATUS,pit,3,721,-0.35795845896054773,,,
partial_rank,CROSSER_DOWNSIDE,block,B,CHINEXT_BOARD,NON_ST,pit,3,722,-0.35285852216806146,,,
partial_rank,CROSSER_DOWNSIDE,block,B,SH_A,ALL_STATUS,pit,3,722,-0.43232846075704762,,,
partial_rank,CROSSER_DOWNSIDE,block,B,SH_A,NON_ST,pit,3,722,-0.43887455032218731,,,
partial_rank,CROSSER_DOWNSIDE,block,B,SZ_A,ALL_STATUS,pit,3,722,-0.38093870115473716,,,
partial_rank,CROSSER_DOWNSIDE,block,B,SZ_A,NON_ST,pit,3,722,-0.38201104010524928,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,1,829,-0.40807659498132076,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,3,829,-0.40392591477701306,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,5,829,-0.39170575654120754,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,1,829,-0.40752712343484304,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,3,829,-0.40725465539618599,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,5,829,-0.39618094522959951,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,1,829,-0.41675498699046692,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,3,829,-0.40847684870450823,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,5,829,-0.39702928642040408,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,1,829,-0.4165921269723844,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,3,829,-0.41196129087907579,,,
partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,5,829,-0.40177385738711963,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,1,828,-0.31436375000300565,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,3,828,-0.34529802076716237,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,5,828,-0.35658612997310035,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,1,828,-0.3048634417594196,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,3,828,-0.34071289670187221,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,5,828,-0.3532322696521627,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,1,829,-0.31316540832514095,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,3,829,-0.34075410554678071,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,5,829,-0.35166046775987952,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,1,829,-0.30296046195652759,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,3,829,-0.33549880055665959,,,
partial_rank,CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,5,829,-0.34771725394430281,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,1,829,-0.4085286680419476,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,3,829,-0.39549145179685091,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,5,829,-0.37846953499713332,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,1,829,-0.41114962955695356,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,3,829,-0.40203606294206318,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,5,829,-0.38313310117861782,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,1,829,-0.41710906787076957,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,3,829,-0.40166595612602463,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,5,829,-0.38366799630224507,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,1,829,-0.41964022348344165,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,3,829,-0.4082863340647892,,,
partial_rank,CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,5,829,-0.38869778919925102,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,1,829,-0.34858201784613763,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,3,829,-0.36190509574821766,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,5,829,-0.35760477881980685,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,1,829,-0.34765752953064499,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,3,829,-0.36532947177517355,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,5,829,-0.36241429932563834,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,1,829,-0.35083134611367922,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,3,829,-0.36227874755589684,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,5,829,-0.35892174993482806,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,1,829,-0.35029886591494347,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,3,829,-0.36586059758401041,,,
partial_rank,CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,5,829,-0.36366280592298017,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,ALL_A,ALL_STATUS,pit,3,722,-0.42504242811832599,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,ALL_A,NON_ST,pit,3,722,-0.43016653903998714,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,CHINEXT_BOARD,ALL_STATUS,pit,3,721,-0.35795845896054773,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,CHINEXT_BOARD,NON_ST,pit,3,722,-0.35285852216806146,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,SH_A,ALL_STATUS,pit,3,722,-0.43232846075704762,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,SH_A,NON_ST,pit,3,722,-0.43887455032218731,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,SZ_A,ALL_STATUS,pit,3,722,-0.38093870115473716,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2020,SZ_A,NON_ST,pit,3,722,-0.38201104010524928,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,ALL_A,ALL_STATUS,pit,3,586,-0.47327378512528978,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,ALL_A,NON_ST,pit,3,586,-0.47539514173496589,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,CHINEXT_BOARD,ALL_STATUS,pit,3,586,-0.39453756472183937,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,CHINEXT_BOARD,NON_ST,pit,3,586,-0.38907971061780183,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,SH_A,ALL_STATUS,pit,3,586,-0.43811998954726034,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,SH_A,NON_ST,pit,3,586,-0.44274853883792908,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,SZ_A,ALL_STATUS,pit,3,586,-0.43749213417657085,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2021,SZ_A,NON_ST,pit,3,586,-0.43323352385826819,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,ALL_A,ALL_STATUS,pit,3,587,-0.44742120381939932,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,ALL_A,NON_ST,pit,3,587,-0.45094025730011339,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,CHINEXT_BOARD,ALL_STATUS,pit,3,586,-0.34210470567841689,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,CHINEXT_BOARD,NON_ST,pit,3,587,-0.33573762307753974,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,SH_A,ALL_STATUS,pit,3,587,-0.45813267559828968,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,SH_A,NON_ST,pit,3,587,-0.46729462165871588,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,SZ_A,ALL_STATUS,pit,3,587,-0.37207455660317706,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2022,SZ_A,NON_ST,pit,3,587,-0.37072234503941692,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,ALL_A,ALL_STATUS,pit,3,592,-0.29029617313828976,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,ALL_A,NON_ST,pit,3,592,-0.29647600030998966,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,CHINEXT_BOARD,ALL_STATUS,pit,3,591,-0.2519904325826926,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,CHINEXT_BOARD,NON_ST,pit,3,592,-0.24749397217761207,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,SH_A,ALL_STATUS,pit,3,592,-0.28911895066396992,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,SH_A,NON_ST,pit,3,592,-0.29482596375027081,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,SZ_A,ALL_STATUS,pit,3,592,-0.27026560719552395,,,
partial_rank,CROSSER_DOWNSIDE,leave_one_year_out,2023,SZ_A,NON_ST,pit,3,592,-0.27428140190659389,,,
partial_rank,CROSSER_DOWNSIDE,phase,0,ALL_A,ALL_STATUS,pit,3,276,-0.41716762591769752,,,
partial_rank,CROSSER_DOWNSIDE,phase,0,ALL_A,ALL_STATUS,pit,5,166,-0.35541009475511015,,,
partial_rank,CROSSER_DOWNSIDE,phase,0,ALL_A,NON_ST,pit,3,276,-0.4214752797290317,,,
partial_rank,CROSSER_DOWNSIDE,phase,0,ALL_A,NON_ST,pit,5,166,-0.36361515263403033,,,
partial_rank,CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,3,276,-0.38709962374363815,,,
partial_rank,CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,5,166,-0.38145528595671824,,,
partial_rank,CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,NON_ST,pit,3,276,-0.38329459910698449,,,
partial_rank,CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,NON_ST,pit,5,166,-0.37801206721813635,,,
partial_rank,CROSSER_DOWNSIDE,phase,0,SH_A,ALL_STATUS,pit,3,276,-0.40945853531730164,,,
