source_row,audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,closing_arm,n,independent_value,authoritative_value,absolute_error,pass
0,partial_rank,,block,A,ALL_A,ALL_STATUS,pit,3,,107,-0.26256316161518739,-0.26256316161518728,1.1102230246251565e-16,True
1,partial_rank,,block,A,ALL_A,NON_ST,pit,3,,107,-0.2567750032734486,-0.2567750032734486,0,True
2,partial_rank,,block,A,CHINEXT_BOARD,ALL_STATUS,pit,3,,107,-0.11589828853462183,-0.11589828853462179,4.163336342344337e-17,True
3,partial_rank,,block,A,CHINEXT_BOARD,NON_ST,pit,3,,107,-0.11785463610969332,-0.1178546361096932,1.2490009027033011e-16,True
4,partial_rank,,block,A,SH_A,ALL_STATUS,pit,3,,107,-0.12335513429097029,-0.12335513429097029,0,True
5,partial_rank,,block,A,SH_A,NON_ST,pit,3,,107,-0.11225870032882841,-0.1122587003288284,1.3877787807814457e-17,True
6,partial_rank,,block,A,SZ_A,ALL_STATUS,pit,3,,107,-0.18979791681634442,-0.18979791681634439,2.7755575615628914e-17,True
7,partial_rank,,block,A,SZ_A,NON_ST,pit,3,,107,-0.18440290116721428,-0.18440290116721419,8.3266726846886741e-17,True
8,partial_rank,,block,B,ALL_A,ALL_STATUS,pit,3,,722,-0.12509955093544869,-0.12509955093544861,8.3266726846886741e-17,True
9,partial_rank,,block,B,ALL_A,NON_ST,pit,3,,722,-0.12794753731683772,-0.1279475373168377,2.7755575615628914e-17,True
10,partial_rank,,block,B,CHINEXT_BOARD,ALL_STATUS,pit,3,,721,-0.11692102322499387,-0.1169210232249939,2.7755575615628914e-17,True
11,partial_rank,,block,B,CHINEXT_BOARD,NON_ST,pit,3,,722,-0.11539842797890203,-0.115398427978902,2.7755575615628914e-17,True
12,partial_rank,,block,B,SH_A,ALL_STATUS,pit,3,,722,-0.12148216099483565,-0.12148216099483559,5.5511151231257827e-17,True
13,partial_rank,,block,B,SH_A,NON_ST,pit,3,,722,-0.12276878967721133,-0.1227687896772113,2.7755575615628914e-17,True
14,partial_rank,,block,B,SZ_A,ALL_STATUS,pit,3,,722,-0.098017645839484996,-0.098017645839484899,9.7144514654701197e-17,True
15,partial_rank,,block,B,SZ_A,NON_ST,pit,3,,722,-0.1014033037173336,-0.1014033037173335,9.7144514654701197e-17,True
16,partial_rank,,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,1,,829,-0.10455126397693594,-0.1045512639769359,4.163336342344337e-17,True
17,partial_rank,,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,3,,829,-0.11878231151416359,-0.1187823115141635,8.3266726846886741e-17,True
18,partial_rank,,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,5,,829,-0.12059944770131903,-0.120599447701319,2.7755575615628914e-17,True
19,partial_rank,,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,1,,829,-0.10781159350862367,-0.1078115935086236,6.9388939039072284e-17,True
20,partial_rank,,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,3,,829,-0.12428568286478624,-0.1242856828647862,4.163336342344337e-17,True
21,partial_rank,,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,5,,829,-0.12588407274623525,-0.1258840727462352,5.5511151231257827e-17,True
22,partial_rank,,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,1,,829,-0.10929615602382417,-0.1092961560238241,6.9388939039072284e-17,True
23,partial_rank,,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,3,,829,-0.1196382199692425,-0.1196382199692424,9.7144514654701197e-17,True
24,partial_rank,,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,5,,829,-0.12188892177051266,-0.12188892177051271,4.163336342344337e-17,True
25,partial_rank,,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,1,,829,-0.11324976102116835,-0.1132497610211682,1.5265566588595902e-16,True
26,partial_rank,,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,3,,829,-0.12649240589389282,-0.1264924058938928,2.7755575615628914e-17,True
27,partial_rank,,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,5,,829,-0.12902240072101553,-0.12902240072101551,2.7755575615628914e-17,True
28,partial_rank,,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,1,,828,-0.062378673621816538,-0.062378673621816497,4.163336342344337e-17,True
29,partial_rank,,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,3,,828,-0.10146174589411176,-0.10146174589411169,6.9388939039072284e-17,True
