source_row,audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,closing_arm,n,independent_value,authoritative_value,absolute_error,pass
0,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,ALL_A,ALL_STATUS,pit,3,,107,-0.31306600162770731,-0.3130660016277072,1.1102230246251565e-16,True
1,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,ALL_A,NON_ST,pit,3,,107,-0.30406692500661536,-0.3040669250066152,1.6653345369377348e-16,True
2,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,CHINEXT_BOARD,ALL_STATUS,pit,3,,107,-0.097935514272676091,-0.097935514272675994,9.7144514654701197e-17,True
3,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,CHINEXT_BOARD,NON_ST,pit,3,,107,-0.093690388535472263,-0.093690388535472194,6.9388939039072284e-17,True
4,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,SH_A,ALL_STATUS,pit,3,,107,-0.1545808363418523,-0.1545808363418523,0,True
5,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,SH_A,NON_ST,pit,3,,107,-0.16484233000387405,-0.16484233000387399,5.5511151231257827e-17,True
6,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,SZ_A,ALL_STATUS,pit,3,,107,-0.30925273915703588,-0.30925273915703572,1.6653345369377348e-16,True
7,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,A,SZ_A,NON_ST,pit,3,,107,-0.29085046704917983,-0.2908504670491795,3.3306690738754696e-16,True
8,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,ALL_A,ALL_STATUS,pit,3,,722,-0.4060271546373283,-0.4060271546373283,0,True
9,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,ALL_A,NON_ST,pit,3,,722,-0.40888639273350269,-0.4088863927335028,1.1102230246251565e-16,True
10,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,CHINEXT_BOARD,ALL_STATUS,pit,3,,719,-0.31259161191196599,-0.31259161191196599,0,True
11,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,CHINEXT_BOARD,NON_ST,pit,3,,720,-0.30587769544162258,-0.30587769544162241,1.6653345369377348e-16,True
12,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,SH_A,ALL_STATUS,pit,3,,722,-0.39049977798674407,-0.39049977798674401,5.5511151231257827e-17,True
13,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,SH_A,NON_ST,pit,3,,722,-0.39361246288910651,-0.3936124628891064,1.1102230246251565e-16,True
14,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,SZ_A,ALL_STATUS,pit,3,,722,-0.36461730399429643,-0.3646173039942962,2.2204460492503131e-16,True
15,partial_rank,REJECTED_CROSSER_DOWNSIDE,block,B,SZ_A,NON_ST,pit,3,,722,-0.3684978424854492,-0.36849784248544892,2.7755575615628914e-16,True
16,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,1,,829,-0.41880663983409988,-0.41880663983409999,1.1102230246251565e-16,True
17,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,3,,829,-0.38195354792034514,-0.38195354792034503,1.1102230246251565e-16,True
18,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,5,,829,-0.36644525824156526,-0.3664452582415651,1.6653345369377348e-16,True
19,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,1,,829,-0.42277675641846246,-0.42277675641846257,1.1102230246251565e-16,True
20,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,3,,829,-0.38953125679790801,-0.38953125679790801,0,True
21,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,5,,829,-0.37512414732326249,-0.3751241473232626,1.1102230246251565e-16,True
22,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,1,,829,-0.42569507099260018,-0.42569507099260012,5.5511151231257827e-17,True
23,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,3,,829,-0.38453867162309768,-0.38453867162309768,0,True
24,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,5,,829,-0.3693679940173818,-0.3693679940173818,0,True
25,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,1,,829,-0.42826710891978781,-0.4282671089197877,1.1102230246251565e-16,True
26,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,3,,829,-0.39097134120247207,-0.39097134120247201,5.5511151231257827e-17,True
27,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,5,,829,-0.37724316600332258,-0.37724316600332253,5.5511151231257827e-17,True
28,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,1,,826,-0.27520799652339667,-0.27520799652339661,5.5511151231257827e-17,True
29,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,3,,826,-0.29186523303474987,-0.29186523303474993,5.5511151231257827e-17,True
30,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,absolute,5,,826,-0.2987491799178707,-0.29874917991787048,2.2204460492503131e-16,True
31,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,1,,826,-0.27236906344570649,-0.27236906344570622,2.7755575615628914e-16,True
32,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,3,,826,-0.29521204754549518,-0.29521204754549502,1.6653345369377348e-16,True
33,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:ALL_STATUS,CHINEXT_BOARD,ALL_STATUS,pit,5,,826,-0.30233137391945991,-0.30233137391945991,0,True
34,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,1,,827,-0.27242036059193681,-0.27242036059193669,1.1102230246251565e-16,True
35,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,3,,827,-0.28662315691947177,-0.28662315691947171,5.5511151231257827e-17,True
36,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,absolute,5,,827,-0.29332388039120127,-0.29332388039120111,1.6653345369377348e-16,True
37,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,1,,827,-0.26829885533164921,-0.26829885533164921,0,True
38,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,3,,827,-0.28886710151904399,-0.28886710151904382,1.6653345369377348e-16,True
39,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,CHINEXT_BOARD:NON_ST,CHINEXT_BOARD,NON_ST,pit,5,,827,-0.29610045473899244,-0.29610045473899232,1.1102230246251565e-16,True
40,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,1,,829,-0.38028382173905445,-0.38028382173905462,1.6653345369377348e-16,True
41,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,3,,829,-0.34746686789756742,-0.34746686789756742,0,True
42,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,absolute,5,,829,-0.33159430162970305,-0.33159430162970333,2.7755575615628914e-16,True
43,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,1,,829,-0.38942815030120886,-0.38942815030120881,5.5511151231257827e-17,True
44,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,3,,829,-0.35708990679352526,-0.35708990679352531,5.5511151231257827e-17,True
45,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:ALL_STATUS,SH_A,ALL_STATUS,pit,5,,829,-0.33821375643569535,-0.3382137564356954,5.5511151231257827e-17,True
46,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,1,,829,-0.38490830492648476,-0.3849083049264847,5.5511151231257827e-17,True
47,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,3,,829,-0.35160216421664076,-0.3516021642166407,5.5511151231257827e-17,True
48,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,absolute,5,,829,-0.33469804833301176,-0.3346980483330117,5.5511151231257827e-17,True
49,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,1,,829,-0.39316831735929558,-0.39316831735929569,1.1102230246251565e-16,True
50,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,3,,829,-0.36017319632776895,-0.36017319632776917,2.2204460492503131e-16,True
51,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SH_A:NON_ST,SH_A,NON_ST,pit,5,,829,-0.34103950445557307,-0.34103950445557302,5.5511151231257827e-17,True
52,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,1,,829,-0.37890456835406999,-0.3789045683540701,1.1102230246251565e-16,True
53,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,3,,829,-0.34661259338156308,-0.34661259338156297,1.1102230246251565e-16,True
54,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,absolute,5,,829,-0.33341458898481297,-0.33341458898481291,5.5511151231257827e-17,True
55,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,1,,829,-0.38236538380965851,-0.38236538380965851,0,True
56,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,3,,829,-0.35307871905252897,-0.35307871905252891,5.5511151231257827e-17,True
57,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:ALL_STATUS,SZ_A,ALL_STATUS,pit,5,,829,-0.34198643188984135,-0.34198643188984162,2.7755575615628914e-16,True
58,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,1,,829,-0.384006324867324,-0.38400632486732422,2.2204460492503131e-16,True
59,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,3,,829,-0.34871414988305632,-0.34871414988305621,1.1102230246251565e-16,True
60,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,absolute,5,,829,-0.33553076859409997,-0.33553076859410003,5.5511151231257827e-17,True
61,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,1,,829,-0.38506253329341733,-0.38506253329341722,1.1102230246251565e-16,True
62,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,3,,829,-0.3543375505310164,-0.3543375505310164,0,True
63,partial_rank,REJECTED_CROSSER_DOWNSIDE,cell,SZ_A:NON_ST,SZ_A,NON_ST,pit,5,,829,-0.34339031282482091,-0.34339031282482069,2.2204460492503131e-16,True
64,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2020,ALL_A,ALL_STATUS,pit,3,,722,-0.4060271546373283,-0.4060271546373283,0,True
65,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2020,ALL_A,NON_ST,pit,3,,722,-0.40888639273350269,-0.4088863927335028,1.1102230246251565e-16,True
66,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2020,CHINEXT_BOARD,ALL_STATUS,pit,3,,719,-0.31259161191196599,-0.31259161191196599,0,True
67,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2020,CHINEXT_BOARD,NON_ST,pit,3,,720,-0.30587769544162258,-0.30587769544162241,1.6653345369377348e-16,True
68,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2020,SH_A,ALL_STATUS,pit,3,,722,-0.39049977798674407,-0.39049977798674401,5.5511151231257827e-17,True
69,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2020,SH_A,NON_ST,pit,3,,722,-0.39361246288910651,-0.3936124628891064,1.1102230246251565e-16,True
70,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2020,SZ_A,ALL_STATUS,pit,3,,722,-0.36461730399429643,-0.3646173039942962,2.2204460492503131e-16,True
71,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2020,SZ_A,NON_ST,pit,3,,722,-0.3684978424854492,-0.36849784248544892,2.7755575615628914e-16,True
72,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2021,ALL_A,ALL_STATUS,pit,3,,586,-0.44053545583353959,-0.4405354558335397,1.1102230246251565e-16,True
73,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2021,ALL_A,NON_ST,pit,3,,586,-0.44060773108710677,-0.44060773108710682,5.5511151231257827e-17,True
74,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2021,CHINEXT_BOARD,ALL_STATUS,pit,3,,586,-0.32857622167749767,-0.32857622167749762,5.5511151231257827e-17,True
75,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2021,CHINEXT_BOARD,NON_ST,pit,3,,586,-0.32221052875105621,-0.3222105287510561,1.1102230246251565e-16,True
76,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2021,SH_A,ALL_STATUS,pit,3,,586,-0.38305650919307893,-0.38305650919307871,2.2204460492503131e-16,True
77,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2021,SH_A,NON_ST,pit,3,,586,-0.38514859925059486,-0.38514859925059469,1.6653345369377348e-16,True
78,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2021,SZ_A,ALL_STATUS,pit,3,,586,-0.4146916742263641,-0.41469167422636388,2.2204460492503131e-16,True
79,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2021,SZ_A,NON_ST,pit,3,,586,-0.41162497695975586,-0.4116249769597557,1.6653345369377348e-16,True
80,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2022,ALL_A,ALL_STATUS,pit,3,,587,-0.42613666914053305,-0.42613666914053278,2.7755575615628914e-16,True
81,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2022,ALL_A,NON_ST,pit,3,,587,-0.42534392766468382,-0.42534392766468399,1.6653345369377348e-16,True
82,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2022,CHINEXT_BOARD,ALL_STATUS,pit,3,,584,-0.29473419105755583,-0.29473419105755572,1.1102230246251565e-16,True
83,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2022,CHINEXT_BOARD,NON_ST,pit,3,,585,-0.28724223113253378,-0.2872422311325335,2.7755575615628914e-16,True
84,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2022,SH_A,ALL_STATUS,pit,3,,587,-0.40608343812624975,-0.40608343812624942,3.3306690738754696e-16,True
85,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2022,SH_A,NON_ST,pit,3,,587,-0.41251312045887883,-0.41251312045887872,1.1102230246251565e-16,True
86,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2022,SZ_A,ALL_STATUS,pit,3,,587,-0.36400676504368068,-0.36400676504368079,1.1102230246251565e-16,True
87,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2022,SZ_A,NON_ST,pit,3,,587,-0.36152214524199044,-0.36152214524199061,1.6653345369377348e-16,True
88,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2023,ALL_A,ALL_STATUS,pit,3,,592,-0.28842590944499946,-0.2884259094449993,1.6653345369377348e-16,True
89,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2023,ALL_A,NON_ST,pit,3,,592,-0.2915648468497809,-0.2915648468497809,0,True
90,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2023,CHINEXT_BOARD,ALL_STATUS,pit,3,,589,-0.23219511480653143,-0.23219511480653141,2.7755575615628914e-17,True
91,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2023,CHINEXT_BOARD,NON_ST,pit,3,,590,-0.22826601244484662,-0.22826601244484671,8.3266726846886741e-17,True
92,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2023,SH_A,ALL_STATUS,pit,3,,592,-0.2595357641928876,-0.2595357641928876,0,True
93,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2023,SH_A,NON_ST,pit,3,,592,-0.26089863100247596,-0.2608986310024759,5.5511151231257827e-17,True
94,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2023,SZ_A,ALL_STATUS,pit,3,,592,-0.26697557179455939,-0.26697557179455927,1.1102230246251565e-16,True
95,partial_rank,REJECTED_CROSSER_DOWNSIDE,leave_one_year_out,2023,SZ_A,NON_ST,pit,3,,592,-0.27302017623248809,-0.2730201762324882,1.1102230246251565e-16,True
96,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,ALL_A,ALL_STATUS,pit,3,,276,-0.38199352092691014,-0.38199352092690991,2.2204460492503131e-16,True
97,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,ALL_A,ALL_STATUS,pit,5,,166,-0.32738423363928243,-0.32738423363928232,1.1102230246251565e-16,True
98,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,ALL_A,NON_ST,pit,3,,276,-0.3809895262797367,-0.38098952627973648,2.2204460492503131e-16,True
99,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,ALL_A,NON_ST,pit,5,,166,-0.33173940795453172,-0.33173940795453172,0,True
100,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,3,,275,-0.32349538205096129,-0.32349538205096129,0,True
101,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,ALL_STATUS,pit,5,,166,-0.32374515383462182,-0.32374515383462182,0,True
102,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,NON_ST,pit,3,,275,-0.31829141983256654,-0.31829141983256648,5.5511151231257827e-17,True
103,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,CHINEXT_BOARD,NON_ST,pit,5,,166,-0.31771196814039326,-0.31771196814039321,5.5511151231257827e-17,True
104,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,SH_A,ALL_STATUS,pit,3,,276,-0.33359810459732209,-0.33359810459732242,3.3306690738754696e-16,True
105,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,SH_A,ALL_STATUS,pit,5,,166,-0.31517373171685764,-0.31517373171685747,1.6653345369377348e-16,True
106,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,SH_A,NON_ST,pit,3,,276,-0.33670843991771776,-0.33670843991771748,2.7755575615628914e-16,True
107,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,SH_A,NON_ST,pit,5,,166,-0.32334273798293006,-0.32334273798293012,5.5511151231257827e-17,True
108,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,SZ_A,ALL_STATUS,pit,3,,276,-0.31556031398547313,-0.31556031398547307,5.5511151231257827e-17,True
109,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,SZ_A,ALL_STATUS,pit,5,,166,-0.32209588701710923,-0.32209588701710917,5.5511151231257827e-17,True
110,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,SZ_A,NON_ST,pit,3,,276,-0.31884813082756963,-0.31884813082756958,5.5511151231257827e-17,True
111,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,0,SZ_A,NON_ST,pit,5,,166,-0.31936665510070861,-0.31936665510070861,0,True
112,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,ALL_A,ALL_STATUS,pit,3,,277,-0.40511230260718462,-0.40511230260718489,2.7755575615628914e-16,True
113,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,ALL_A,ALL_STATUS,pit,5,,166,-0.47756145324373039,-0.4775614532437305,1.1102230246251565e-16,True
114,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,ALL_A,NON_ST,pit,3,,277,-0.41018097552715055,-0.41018097552715033,2.2204460492503131e-16,True
115,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,ALL_A,NON_ST,pit,5,,166,-0.48604334520108705,-0.48604334520108727,2.2204460492503131e-16,True
116,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,CHINEXT_BOARD,ALL_STATUS,pit,3,,277,-0.17689983545649357,-0.17689983545649371,1.3877787807814457e-16,True
117,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,CHINEXT_BOARD,ALL_STATUS,pit,5,,164,-0.37332417457519423,-0.37332417457519412,1.1102230246251565e-16,True
118,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,CHINEXT_BOARD,NON_ST,pit,3,,277,-0.17055519174239345,-0.1705551917423935,5.5511151231257827e-17,True
119,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,CHINEXT_BOARD,NON_ST,pit,5,,165,-0.35346190908114561,-0.35346190908114528,3.3306690738754696e-16,True
120,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,SH_A,ALL_STATUS,pit,3,,277,-0.37429830769129324,-0.3742983076912933,5.5511151231257827e-17,True
121,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,SH_A,ALL_STATUS,pit,5,,166,-0.47460947356806127,-0.47460947356806088,3.8857805861880479e-16,True
122,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,SH_A,NON_ST,pit,3,,277,-0.38111663048077982,-0.38111663048077959,2.2204460492503131e-16,True
123,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,SH_A,NON_ST,pit,5,,166,-0.47769741245109021,-0.47769741245109021,0,True
124,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,SZ_A,ALL_STATUS,pit,3,,277,-0.3687039677471346,-0.36870396774713471,1.1102230246251565e-16,True
125,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,SZ_A,ALL_STATUS,pit,5,,166,-0.41587105758783965,-0.4158710575878396,5.5511151231257827e-17,True
126,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,SZ_A,NON_ST,pit,3,,277,-0.36261832485927997,-0.36261832485928008,1.1102230246251565e-16,True
127,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,1,SZ_A,NON_ST,pit,5,,166,-0.41630036949622051,-0.4163003694962204,1.1102230246251565e-16,True
128,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,2,ALL_A,ALL_STATUS,pit,3,,276,-0.36191659774025059,-0.36191659774025042,1.6653345369377348e-16,True
129,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,2,ALL_A,ALL_STATUS,pit,5,,165,-0.29904685723390617,-0.29904685723390628,1.1102230246251565e-16,True
130,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,2,ALL_A,NON_ST,pit,3,,276,-0.36257561141761757,-0.36257561141761763,5.5511151231257827e-17,True
131,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,2,ALL_A,NON_ST,pit,5,,165,-0.30594748905881175,-0.30594748905881181,5.5511151231257827e-17,True
132,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,2,CHINEXT_BOARD,ALL_STATUS,pit,3,,274,-0.36802483669070635,-0.3680248366907064,5.5511151231257827e-17,True
133,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,2,CHINEXT_BOARD,ALL_STATUS,pit,5,,164,-0.23510242631740544,-0.2351024263174053,1.3877787807814457e-16,True
134,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,2,CHINEXT_BOARD,NON_ST,pit,3,,275,-0.36044102614465939,-0.36044102614465939,0,True
135,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,2,CHINEXT_BOARD,NON_ST,pit,5,,164,-0.23477590585170507,-0.23477590585170499,8.3266726846886741e-17,True
136,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,2,SH_A,ALL_STATUS,pit,3,,276,-0.36144600575390523,-0.36144600575390518,5.5511151231257827e-17,True
137,partial_rank,REJECTED_CROSSER_DOWNSIDE,phase,2,SH_A,ALL_STATUS,pit,5,,165,-0.29181471973737538,-0.29181471973737538,0,True
