source_row,audit_type,channel,scope,scope_value,market_view,denominator,coordinate,horizon,closing_arm,n,independent_value,authoritative_value,absolute_error,pass
0,partial_rank,CROSSER_DOWNSIDE,block,A,ALL_A,ALL_STATUS,pit,3,,107,-0.3045621578957215,-0.30456215789572122,2.7755575615628914e-16,True
1,partial_rank,CROSSER_DOWNSIDE,block,A,ALL_A,NON_ST,pit,3,,107,-0.31426350243949897,-0.3142635024394988,1.6653345369377348e-16,True
2,partial_rank,CROSSER_DOWNSIDE,block,A,CHINEXT_BOARD,ALL_STATUS,pit,3,,107,-0.15006695947050558,-0.15006695947050541,1.6653345369377348e-16,True
3,partial_rank,CROSSER_DOWNSIDE,block,A,CHINEXT_BOARD,NON_ST,pit,3,,107,-0.1467600025721251,-0.1467600025721251,0,True
4,partial_rank,CROSSER_DOWNSIDE,block,A,SH_A,ALL_STATUS,pit,3,,107,-0.20557496014328119,-0.2055749601432813,1.1102230246251565e-16,True
5,partial_rank,CROSSER_DOWNSIDE,block,A,SH_A,NON_ST,pit,3,,107,-0.21403798209598893,-0.21403798209598901,8.3266726846886741e-17,True
6,partial_rank,CROSSER_DOWNSIDE,block,A,SZ_A,ALL_STATUS,pit,3,,107,-0.28015996354770684,-0.28015996354770678,5.5511151231257827e-17,True
7,partial_rank,CROSSER_DOWNSIDE,block,A,SZ_A,NON_ST,pit,3,,107,-0.26864770824525724,-0.26864770824525702,2.2204460492503131e-16,True
8,partial_rank,CROSSER_DOWNSIDE,block,B,ALL_A,ALL_STATUS,pit,3,,722,-0.42504242811832593,-0.42504242811832588,5.5511151231257827e-17,True
9,partial_rank,CROSSER_DOWNSIDE,block,B,ALL_A,NON_ST,pit,3,,722,-0.43016653903998708,-0.43016653903998708,0,True
10,partial_rank,CROSSER_DOWNSIDE,block,B,CHINEXT_BOARD,ALL_STATUS,pit,3,,721,-0.35795845896054801,-0.35795845896054768,3.3306690738754696e-16,True
11,partial_rank,CROSSER_DOWNSIDE,block,B,CHINEXT_BOARD,NON_ST,pit,3,,722,-0.35285852216806141,-0.35285852216806141,0,True
12,partial_rank,CROSSER_DOWNSIDE,block,B,SH_A,ALL_STATUS,pit,3,,722,-0.43232846075704767,-0.43232846075704762,5.5511151231257827e-17,True
13,partial_rank,CROSSER_DOWNSIDE,block,B,SH_A,NON_ST,pit,3,,722,-0.43887455032218747,-0.43887455032218731,1.6653345369377348e-16,True
14,partial_rank,CROSSER_DOWNSIDE,block,B,SZ_A,ALL_STATUS,pit,3,,722,-0.38093870115473716,-0.3809387011547371,5.5511151231257827e-17,True
15,partial_rank,CROSSER_DOWNSIDE,block,B,SZ_A,NON_ST,pit,3,,722,-0.3820110401052495,-0.38201104010524922,2.7755575615628914e-16,True
16,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,1,,829,-0.40807659498132076,-0.40807659498132071,5.5511151231257827e-17,True
17,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,3,,829,-0.40392591477701317,-0.40392591477701301,1.6653345369377348e-16,True
18,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,absolute,5,,829,-0.39170575654120737,-0.39170575654120748,1.1102230246251565e-16,True
19,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,1,,829,-0.4075271234348431,-0.40752712343484299,1.1102230246251565e-16,True
20,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,3,,829,-0.40725465539618583,-0.40725465539618588,5.5511151231257827e-17,True
21,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:ALL_STATUS,ALL_A,ALL_STATUS,pit,5,,829,-0.39618094522959951,-0.39618094522959951,0,True
22,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,1,,829,-0.41675498699046698,-0.41675498699046692,5.5511151231257827e-17,True
23,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,3,,829,-0.40847684870450823,-0.40847684870450818,5.5511151231257827e-17,True
24,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,absolute,5,,829,-0.39702928642040414,-0.39702928642040403,1.1102230246251565e-16,True
25,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,1,,829,-0.4165921269723844,-0.4165921269723844,0,True
26,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,3,,829,-0.41196129087907585,-0.41196129087907568,1.6653345369377348e-16,True
27,partial_rank,CROSSER_DOWNSIDE,cell,ALL_A:NON_ST,ALL_A,NON_ST,pit,5,,829,-0.40177385738711963,-0.40177385738711963,0,True
