scenario,year,net_return,mean_exposure,fees
OLD_MAIN_B0_MAX_DEPLOYABLE,2020,-0.18331791292000033,0.7948408069996209,28396.492920000008
OLD_MAIN_B0_MAX_DEPLOYABLE,2021,-0.22049353092956936,0.8131300915454964,23486.127027200073
OLD_MAIN_B0_MAX_DEPLOYABLE,2022,-0.5008363565614785,0.8177424543771871,14763.947115599942
OLD_MAIN_B0_MAX_DEPLOYABLE,2023,-0.5312096035460997,0.8258101457771294,7297.126258799966
OLD_MAIN_B0_CAP10,2020,-0.16240852979560105,0.7668526823279899,27887.479795599993
OLD_MAIN_B0_CAP10,2021,-0.2107687384334499,0.7758186264663891,22677.7874976
OLD_MAIN_B0_CAP10,2022,-0.45694983368306263,0.7761590826773326,14832.1487139999
OLD_MAIN_B0_CAP10,2023,-0.5372342223133006,0.7646891633148928,7430.164654999957
OLD_MAIN_P_MAX_DEPLOYABLE,2020,0.06635433859479956,0.8199518466110759,32557.009405200013
OLD_MAIN_P_MAX_DEPLOYABLE,2021,-0.206150578965414,0.8136585123031047,35385.367083599966
OLD_MAIN_P_MAX_DEPLOYABLE,2022,-0.5262689702356254,0.8188166789361978,17493.22125569993
OLD_MAIN_P_MAX_DEPLOYABLE,2023,-0.23397765299270257,0.8187809792863692,10603.053505199874
OLD_MAIN_P_CAP10,2020,0.0449545643171998,0.7982976858655716,31253.269682799983
OLD_MAIN_P_CAP10,2021,-0.20086818616037272,0.7846825238236845,33512.49115439999
OLD_MAIN_P_CAP10,2022,-0.5116285106683278,0.7908665593394363,16933.09086030008
OLD_MAIN_P_CAP10,2023,-0.21554780198225398,0.801159950391673,10603.574807899917
OLD_MAIN_C_MAX_DEPLOYABLE,2020,0.08576108858480125,0.8371457310855672,37952.7725352
OLD_MAIN_C_MAX_DEPLOYABLE,2021,-0.25298772667275105,0.8359379289705818,29965.559510800013
OLD_MAIN_C_MAX_DEPLOYABLE,2022,-0.5068281291760972,0.8617521466686957,20056.3841905
OLD_MAIN_C_MAX_DEPLOYABLE,2023,-0.029275770386024025,0.8532764510311781,13183.24350209994
OLD_MAIN_C_CAP10,2020,0.10298125862760221,0.8107726158624415,36902.584532399975
OLD_MAIN_C_CAP10,2021,-0.26639963923521837,0.807291735713543,29331.37938159999
OLD_MAIN_C_CAP10,2022,-0.49650133263345486,0.8260483699449858,19415.03374359994
OLD_MAIN_C_CAP10,2023,-0.06820437735792961,0.8273578273432951,12574.856531600002
OLD_MAIN_PC_MAX_DEPLOYABLE,2020,0.11488670918160082,0.8318939558770402,38231.83081840002
OLD_MAIN_PC_MAX_DEPLOYABLE,2021,0.1602631863992361,0.8408467079278397,46282.443512400045
OLD_MAIN_PC_MAX_DEPLOYABLE,2022,-0.3693404793602747,0.8385908820050045,34205.54125610007
OLD_MAIN_PC_MAX_DEPLOYABLE,2023,-0.19676164898431603,0.8579458236486344,22592.024009500135
OLD_MAIN_PC_CAP10,2020,0.14980373874800024,0.8105321630945229,37565.681252000024
OLD_MAIN_PC_CAP10,2021,0.2550264802927984,0.8128161072123458,47648.5694796
OLD_MAIN_PC_CAP10,2022,-0.3440890033472358,0.8156388815918509,37877.09877690008
OLD_MAIN_PC_CAP10,2023,-0.21878050399987603,0.8352237478273499,25489.027153200062
OLD_COST_B0_MAX_DEPLOYABLE,2020,-0.26065735022960024,0.790119295698226,52778.03022959997
OLD_COST_B0_MAX_DEPLOYABLE,2021,-0.3097905287015803,0.8091842838052173,39860.140364000006
OLD_COST_B0_MAX_DEPLOYABLE,2022,-0.6462713626800998,0.8051117134460224,18599.386144799835
OLD_COST_B0_MAX_DEPLOYABLE,2023,-0.5051475902023406,0.8086081586573587,9292.393786399829
OLD_COST_B0_CAP10,2020,-0.2619191353927999,0.7619565079713626,51294.11539280003
OLD_COST_B0_CAP10,2021,-0.285464841966511,0.7704418778212948,37500.04737360001
OLD_COST_B0_CAP10,2022,-0.579244573198815,0.7512938856970377,18704.46123799996
OLD_COST_B0_CAP10,2023,-0.5113717096289043,0.7379498794197363,9640.395205199806
OLD_COST_PC_MAX_DEPLOYABLE,2020,0.1153256909040008,0.8314147370748397,74950.28909599998
OLD_COST_PC_MAX_DEPLOYABLE,2021,-0.17483649150442204,0.8321881856778279,74457.85068239983
OLD_COST_PC_MAX_DEPLOYABLE,2022,-0.3642906874727344,0.8369936659495356,47066.13407319956
OLD_COST_PC_MAX_DEPLOYABLE,2023,-0.24104772474207703,0.8533937749797861,31479.22576800018
OLD_COST_PC_CAP10,2020,0.15242263238079756,0.8104012763587096,73924.6876192
OLD_COST_PC_CAP10,2021,-0.15896400091200802,0.8038049048692467,74848.41238479991
OLD_COST_PC_CAP10,2022,-0.33605380758773107,0.8152686957289286,49125.5361407999
OLD_COST_PC_CAP10,2023,-0.2030458978875067,0.8365555183418919,35205.063772599795
OLD_DELAY_B0_MAX_DEPLOYABLE,2020,0.2481287468351996,0.7996227878921248,36759.29316480001
OLD_DELAY_B0_MAX_DEPLOYABLE,2021,-0.5059669905176731,0.8201836327385091,27606.875814800005
OLD_DELAY_B0_MAX_DEPLOYABLE,2022,-0.6140057080674226,0.8141202277232765,11458.905516799918
OLD_DELAY_B0_MAX_DEPLOYABLE,2023,-0.5866079635724762,0.8147609978198895,5346.133138799967
OLD_DELAY_B0_CAP10,2020,0.21314850136679908,0.7577234361039651,34211.79863320003
OLD_DELAY_B0_CAP10,2021,-0.48166240075676214,0.7658201627138763,26022.619642799982
OLD_DELAY_B0_CAP10,2022,-0.5237262804174183,0.7525171384030805,11890.971943599929
OLD_DELAY_B0_CAP10,2023,-0.5345975932822804,0.7411328747607501,6088.281275100118
OLD_DELAY_PC_MAX_DEPLOYABLE,2020,0.11974141930239979,0.8306921148312508,36448.92997760004
OLD_DELAY_PC_MAX_DEPLOYABLE,2021,-0.08486967292824144,0.8235784606025807,38274.11802039987
OLD_DELAY_PC_MAX_DEPLOYABLE,2022,-0.29769634011905943,0.8432640832728087,28028.347608499942
OLD_DELAY_PC_MAX_DEPLOYABLE,2023,-0.08092055298826717,0.843631316982258,21427.451600400032
OLD_DELAY_PC_CAP10,2020,0.11581398147440036,0.797324694026228,34438.540845600015
OLD_DELAY_PC_CAP10,2021,-0.05930582551310126,0.7762331991139697,36017.78929040003
OLD_DELAY_PC_CAP10,2022,-0.271954585876091,0.8035597022792607,27878.223246099864
OLD_DELAY_PC_CAP10,2023,-0.10010211130003432,0.8170383812297854,21747.05985630004
OLD_NEIGHBOR_B0_CAP10_20_3,2020,-0.33122688890119956,0.7541364905057002,26189.128901200012
OLD_NEIGHBOR_B0_CAP10_20_3,2021,-0.054700801593377535,0.7580502348179704,19022.410461199957
OLD_NEIGHBOR_B0_CAP10_20_3,2022,-0.6138463674383976,0.757038333017657,12161.12602979999
OLD_NEIGHBOR_B0_CAP10_20_3,2023,-0.4715982649695969,0.7405049631316885,4975.193425000012
OLD_NEIGHBOR_PC_CAP10_20_3,2020,0.11815029421479806,0.8174767599855202,34873.835785200004
OLD_NEIGHBOR_PC_CAP10_20_3,2021,0.43991254712982975,0.8215670063517808,45820.24399800002
OLD_NEIGHBOR_PC_CAP10_20_3,2022,-0.43774948770452704,0.8161865534790723,38480.96906390003
OLD_NEIGHBOR_PC_CAP10_20_3,2023,-0.1576355909520123,0.831689777970129,24124.498279600055
OLD_NEIGHBOR_B0_CAP10_40_8,2020,-0.33464775168840044,0.7683951801747113,24666.771688399986
OLD_NEIGHBOR_B0_CAP10_40_8,2021,-0.015748436383570152,0.782163487077296,21863.447555200004
OLD_NEIGHBOR_B0_CAP10_40_8,2022,-0.6352619799514216,0.7749107596928128,11681.787986600008
OLD_NEIGHBOR_B0_CAP10_40_8,2023,-0.4531546768463742,0.7427892257547813,5142.457290699887
OLD_NEIGHBOR_PC_CAP10_40_8,2020,-0.08426643178880011,0.8161604475621844,33110.9717888
OLD_NEIGHBOR_PC_CAP10_40_8,2021,-0.20094783134821226,0.7833189455756366,25706.234624800025
OLD_NEIGHBOR_PC_CAP10_40_8,2022,-0.339032500926681,0.8188667483213795,19115.41646790001
OLD_NEIGHBOR_PC_CAP10_40_8,2023,-0.17989994168869916,0.830969137623986,13594.040838799949
N_MAIN_N0_MAX_DEPLOYABLE,2020,0.08390654552040044,0.8297514824388084,35684.6075136
N_MAIN_N0_MAX_DEPLOYABLE,2021,-0.15013109163564498,0.8336637885370779,35560.68291
N_MAIN_N0_MAX_DEPLOYABLE,2022,-0.6256044440807682,0.8512879415249733,19157.456256600068
N_MAIN_N0_MAX_DEPLOYABLE,2023,-0.37016174873785945,0.8574689345039386,9009.921484800027
N_MAIN_N0_CAP10,2020,0.08309447378280033,0.8054929950736223,34566.39124719998
N_MAIN_N0_CAP10,2021,-0.13553186781990523,0.7984309904049626,34204.4446572001
N_MAIN_N0_CAP10,2022,-0.5949987402407311,0.812658209822543,19298.181238300007
N_MAIN_N0_CAP10,2023,-0.3143807239843627,0.8145934432749065,9645.446539299854
N_MAIN_N1_MAX_DEPLOYABLE,2020,0.18997390215400056,0.8147111919922031,37951.86888399998
N_MAIN_N1_MAX_DEPLOYABLE,2021,-0.05632667546731274,0.8224256501288668,38884.74380120008
N_MAIN_N1_MAX_DEPLOYABLE,2022,-0.4672142425809632,0.8390542166174157,25516.80482470004
