family,subset,horizon,n,mean,median,gross_mean,MFE10,MAE10
OLD_30_5,ALL,5,54774,-0.015295282775986095,-0.021683850663831716,-0.005963105676593111,0.09522417664563772,-0.0812475839843013
OLD_30_5,ALL,10,53620,-0.016017705572379654,-0.02617681426041374,-0.0066482409708217725,0.09522417664563772,-0.0812475839843013
OLD_30_5,ALL,20,51147,-0.01881161388378437,-0.038159596356678316,-0.00940553731262692,0.09522417664563772,-0.0812475839843013
N,ALL,5,58754,-0.011786121729525022,-0.016638827243362964,-0.001094050607586616,0.08520496857690889,-0.0674550737805093
N,LONG_TT,5,8123,-0.00873776183724849,-0.014676575166523875,-0.0018245133466470672,0.10391558759017519,-0.08816401739933061
N,LONG_TT_VCP,5,2246,-0.009784320193015277,-0.013557083441056605,-0.0028346509090596346,0.09889855349389376,-0.0860438223724349
N,ALL,10,57625,-0.009216905163648825,-0.015787413075534884,0.001529777329283765,0.08520496857690889,-0.0674550737805093
N,LONG_TT,10,7917,-0.008740140935093474,-0.017872640012460805,-0.0018051003153348676,0.10391558759017519,-0.08816401739933061
N,LONG_TT_VCP,10,2183,-0.007716028932601402,-0.015574311221348336,-0.0007308435129101844,0.09889855349389376,-0.0860438223724349
N,ALL,20,55223,-0.00663722364051469,-0.020848199405056778,0.004176409074218213,0.08520496857690889,-0.0674550737805093
N,LONG_TT,20,7570,-0.007810291617070086,-0.031545464573165594,-0.000864309308009872,0.10391558759017519,-0.08816401739933061
N,LONG_TT_VCP,20,2062,-0.008232620476584329,-0.027104726659665623,-0.0011901161513875036,0.09889855349389376,-0.0860438223724349
