scenario,lot,sell_dates,tax_rate_changes
OLD_MAIN_P_MAX_DEPLOYABLE,480.0,2022-06-09|2022-06-10,False
OLD_MAIN_P_CAP10,480.0,2022-06-09|2022-06-10,False
OLD_MAIN_PC_MAX_DEPLOYABLE,491.0,2022-06-09|2022-06-10,False
OLD_MAIN_PC_CAP10,491.0,2022-06-09|2022-06-10,False
OLD_COST_PC_MAX_DEPLOYABLE,489.0,2022-06-09|2022-06-10,False
OLD_COST_PC_CAP10,489.0,2022-06-09|2022-06-10,False
OLD_DELAY_PC_MAX_DEPLOYABLE,77.0,2020-06-04|2020-06-05,False
OLD_DELAY_PC_MAX_DEPLOYABLE,83.0,2020-06-11|2020-06-12,False
OLD_DELAY_PC_CAP10,77.0,2020-06-04|2020-06-05,False
OLD_DELAY_PC_CAP10,83.0,2020-06-11|2020-06-12,False
OLD_NEIGHBOR_PC_CAP10_40_8,489.0,2022-06-09|2022-06-10,False
N_MAIN_N1_MAX_DEPLOYABLE,488.0,2022-06-23|2022-06-24,False
N_MAIN_N1_CAP10,488.0,2022-06-23|2022-06-24,False
N_COST_N1_MAX_DEPLOYABLE,486.0,2022-06-23|2022-06-24,False
N_COST_N1_CAP10,486.0,2022-06-23|2022-06-24,False
