year,route,trade_count,capital_days,worst_event_pnl,best_event_pnl,pnl
2018,BULL,224,126247613.51860884,-5760.555986462525,4785.926863655783,-23377.88594531525
2018,FAST_BEAR,0,0.0,0.0,0.0,
2018,SLOW_BEAR,340,94552425.69004871,-5671.153762889593,3015.343777675829,244538.4691879086
2019,BULL,392,256412709.51318032,-6056.913554277824,5721.8120217868345,245447.47698634246
2019,FAST_BEAR,4,1501783.984341412,1334.923036366461,2965.65967708248,4300.582713448941
2019,SLOW_BEAR,25,10657206.474745605,-6286.733914969809,3694.5654317003427,3453.283503774524
2020,BULL,404,332204189.76798177,-9437.089229298297,6541.189775064719,192843.8297891359
2020,FAST_BEAR,44,14163768.182153981,-5257.841811619543,3676.326989119443,52368.009432576364
2020,SLOW_BEAR,44,20527468.174137656,-7067.0992512161465,4216.484235967102,6141.289210562762
2021,BULL,240,228467160.12748912,-5209.858910123345,7448.772049968567,260092.70815991945
2021,FAST_BEAR,16,3836922.850176539,-2647.6218781008647,4645.570492771323,25537.42438936165
2021,SLOW_BEAR,108,49843701.107037105,-6316.620354412946,4663.279497658885,93000.07341768117
2022,BULL,301,248476555.1300765,-9037.286793792518,8309.888942171398,19322.045756250038
2022,FAST_BEAR,76,30512742.950639214,-12765.07662471594,5399.626554345421,67274.00460192295
2022,SLOW_BEAR,138,64530489.72492675,-7437.83580144414,5400.145607399812,121998.84125622099
2023,BULL,302,336627146.08792835,-9225.84614809326,8757.586704266905,130639.01730977716
2023,FAST_BEAR,6,3602170.9937463007,-9388.94428040801,5755.730540564749,-6708.8225003693005
2023,SLOW_BEAR,72,33280523.37654896,-7991.98609683173,5745.173003631266,83027.10275216504
2024,BULL,319,353636316.8286699,-18444.83473697657,9120.693812635203,277768.5107477532
2024,FAST_BEAR,6,1365854.6157226807,6102.150187402876,6102.150187402876,18306.45056220863
2024,SLOW_BEAR,294,151078063.04130247,-30115.364025683702,6275.892711281325,121879.47217018412
2025,BULL,525,739276936.086766,-13779.1706616093,13764.069646266202,226731.0363124738
2025,FAST_BEAR,40,27652545.554854438,-5648.300541076853,5910.9064650449,91080.6779740049
2025,SLOW_BEAR,19,13002995.16471783,-2045.0832656395578,5968.261674024572,33842.49731452232
2026,BULL,271,361564363.32154804,-16974.860492291606,10104.249647057048,233540.61734368824
2026,FAST_BEAR,26,16464213.935200913,-7189.926883292857,6729.062706926226,36925.318701336815
2026,SLOW_BEAR,63,35702807.08106363,-41641.46094174209,6805.362976355595,-3910.96433168972
