year,strategy,route,period_label,start_nav,end_nav,annual_return,realized_pnl,unrealized_pnl_change,net_pnl,fees,MaxDD,MaxDD_start,MaxDD_trough,MaxDD_recovery,CVaR5,Sharpe,worst_month,worst_month_return,best_month,best_month_return,trade_count,completed_trade_count,open_trade_count,independent_signal_days,win_rate,mean_trade_return,median_trade_return,worst_trade_return,best_trade_return,average_holding_days,median_holding_days,average_gross_exposure,median_gross_exposure,p95_gross_exposure,max_gross_exposure,capital_days,average_cash_ratio,turnover,max_single_security_weight,best_1_day_pnl_fraction,best_5_days_pnl_fraction,top_5_events_pnl_fraction,top_5_symbols_pnl_fraction,top_5_events_absolute_pnl,top_5_symbols_absolute_pnl
2018,ATRDR,BULL,2018,1000000.0,1001619.1014615358,0.0016191014615358768,1154.5667248240352,9133.799774188217,1619.1014615357853,8669.265037476467,0.04955830537167161,2018-01-02,2018-03-23,NA_UNRECOVERED,-0.012153042120737876,0.060781659477821035,2018-11-30,-0.00910673474283663,2018-12-31,0.017213076748016087,262,131,0,268,0.4198473282442748,-0.004830174808102724,-0.006931048892603755,-0.2232476007677541,0.12669565217391324,,,0.13119601726171265,0.0,0.694670080973294,0.7758338078336459,44697579.85527429,0.8688039827382873,4.344461127525072,,1.3786101002561173e-05,5.4268565987764844e-05,7.932873476706976,7.998407629332397,12844.127040314732,12950.23348261106
2019,ATRDR,BULL,2019,1001619.1014615358,1133365.819591986,0.13153375164092718,134713.37694655368,11974.16581727661,131746.71813045023,14940.824633380054,0.054380352459013515,2019-01-02,2019-12-23,NA_UNRECOVERED,-0.0117762257558546,1.5236940511762553,2019-09-30,-0.014895695797267128,2019-03-31,0.08936698439308777,402,183,36,268,0.5792349726775956,0.03330288229095594,0.041790322580645016,-0.18147806774014427,0.1266956521739135,,,0.17416616225877862,0.0,0.8701668504481006,0.9708790533628899,69055690.88367246,0.8258338377412214,6.646655974526538,,2.881684473069685e-07,9.245320113162736e-07,0.10813779200214682,0.14584974317809526,14246.799202156093,19215.22500388307
2020,ATRDR,BULL,2020,1133365.819591986,1235964.7052706676,0.09052583367620648,92312.38167362605,25851.84433215091,102598.88567868154,15565.340327095417,0.07125244060186442,2020-01-02,2020-03-23,NA_UNRECOVERED,-0.01447367341638135,1.0192864020472066,2020-03-31,-0.030939458554915644,2020-07-31,0.06928654535289858,404,224,0,268,0.5758928571428571,0.013522831072858652,0.02114032003337407,-0.3049486733362332,0.1429656009586048,,,0.1769046505901997,0.03313559027709027,0.7158347788493395,0.954096148016361,73606660.23248664,0.8230953494098003,6.6215868895543055,,3.4233609292821115e-07,1.1663418568504098e-06,0.20417024377247306,0.21897014047325042,20947.639499800505,22466.09240945986
2021,ATRDR,BULL,2021,1235964.7052706676,1363050.203957606,0.10282291892720985,118925.65075014767,19024.266307569993,127085.49868693855,10864.41837077912,0.015552813161922696,2021-01-04,2021-12-07,2021-12-31,-0.004103585661122677,2.9066354918218074,2021-03-31,-0.0007386420149081419,2021-12-31,0.034494767117046576,252,122,8,268,0.6311475409836066,0.03650623073546277,0.03614423076923066,-0.20799231754161365,0.14812181818181813,,,0.11200935487172459,0.0,0.5247644626942068,0.5947375917204076,50874672.52724157,0.8879906451282755,4.2613615036613295,,6.906321536893658e-08,3.1357395797556525e-07,0.13470905132647684,0.13470905132647684,17119.56696546971,17119.56696546971
2022,ATRDR,BULL,2022,1363050.203957606,1381639.611500153,0.013638094538684475,21437.790828093297,11594.810821744728,18589.40754254698,14443.194107291047,0.04859405240810022,2022-01-04,2022-03-15,NA_UNRECOVERED,-0.007857872782996416,0.3185760043519065,2022-03-31,-0.011489335094116537,2022-06-30,0.009928242238118612,319,165,0,268,0.5454545454545454,-0.0013727242073209287,0.0030563380281688752,-0.24966296079578718,0.12669565217391343,,,0.15657352779830339,0.08038785117773237,0.6232702192134799,0.7061499366576927,73840454.4963077,0.8434264722016966,5.331659266711273,,8.546246491983389e-07,2.5760017917402897e-06,1.081265519955755,1.2324570013253096,20100.085412161494,22910.64547630154
2023,ATRDR,BULL,2023,1381639.611500153,1446425.2662861955,0.04689041501618463,63219.54836368271,16106.269529576586,64785.6547860424,14540.163107216895,0.023702162754561273,2023-01-03,2023-02-17,NA_UNRECOVERED,-0.008040992797605822,0.9175868030532384,2023-11-30,-0.007976916034536874,2023-02-28,0.020965575902315958,304,152,0,268,0.5263157894736842,0.012049527346937667,0.005942408612939814,-0.180532381997805,0.12669565217391354,,,0.14873106082017176,0.0,0.9046055857693946,0.982892465126105,77696766.56235816,0.8512689391798282,5.042777925119959,,2.557230514386582e-07,1.0210553940291708e-06,0.2805573918728438,0.2805573918728438,18176.094337546478,18176.094337546478
2024,ATRDR,BULL,2024,1446425.2662861955,1563062.6524513718,0.08063837716597111,115802.66878302983,17896.749860574433,116637.38616517629,17062.03247842798,0.06097957376081253,2024-01-02,2024-09-25,NA_UNRECOVERED,-0.008527748009544154,0.873672373297858,2024-05-31,-0.027692627434763084,2024-09-30,0.12294321476632941,353,174,5,268,0.5574712643678161,0.013744591873315894,0.023472852226720676,-0.3915660377358487,0.12669565217391324,,,0.12292949687185771,0.043226537516123945,0.47907685152388685,0.8235057493473228,69847881.89417341,0.8770705031281422,5.844714066683605,,6.637117261816718e-07,1.1917524167456932e-06,0.24503056379239863,0.2569302324980132,28579.72449132486,29967.670745379295
2025,ATRDR,BULL,2025,1563062.6524513718,1676328.3748958558,0.07246396826566603,101439.76926760649,40250.48600658984,113265.72244448401,28424.53282971232,0.040310639060632036,2025-01-02,2025-05-15,NA_UNRECOVERED,-0.011153216128521262,1.027616459623445,2025-04-30,-0.008941128005070964,2025-07-31,0.023228507661999354,539,273,0,268,0.5238095238095238,0.006749686437296035,0.0033676470588236535,-0.2803553299492386,0.1778550932568149,,,0.24950192537141147,0.16900266398773947,0.8255171177973363,0.9786225139393836,139355887.7044585,0.7504980746285884,8.72533190944078,,1.9102678572753322e-07,6.806496446613812e-07,0.23236582485721122,0.23236582485721122,26319.08302386047,26319.08302386047
2026,ATRDR,BULL,2026 YTD,1676328.3748958558,1779873.9316089086,0.06176925610979156,109946.66571439571,9328.679976958992,103545.55671305279,15729.788978301913,0.02606724889299772,2026-01-05,2026-08-24,NA_UNRECOVERED,-0.008132134599178905,1.4671007022693103,2026-08-31,-0.0028451747199441657,2026-05-31,0.030902172570187902,271,130,11,268,0.5461538461538461,0.01567316897609526,0.018817415689149606,-0.3290711372904397,0.12669565217391318,,,0.16479070539875812,0.0,0.7603567130773456,0.8388271047841276,69178299.69332325,0.8352092946012417,4.470241670554683,,2.09650467366961e-07,7.398556368313722e-07,0.2896209509937957,0.3287172336355741,29988.962606416357,34037.208957970164
2018,ATRDR,FAST_BEAR,2018,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-02,2018-01-02,2018-12-28,0.0,,2018-02-28,0.0,2018-02-28,0.0,0,0,0,29,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,NA_NEGATIVE_OR_ZERO_DENOMINATOR,NA_NEGATIVE_OR_ZERO_DENOMINATOR,NA_NEGATIVE_OR_ZERO_DENOMINATOR,NA_NEGATIVE_OR_ZERO_DENOMINATOR,0.0,0.0
2019,ATRDR,FAST_BEAR,2019,1000000.0,1002339.8706410264,0.002339870641026476,2339.8706410262603,138.23545100087372,2339.870641026413,138.23545100072093,0.0013674102918702635,2019-01-02,2019-11-27,2019-12-31,-0.00030922547162441747,0.9562643333194545,2019-11-30,-0.0013023327032603005,2019-12-31,0.002050206221041906,4,2,0,29,1.0,0.06486947689182358,0.06486947689182358,0.04264804469273758,0.0870909090909096,,,0.0023576027801042567,0.0,0.016821500368974826,0.01812864093857004,820524.2216751531,0.9976423972198958,0.06905832761125108,,7.055000468506973e-07,1.5833551170221189e-06,0.9999999999999347,0.9999999999999347,2339.8706410262603,2339.8706410262603
2020,ATRDR,FAST_BEAR,2020,1002339.8706410264,1025995.95425208,0.023600860650115463,23656.08361105301,1532.3635379890866,23656.08361105353,1532.3635379885663,0.006308836696235831,2020-01-02,2020-10-30,NA_UNRECOVERED,-0.0017568750064613269,1.5743345523292214,2020-10-31,-0.0038205506554157553,2020-02-29,0.015988309322086725,44,22,0,29,0.9090909090909091,0.05622877746242295,0.08709090909090911,-0.20790809628008747,0.08709090909090979,,,0.018173218189331992,0.0,0.0968629504458019,0.23373342038187842,6429538.033169523,0.981826781810668,0.7490869162174247,,2.788806513175445e-07,1.0099047322271493e-06,0.39795624061939655,0.39795624061939655,9414.086101632982,9414.086101632982
2021,ATRDR,FAST_BEAR,2021,1025995.95425208,1036546.1380972718,0.010282870806135547,10550.183845191754,572.6869414430826,10550.183845191845,572.6869414429916,0.0010521827338969558,2021-01-04,2021-11-08,NA_UNRECOVERED,-0.0002836099804983928,2.673836514692226,2021-02-28,0.0,2021-08-31,0.004802750845684711,16,8,0,29,0.875,0.06903935698447895,0.08709090909090914,-0.05732150776053213,0.0870909090909093,,,0.004521138230987668,0.0,0.03374022332179541,0.05289327760720688,1514467.9375990105,0.9954788617690123,0.2783048982324826,,1.9457007352597596e-07,6.619216847942622e-07,0.7843363090074428,0.7843363090074428,8274.892256487721,8274.892256487721
2022,ATRDR,FAST_BEAR,2022,1036546.1380972718,1061861.2039036592,0.024422517122929976,23821.9794402503,4190.742740976797,25315.065806387458,2697.6563748396384,0.01322335789304252,2022-01-04,2022-03-15,NA_UNRECOVERED,-0.0026177562490341958,1.2830333987925115,2022-03-31,-0.00907962952665975,2022-05-31,0.02202270026219888,76,38,0,29,0.7368421052631579,0.02689638575672789,0.087090909090909,-0.3266440000000001,0.08709090909090961,,,0.03056682064368467,0.0,0.14833751544681123,0.306264336449395,11208462.56680627,0.9694331793563153,1.279837580603959,,3.1824076055315267e-07,1.147690321132195e-06,0.4921673207683354,0.4921673207683354,12459.248113003816,12459.248113003816
2023,ATRDR,FAST_BEAR,2023,1061861.2039036592,1059566.7220729294,-0.0021608114340130324,-2294.481830729892,209.5165247805504,-2294.48183072987,209.51652478052858,0.00550998162372518,2023-01-03,2023-09-27,NA_UNRECOVERED,-0.0006244901073936527,-0.5713910085823105,2023-09-30,-0.002460031945843544,2023-08-31,0.00041721115611559334,6,3,0,29,0.3333333333333333,-0.05723537264796221,-0.07455922215674718,-0.18423780487804892,0.08709090909090948,,,0.0029643164790569415,0.0,0.031275049143517177,0.034728052683665654,1192701.174999033,0.997035683520943,0.09870774012639935,,NA_NEGATIVE_OR_ZERO_DENOMINATOR,NA_NEGATIVE_OR_ZERO_DENOMINATOR,NA_NEGATIVE_OR_ZERO_DENOMINATOR,NA_NEGATIVE_OR_ZERO_DENOMINATOR,5759.130961425057,5759.130961425057
2024,ATRDR,FAST_BEAR,2024,1059566.7220729294,1064753.2409252468,0.00489494313503025,5186.51885231736,227.38391628124958,5186.518852317473,227.3839162811368,0.0005234810426070213,2024-01-02,2024-05-08,2024-12-31,-4.026777250823241e-05,1.4254545071498275,2024-02-29,0.0,2024-04-30,0.00422036335028575,6,3,0,29,1.0,0.08709090909090911,0.08709090909090911,0.08709090909090911,0.08709090909090914,,,0.0006615600288481318,0.0,0.0,0.0513618618284733,374467.02276955824,0.9993384399711519,0.10694259160150231,,6.331301477763338e-07,1.0277440365117983e-06,0.9999999999999782,0.9999999999999782,5186.51885231736,5186.51885231736
2025,ATRDR,FAST_BEAR,2025,1064753.2409252468,1092528.6227659818,0.02608621488355256,27775.38184073449,1475.338754464663,27775.381840734975,1475.3387544641791,0.010699847638936055,2025-01-02,2025-01-22,NA_UNRECOVERED,-0.0012989362567957625,1.3638580294376457,2025-03-31,0.0,2025-02-28,0.027928114648335667,40,20,0,29,0.9,0.07086212143528256,0.08709090909090901,-0.10034615384615389,0.0870909090909092,,,0.016245464197162017,0.0,0.0828361465464346,0.3319854576582709,8296643.507856201,0.9837545358028379,0.6766500522501276,,3.9749551019153535e-07,1.3251739402992482e-06,0.3141934920160636,0.3141934920160636,8726.844212620083,8726.844212620083
2026,ATRDR,FAST_BEAR,2026 YTD,1092528.6227659818,1102537.322000219,0.009161040750491178,10008.699234236668,974.7414795677761,10008.699234237196,974.7414795672486,0.007702138209829346,2026-01-05,2026-06-26,NA_UNRECOVERED,-0.0018589524754341552,0.8196890173863711,2026-06-30,-0.002433252940673425,2026-04-30,0.006618116057980128,26,13,0,29,0.6923076923076923,0.03459782554673156,0.08709090909090908,-0.12335689694744084,0.08709090909090926,,,0.01597775482935396,0.0,0.06828951296043985,0.13780035927268386,4406398.38536529,0.9840222451706461,0.44382457329367936,,1.0608438645027951e-06,2.141443451049063e-06,0.9098808560111966,0.9098808560111966,9106.723826806348,9106.723826806348
2018,ATRDR,SLOW_BEAR,2018,1002464.4390853324,1155076.188366778,0.15223657152436387,152417.1197997579,12773.230411341456,152611.74928144552,12578.600929653838,0.027243532313021346,2018-01-02,2018-07-05,NA_UNRECOVERED,-0.0070512454071740135,2.314663673122748,2018-08-31,-0.008306373663713451,2018-11-30,0.07044960235698872,340,175,0,144,0.7714285714285715,0.042327661621712906,0.087090909090909,-0.22697064846416398,0.08709090909091001,,,0.16157791931100318,0.06720687914337356,0.6791661121239913,0.9493777835036418,59744396.22315964,0.8384220806889969,5.856538524224674,,1.9134472814416997e-07,6.217356141256376e-07,0.10609717784680417,0.11688071699253694,16191.675905025413,17837.370677500636
2019,ATRDR,SLOW_BEAR,2019,1155076.188366778,1157198.8080502334,0.0018376447413885888,1922.4749224761672,1209.2459087136217,2122.619683455443,1009.1011477343458,0.006173081073432951,2019-01-02,2019-08-09,NA_UNRECOVERED,-0.0010539569580220176,0.2504564894692351,2019-07-31,-0.003701175992395167,2019-09-30,0.007319107522954171,25,13,0,144,0.5384615384615384,-0.020552597654401074,0.04036900369003709,-0.1942070844686648,0.08709090909090948,,,0.014775209616043658,0.0,0.0986601661426064,0.13619708772982128,5953070.682920363,0.9852247903839564,0.43656971122617616,,1.316562026265751e-06,5.217394766368706e-06,5.892270905171969,5.892270905171969,12507.050203569843,12507.050203569843
2020,ATRDR,SLOW_BEAR,2020,1157198.8080502334,1160818.9172434455,0.0031283381628361973,7698.40365434193,-2265.455406942461,3620.10919321212,1812.8390541873487,0.008118603738940688,2020-01-02,2020-04-28,NA_UNRECOVERED,-0.0017492086821102935,0.29739630124878985,2020-04-30,-0.004334213330778103,2020-05-31,0.007938026624585426,44,21,2,144,0.5714285714285714,0.01286206961223628,0.03997074468085096,-0.1904439608269861,0.0870909090909096,,,0.025977857053197835,0.0,0.12095792306611916,0.14195555990155578,10607796.643232698,0.9740221429468021,0.7815444996707173,,7.590740652921555e-07,3.2286425888851344e-06,3.360578109890842,3.360578109890842,12165.659710123247,12165.659710123247
2021,ATRDR,SLOW_BEAR,2021,1160818.9172434455,1205785.6716583697,0.03873709649882784,40888.45995379411,8584.294987785903,44966.75441492419,4506.000526655825,0.0073992289884827755,2021-01-04,2021-01-14,2021-12-31,-0.00252214862021398,1.930866136953623,2021-09-30,-0.0011666245133110653,2021-03-31,0.01212964639434344,108,55,0,144,0.7818181818181819,0.028289529196362996,0.06439957112223006,-0.23247239263803676,0.08709090909090954,,,0.05749865021644772,0.0,0.2791691849974276,0.3515016423662836,24109533.30725032,0.9425013497835524,1.9042335066839655,,1.365680934103849e-07,5.595519600807818e-07,0.3132354556412769,0.3132354556412769,14085.181807868177,14085.181807868177
