strategy,period,annual_return_mean,annual_return_median,annual_return_std,positive_years,negative_years
ATRDR,2018-2021,0.14020692601382362,0.13789923826825112,0.017301421827528477,4,0
ATRDR,2022-2023,0.07430784554686154,0.07430784554686154,0.004327264161579383,2,0
ATRDR,2024-2026YTD,0.10087398163255257,0.09962844368485246,0.0328379412642375,3,0
IFCGR,2018-2021,0.025916832977676107,0.006184464765614184,0.04105114800320322,4,0
IFCGR,2022-2023,0.008134361816628743,0.008134361816628743,0.010132030540895705,2,0
IFCGR,2024-2026YTD,0.01409155961569386,0.010477148454882457,0.010522562853592347,3,0
MCB,2018-2021,0.08570982756892664,0.0900765899353112,0.054539658029629116,4,0
MCB,2022-2023,0.03616159223031268,0.03616159223031268,0.022866902636551136,2,0
MCB,2024-2026YTD,0.0632223903544981,0.058281614606402465,0.028451809394769042,3,0
OGR,2018-2021,0.027101899040229305,0.007200777204824815,0.04207186146690305,4,0
OGR,2022-2023,0.008138849003957005,0.008138849003957005,0.010138600648373637,2,0
OGR,2024-2026YTD,0.012742347879491614,0.0065102604876208225,0.012422672231310824,3,0
SMV6,2018-2021,0.06105231853197263,0.030539471662339945,0.06686604219003883,4,0
SMV6,2022-2023,0.04083763510147287,0.04083763510147287,0.01913331243659303,2,0
SMV6,2024-2026YTD,0.27746726810271927,0.280697168828997,0.06619458181853606,3,0
