strategy,year,opportunity_count,eligible_count,funded_count,mean_realized_return,median_realized_return,total_pnl,mean_holding_days,median_holding_days,requested_notional,funded_notional
ATRDR Bull,2018,112,112,112,-0.005914236284280347,-0.012929762869108345,-25085.438861047085,21.124813988095237,22.0,3330374.1184996027,3330374.1184996027
ATRDR Bull,2019,370,370,214,0.04249002149742571,0.039621306165441905,284031.29465240816,19.238804517133957,22.0,13100366.625458844,7350263.3097825665
ATRDR Bull,2020,204,204,180,0.022010795445027143,0.02485697020114441,137119.77506106594,19.43148148148148,22.0,7540089.259854153,6749170.591192962
ATRDR Bull,2021,127,127,124,0.04922328275557047,0.040761657376270716,258616.32606065832,19.143985215053764,22.0,5525306.626186849,5387255.956214124
ATRDR Bull,2022,145,145,145,0.004141975553949491,0.002674704139244884,12387.107313801367,21.093103448275862,22.0,7298196.10407494,7298196.10407494
ATRDR Bull,2023,212,212,151,0.018293812026775366,0.00634120807376602,126684.44044744484,21.60692604856512,22.0,10268143.959278617,7764361.172147259
ATRDR Bull,2024,515,515,162,0.03299722796232276,0.050564989663753626,248264.5731596604,16.33449074074074,22.0,29731958.971071087,9346484.694868412
ATRDR Bull,2025,259,259,259,0.014548401339759114,0.003474310748817117,227500.55917097832,20.31153474903475,22.0,16173243.53283312,16173243.53283312
ATRDR Bull,2026,145,145,141,0.029830863444131977,0.019936103768439167,249855.87388886773,18.08054461942257,22.0,9797153.915108105,9520303.763020178
ATRDR Fast Bear,2019,2,2,2,0.07012498440618789,0.07012498440618789,4300.582713448941,25.114583333333336,25.114583333333336,60922.09031478278,60922.09031478278
ATRDR Fast Bear,2020,22,22,22,0.06423398355881056,0.09560878243512982,52368.009432576364,17.62121212121212,15.229166666666668,814089.9813950588,814089.9813950588
ATRDR Fast Bear,2021,8,8,8,0.07686810589347629,0.09560878243512985,25537.42438936165,11.075520833333334,8.229166666666666,343539.8000924965,343539.8000924965
ATRDR Fast Bear,2022,38,38,38,0.03610365968381999,0.09560878243512955,63363.156156520134,17.26425438596491,13.729166666666668,1780192.3616843496,1780192.3616843496
ATRDR Fast Bear,2023,3,3,3,-0.043248220562284355,-0.06951524970977399,-6708.8225003693005,23.743055555555554,29.0,164692.54191077672,164692.54191077672
ATRDR Fast Bear,2024,3,3,3,0.09560878243512978,0.09560878243512978,18306.45056220863,6.895833333333333,4.229166666666667,191472.47874042834,191472.47874042834
ATRDR Fast Bear,2025,20,20,20,0.07874281657137502,0.09560878243512981,91080.6779740049,23.84479166666667,23.229166666666668,1170761.368746232,1170761.368746232
ATRDR Fast Bear,2026,13,13,13,0.04176658194250848,0.09560878243512974,36925.318701336815,19.294871794871792,14.229166666666666,885618.5902650619,885618.5902650619
ATRDR Slow Bear,2018,295,295,165,0.0527606181828827,0.09560878243512966,240444.65466752587,19.081439393939394,15.229166666666666,8738886.470508104,4679377.491671044
ATRDR Slow Bear,2019,12,12,12,0.007284361128911965,0.044095427205918705,4998.827306365445,24.262152777777775,29.0,447403.2245001114,447403.2245001114
ATRDR Slow Bear,2020,23,23,23,0.004272137986266507,0.0398262388764933,2269.503023062309,24.828804347826086,29.0,901899.6918306898,901899.6918306898
ATRDR Slow Bear,2021,53,53,53,0.04283439098834314,0.07159787567721711,96871.85960518161,21.73506289308176,29.0,2231072.491485102,2231072.491485102
ATRDR Slow Bear,2022,69,69,69,0.03191473487044125,0.07610239461729323,113281.74943643661,20.383756038647345,26.229166666666668,3261091.8545440207,3261091.8545440207
ATRDR Slow Bear,2023,35,35,35,0.043426463587692185,0.07239673195980921,71063.19210524211,19.051785714285714,21.229166666666668,1743504.1214273358,1743504.1214273358
ATRDR Slow Bear,2024,146,146,146,0.017744826995096597,0.09560878243512966,109324.60255805674,19.01541095890411,21.729166666666668,8010081.329979032,8010081.329979032
ATRDR Slow Bear,2025,11,11,11,0.07280217905300827,0.09560878243512988,46893.59161062782,20.732954545454547,22.229166666666668,653531.4196060698,653531.4196060698
ATRDR Slow Bear,2026,30,30,30,-0.006141831806789484,0.09560878243512967,-16962.058627795217,17.696527777777778,21.729166666666668,2082319.2972058193,2082319.2972058193
IFCGR,2018,194,194,0,,,0.0,,,1235267.375711937,0.0
IFCGR,2019,21,21,0,,,0.0,,,145656.8043800842,0.0
IFCGR,2020,10,10,0,,,0.0,,,70291.57074486146,0.0
IFCGR,2021,23,23,0,,,0.0,,,158660.51334176413,0.0
