gap_id,exit_time_replay,exit_time_native,exit_raw_price_replay,exit_raw_price_native,identity
000519.SZ|2018-01-31,2018-02-27 13:15:00,2018-02-27 13:15:00,8.13,8.13,True
000917.SZ|2018-01-31,2018-03-02 14:06:00,2018-03-02 14:06:00,7.98,7.98,True
002200.SZ|2018-01-31,2018-03-13 09:47:00,2018-03-13 09:47:00,10.13,10.13,True
002261.SZ|2018-02-01,2018-03-01 13:20:00,2018-03-01 13:20:00,6.63,6.63,True
002401.SZ|2018-02-01,2018-03-06 09:45:00,2018-03-06 09:45:00,10.8,10.8,True
002446.SZ|2018-01-31,2018-03-06 09:40:00,2018-03-06 09:40:00,8.31999969482,8.31999969482,True
002631.SZ|2018-01-31,2018-03-14 09:56:00,2018-03-14 09:56:00,9.54,9.54,True
002702.SZ|2018-01-31,2018-03-07 13:01:00,2018-03-07 13:01:00,4.69,4.69,True
002759.SZ|2018-01-31,2018-03-01 09:41:00,2018-03-01 09:41:00,13.54,13.54,True
300025.SZ|2018-01-31,2018-03-06 10:21:00,2018-03-06 10:21:00,5.3,5.3,True
300076.SZ|2018-01-30,2018-03-12 10:07:00,2018-03-12 10:07:00,5.29,5.29,True
300220.SZ|2018-02-01,2018-02-27 10:33:00,2018-02-27 10:33:00,13.68,13.68,True
300268.SZ|2018-01-31,2018-03-12 09:30:00,2018-03-12 09:30:00,17.0499992371,17.0499992371,True
600571.SH|2018-02-01,2018-02-27 09:43:00,2018-02-27 09:43:00,9.16,9.16,True
600601.SH|2018-01-31,2018-03-06 10:36:00,2018-03-06 10:36:00,3.19,3.19,True
600698.SH|2018-01-31,2018-02-26 13:22:00,2018-02-26 13:22:00,6.31,6.31,True
002106.SZ|2018-02-02,2018-03-05 09:58:00,2018-03-05 09:58:00,8.2,8.2,True
002338.SZ|2018-02-02,2018-03-02 10:14:00,2018-03-02 10:14:00,11.96,11.96,True
002724.SZ|2018-02-02,2018-03-08 14:08:00,2018-03-08 14:08:00,8.26,8.26,True
300106.SZ|2018-01-31,2018-03-13 10:24:00,2018-03-13 10:24:00,7.03,7.03,True
600397.SH|2018-01-31,2018-03-07 09:46:00,2018-03-07 09:46:00,3.08,3.08,True
