opportunity_id,strategy,status,error
002631.SZ|2018-01-31,IFCGR,PASS,
300268.SZ|2018-01-31,IFCGR,PASS,
002200.SZ|2018-01-31,IFCGR,PASS,
300076.SZ|2018-01-30,IFCGR,PASS,
600698.SH|2018-01-31,IFCGR,PASS,
002446.SZ|2018-01-31,IFCGR,PASS,
002702.SZ|2018-01-31,IFCGR,PASS,
300220.SZ|2018-02-01,IFCGR,PASS,
002401.SZ|2018-02-01,IFCGR,PASS,
000917.SZ|2018-01-31,IFCGR,PASS,
300025.SZ|2018-01-31,IFCGR,PASS,
600601.SH|2018-01-31,IFCGR,PASS,
002759.SZ|2018-01-31,IFCGR,PASS,
600571.SH|2018-02-01,IFCGR,PASS,
002261.SZ|2018-02-01,IFCGR,PASS,
002338.SZ|2018-02-02,IFCGR,PASS,
300106.SZ|2018-01-31,IFCGR,PASS,
603958.SH|2018-02-02,IFCGR,PASS,
002106.SZ|2018-02-02,IFCGR,PASS,
002724.SZ|2018-02-02,IFCGR,PASS,
603336.SH|2018-02-02,IFCGR,PASS,
002799.SZ|2018-02-05,IFCGR,PASS,
300517.SZ|2018-02-02,IFCGR,PASS,
002836.SZ|2018-02-01,IFCGR,PASS,
600113.SH|2018-02-02,IFCGR,PASS,
300380.SZ|2018-02-05,IFCGR,PASS,
600830.SH|2018-02-02,IFCGR,PASS,
002846.SZ|2018-02-02,IFCGR,PASS,
002048.SZ|2018-03-23,IFCGR,PASS,
300418.SZ|2018-04-03,IFCGR,PASS,
300433.SZ|2018-04-03,IFCGR,PASS,
300355.SZ|2018-06-13,IFCGR,PASS,
300228.SZ|2018-06-19,IFCGR,PASS,
000839.SZ|2018-06-19,IFCGR,PASS,
603300.SH|2018-06-19,IFCGR,PASS,
002730.SZ|2018-06-19,IFCGR,PASS,
002755.SZ|2018-06-19,IFCGR,PASS,
603488.SH|2018-06-19,IFCGR,PASS,
600522.SH|2018-06-19,IFCGR,PASS,
300502.SZ|2018-06-19,IFCGR,PASS,
000070.SZ|2018-06-19,IFCGR,PASS,
600822.SH|2018-06-19,IFCGR,PASS,
603817.SH|2018-06-19,IFCGR,PASS,
600012.SH|2018-06-19,IFCGR,PASS,
002743.SZ|2018-06-19,IFCGR,PASS,
600970.SH|2018-06-19,IFCGR,PASS,
000725.SZ|2018-06-19,IFCGR,PASS,
300649.SZ|2018-06-19,IFCGR,PASS,
002241.SZ|2018-06-19,IFCGR,PASS,
300230.SZ|2018-06-19,IFCGR,PASS,
002385.SZ|2018-06-26,IFCGR,PASS,
000002.SZ|2018-06-26,IFCGR,PASS,
002387.SZ|2018-06-22,IFCGR,PASS,
603579.SH|2018-08-06,IFCGR,PASS,
002543.SZ|2018-08-06,IFCGR,PASS,
002600.SZ|2018-08-27,IFCGR,PASS,
300608.SZ|2018-09-28,IFCGR,PASS,
000839.SZ|2018-10-08,IFCGR,PASS,
002100.SZ|2018-09-26,IFCGR,PASS,
002928.SZ|2018-10-08,IFCGR,PASS,
300053.SZ|2018-10-08,IFCGR,PASS,
300353.SZ|2018-10-08,IFCGR,PASS,
300534.SZ|2018-10-08,IFCGR,PASS,
300050.SZ|2018-10-08,IFCGR,PASS,
300027.SZ|2018-10-08,IFCGR,PASS,
300017.SZ|2018-10-08,IFCGR,PASS,
603829.SH|2018-10-08,IFCGR,PASS,
002649.SZ|2018-09-28,IFCGR,PASS,
002837.SZ|2018-10-08,IFCGR,PASS,
300316.SZ|2018-10-08,IFCGR,PASS,
300623.SZ|2018-10-08,IFCGR,PASS,
002236.SZ|2018-10-08,IFCGR,PASS,
300007.SZ|2018-10-08,IFCGR,PASS,
300678.SZ|2018-10-08,IFCGR,PASS,
002553.SZ|2018-10-11,IFCGR,PASS,
000957.SZ|2018-10-11,IFCGR,PASS,
600604.SH|2018-10-11,IFCGR,PASS,
000572.SZ|2018-10-11,IFCGR,PASS,
600336.SH|2018-10-11,IFCGR,PASS,
002694.SZ|2018-10-11,IFCGR,PASS,
000868.SZ|2018-10-11,IFCGR,PASS,
000718.SZ|2018-10-11,IFCGR,PASS,
600831.SH|2018-10-11,IFCGR,PASS,
603758.SH|2018-10-11,IFCGR,PASS,
600388.SH|2018-10-11,IFCGR,PASS,
002494.SZ|2018-10-11,IFCGR,PASS,
002400.SZ|2018-10-11,IFCGR,PASS,
000850.SZ|2018-10-11,IFCGR,PASS,
300613.SZ|2018-10-11,IFCGR,PASS,
300157.SZ|2018-10-12,IFCGR,PASS,
000727.SZ|2018-10-11,IFCGR,PASS,
002285.SZ|2018-10-11,IFCGR,PASS,
002043.SZ|2018-10-11,IFCGR,PASS,
300287.SZ|2018-10-11,IFCGR,PASS,
000917.SZ|2018-10-11,IFCGR,PASS,
600410.SH|2018-10-11,IFCGR,PASS,
002340.SZ|2018-10-11,IFCGR,PASS,
300396.SZ|2018-10-12,IFCGR,PASS,
002093.SZ|2018-10-11,IFCGR,PASS,
002703.SZ|2018-10-11,IFCGR,PASS,
600371.SH|2018-10-11,IFCGR,PASS,
002920.SZ|2018-10-11,IFCGR,PASS,
000905.SZ|2018-10-11,IFCGR,PASS,
002045.SZ|2018-10-11,IFCGR,PASS,
601611.SH|2018-10-11,IFCGR,PASS,
600616.SH|2018-10-11,IFCGR,PASS,
300242.SZ|2018-10-11,IFCGR,PASS,
600303.SH|2018-10-11,IFCGR,PASS,
600975.SH|2018-10-11,IFCGR,PASS,
002685.SZ|2018-10-11,IFCGR,PASS,
000536.SZ|2018-10-11,IFCGR,PASS,
002362.SZ|2018-10-11,IFCGR,PASS,
300504.SZ|2018-10-11,IFCGR,PASS,
