gap,mcb_mode,strategy,account_size_multiple,base_initial_nav_cny,diagnostic_initial_nav_cny,orders,independent_dates,missing_denominator,max_participation,p50_participation,p75_participation,p90_participation,p95_participation,p99_participation,orders_gt_1pct,orders_gt_2pct,orders_gt_5pct,orders_gt_10pct,orders_gt_20pct
IFCGR,confirmation_tag,ATRDR,1,4904782.129191859,4904782.129191859,37273,1185,0,0.18429798158413963,2.4000264274578187e-05,0.0001351418102861496,0.0005935887867818673,0.0014090712869473034,0.006104245080680105,203,69,11,3,0
IFCGR,confirmation_tag,ATRDR,2,4904782.129191859,9809564.258383717,37273,1185,0,0.36859596316827925,4.8000528549156375e-05,0.0002702836205722992,0.0011871775735637347,0.002818142573894607,0.01220849016136021,484,203,50,11,3
IFCGR,confirmation_tag,ATRDR,5,4904782.129191859,24523910.645959295,37273,1185,0,0.9214899079206982,0.00012000132137289094,0.0006757090514307479,0.002967943933909337,0.007045356434736517,0.030521225403400527,1342,621,203,69,16
IFCGR,confirmation_tag,ATRDR,10,4904782.129191859,49047821.29191859,37273,1185,0,1.8429798158413964,0.00024000264274578187,0.0013514181028614959,0.005935887867818674,0.014090712869473034,0.061042450806801055,2463,1342,484,203,69
IFCGR,confirmation_tag,IFCGR,1,4904782.129191859,4904782.129191859,7047,605,0,0.05071835154241534,1.1323804944437721e-06,1.5033025637339182e-05,0.00011603023070366753,0.00043962514376881317,0.004370888441428405,28,13,2,0,0
IFCGR,confirmation_tag,IFCGR,2,4904782.129191859,9809564.258383717,7047,605,0,0.10143670308483067,2.2647609888875443e-06,3.0066051274678364e-05,0.00023206046140733505,0.0008792502875376263,0.00874177688285681,64,28,8,2,0
IFCGR,confirmation_tag,IFCGR,5,4904782.129191859,24523910.645959295,7047,605,0,0.2535917577120767,5.66190247221886e-06,7.516512818669591e-05,0.0005801511535183376,0.002198125718844066,0.021854442207142024,131,75,28,13,3
IFCGR,confirmation_tag,IFCGR,10,4904782.129191859,49047821.29191859,7047,605,0,0.5071835154241534,1.132380494443772e-05,0.00015033025637339181,0.0011603023070366752,0.004396251437688132,0.04370888441428405,199,131,64,28,13
IFCGR,confirmation_tag,MCB,1,4904782.129191859,4904782.129191859,3302,296,0,0.0761500497913781,1.25047707630382e-05,6.632165117800754e-05,0.00031439150171768825,0.000861438171089008,0.004105478403223097,14,4,2,0,0
IFCGR,confirmation_tag,MCB,2,4904782.129191859,9809564.258383717,3302,296,0,0.1523000995827562,2.50095415260764e-05,0.00013264330235601509,0.0006287830034353765,0.001722876342178016,0.008210956806446195,30,14,2,2,0
IFCGR,confirmation_tag,MCB,5,4904782.129191859,24523910.645959295,3302,296,0,0.38075024895689047,6.252385381519099e-05,0.00033160825589003773,0.0015719575085884412,0.00430719085544504,0.020527392016115486,76,34,14,4,2
IFCGR,confirmation_tag,MCB,10,4904782.129191859,49047821.29191859,3302,296,0,0.7615004979137809,0.00012504770763038198,0.0006632165117800755,0.0031439150171768825,0.00861438171089008,0.04105478403223097,146,76,30,14,4
IFCGR,independent,ATRDR,1,4904782.129191859,4904782.129191859,37488,1187,0,0.18517902138825545,2.145434359876154e-05,0.00012064004454715855,0.000520225642626829,0.0012404459671912485,0.005726831827542274,191,63,12,3,0
IFCGR,independent,ATRDR,2,4904782.129191859,9809564.258383717,37488,1187,0,0.3703580427765109,4.290868719752308e-05,0.0002412800890943171,0.001040451285253658,0.002480891934382497,0.011453663655084548,438,191,45,12,3
