gap,mcb_mode,target,mechanic,year,capital_days_root,capital_days_account
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,1533049074.8402667,1533049074.8402667
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,1889584970.6013598,1889584970.60136
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,3152335221.736639,3152335221.73664
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,4849370675.1086855,4849370675.108685
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,9718704202.157246,9718704202.157248
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,10975845239.439707,10975845239.439705
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,11535773250.038591,11535773250.038595
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,16542439204.296661,16542439204.296654
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,14829770523.15668,14829770523.156685
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,376575781.2468134,376575781.2468134
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,408629259.3588418,408629259.3588418
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,460691958.4505987,460691958.4505987
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,512903552.22065526,512903552.2206552
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,680656479.0848782,680656479.0848782
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,648308375.6054444,648308375.6054444
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,676789783.9178468,676789783.9178467
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,783430256.5847827,783430256.5847826
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,549635493.4159328,549635493.4159336
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,757672643.5744334,757672643.5744334
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,872744300.6467754,872744300.6467754
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,1118649980.5780454,1118649980.5780456
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,1305096322.876812,1305096322.876812
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2022,2031683845.4627004,2031683845.4627
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2023,2053457083.9778883,2053457083.977889
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,2179234495.22282,2179234495.2228203
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,2652959434.4534745,2652959434.453474
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2026,2015678146.8288329,2015678146.8288343
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2018,1143702672.4129467,1143702672.4129467
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2019,1368503174.100319,1368503174.100319
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2020,2018269966.0352266,2018269966.035226
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2021,2631906213.797582,2631906213.7975836
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2022,4699217023.628772,4699217023.628771
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2023,5025017434.153729,5025017434.15373
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2024,5326834582.948436,5326834582.948435
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2025,6847752839.253077,6847752839.253075
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2026,4877306392.640674,4877306392.640675
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,206701953.0567225,206701953.0567225
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2019,211927544.37621966,211927544.3762197
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2020,327339040.6583812,327339040.65838134
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2021,237556299.42662624,237556299.4266262
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2022,300527712.6921324,300527712.69213235
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2023,316693774.9521089,316693774.95210886
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,466256334.2636678,466256334.2636678
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,684721739.1059548,684721739.1059549
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,376790372.51201576,376790372.5120158
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2018,1536349957.5968578,1536349957.5968578
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2019,1914364242.560143,1914364242.5601428
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2020,3170831643.6211896,3170831643.62119
