gap,mcb_mode,target,mechanic,year,strategy,pnl
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,ATRDR,221160.5832425934
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,IFCGR,87460.77183940033
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,MCB,33476.11853456644
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,SMV6,22037.74926284229
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2019,ATRDR,253201.34320356586
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2019,IFCGR,7730.883573860368
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2019,MCB,80814.8695064485
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2019,SMV6,27905.10637949992
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2020,ATRDR,251353.12843227488
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2020,IFCGR,4202.940944051678
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2020,MCB,3073.629161994255
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2020,SMV6,169138.00508529018
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2021,ATRDR,378630.20596696215
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2021,IFCGR,5782.611785829486
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2021,MCB,9715.12458983369
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2021,SMV6,41175.11735871985
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2022,ATRDR,208594.8916143939
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2022,IFCGR,16907.873267857733
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2022,MCB,4700.969031382894
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2022,SMV6,34415.49890170461
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2023,ATRDR,206957.29756157266
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2023,IFCGR,1088.3488236568667
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2023,MCB,60514.057820771486
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2023,SMV6,70387.31365555695
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,ATRDR,417954.43348014547
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,IFCGR,29140.707772993228
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,MCB,87471.67851813014
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2024,SMV6,466833.41609049734
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,ATRDR,351654.21160100156
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,IFCGR,6743.981085751679
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,MCB,23467.513634033254
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2025,SMV6,384178.6856417313
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,ATRDR,266554.97171333566
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,IFCGR,12143.623981578541
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,MCB,8660.237690092468
IFCGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2026,SMV6,622044.8254142485
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,ATRDR,221160.58324259336
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,IFCGR,87460.77183940036
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,MCB,24828.704421078954
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,SMV6,22037.74926284229
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,ATRDR,253201.34320356688
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,IFCGR,7730.8835738603675
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,MCB,192344.2503698864
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,SMV6,27905.10637949992
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,ATRDR,251353.12843227634
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,IFCGR,4202.940944051683
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,MCB,172919.74703721202
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,SMV6,169138.00508529018
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,ATRDR,378630.20596696547
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,IFCGR,5782.611785829484
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,MCB,114352.3422715802
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,SMV6,41175.11735871985
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,ATRDR,208594.89161439546
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,IFCGR,16907.873267857743
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,MCB,36334.361105439835
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,SMV6,34415.49890170461
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,ATRDR,206957.29756157383
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,IFCGR,1088.3488236568687
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,MCB,97008.81661617101
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,SMV6,70387.31365555695
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ATRDR,417954.4334801499
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,IFCGR,29140.7077729933
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,MCB,183022.7710015212
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,SMV6,466833.41609049734
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,ATRDR,351654.21160100464
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,IFCGR,6743.981085751685
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,MCB,80154.80266060504
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,SMV6,384178.6856417313
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,ATRDR,266554.971713338
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,IFCGR,12143.623981578592
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,MCB,129032.17440600572
IFCGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,SMV6,622044.8254142485
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,ATRDR,221160.5832425933
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,MCB,33476.11853456644
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,OGR,90161.52633427393
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,SMV6,22037.74926284229
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2019,ATRDR,253201.34320356578
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2019,MCB,80814.8695064485
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2019,OGR,8443.519771569594
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2019,SMV6,27905.10637949992
