gap,mcb_mode,end,days,signals,intents,fills,positions,cash,nav,callback_state,status
OGR,independent,2021-12-31,973,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OGR,confirmation_tag,2021-12-31,973,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IFCGR,independent,2021-12-31,973,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IFCGR,confirmation_tag,2021-12-31,973,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OGR,independent,2022-12-31,1215,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OGR,confirmation_tag,2022-12-31,1215,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IFCGR,independent,2022-12-31,1215,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IFCGR,confirmation_tag,2022-12-31,1215,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OGR,independent,2023-12-31,1457,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OGR,confirmation_tag,2023-12-31,1457,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IFCGR,independent,2023-12-31,1457,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IFCGR,confirmation_tag,2023-12-31,1457,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OGR,independent,2024-12-31,1699,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OGR,confirmation_tag,2024-12-31,1699,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IFCGR,independent,2024-12-31,1699,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IFCGR,confirmation_tag,2024-12-31,1699,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OGR,independent,2025-12-31,1942,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OGR,confirmation_tag,2025-12-31,1942,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IFCGR,independent,2025-12-31,1942,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IFCGR,confirmation_tag,2025-12-31,1942,BOUND_SIGNAL_PREFIX_SEPARATE_PRODUCER_CHECK,PASS,PASS,PASS,PASS,PASS,PASS,PASS
