trade_date,cash,gross_exposure,nav,fees,max_security_exposure,virtual_nav,ATRDR_exposure,ATRDR_nav,MCB_exposure,MCB_nav,OGR_exposure,OGR_nav,SMV6_exposure,SMV6_nav,shared_exposure,previous_nav,gap,mcb_mode,target,mechanic,IFCGR_exposure,IFCGR_nav
2018-01-02,4629567.758958624,279137.2764331221,4908705.035391746,0.0,32135.19266262778,4908705.035391746,279137.2764331221,1595727.801372573,0.0,1312977.2340191728,0.0,1000000.0,0.0,1000000.0,0,4904782.129191859,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-03,4651034.00577438,258774.2042644216,4909808.210038802,43.01853069289703,31915.204508539227,4909808.210038801,258774.2042644216,1596830.9760196283,0.0,1312977.2340191728,0.0,1000000.0,0.0,1000000.0,0,4908705.035391746,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-04,4503810.6900505815,406713.0224173142,4910523.712467896,467.1409657408502,53542.39873170065,4910523.712467893,362790.36197592405,1597389.7258079688,43922.660441390115,1313133.9866599238,0.0,1000000.0,0.0,1000000.0,0,4909808.210038802,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-05,4326222.396478267,585076.7044085237,4911299.100886791,821.608617581796,53256.31111003517,4911299.100886789,541096.9383780904,1598108.0086378208,43979.766030433355,1313191.0922489672,0.0,1000000.0,0.0,1000000.0,0,4910523.712467896,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-08,4237441.340821432,670795.3432234828,4908236.684044914,998.8163135036237,52288.01454439817,4908236.684044912,627224.289995103,1595454.3045979978,43571.05322837981,1312782.3794469135,0.0,1000000.0,0.0,1000000.0,0,4911299.100886791,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-09,4237441.340821432,672983.2613160715,4910424.602137503,998.8163135036237,51847.87974183589,4910424.602137501,629735.6716903206,1597965.6862932155,43247.58962575093,1312458.9158442847,0.0,1000000.0,0.0,1000000.0,0,4908236.684044914,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-10,4207838.514996857,696842.4418156246,4904680.956812482,1057.903790199381,52376.04150491062,4904680.9568124795,653261.2386285482,1591888.4274068687,43581.20318707639,1312792.5294056102,0.0,1000000.0,0.0,1000000.0,0,4910424.602137503,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-11,4207838.514996857,700062.349098509,4907900.864095367,1057.903790199381,52155.97410362948,4907900.864095364,656194.8478834358,1594822.0366617562,43867.50121507314,1313078.8274336068,0.0,1000000.0,0.0,1000000.0,0,4904680.956812482,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-12,4207838.514996857,700589.2741848266,4908427.789181684,1057.903790199381,51759.85278132344,4908427.789181681,656743.098336643,1595370.2871149634,43846.17584818368,1313057.5020667175,0.0,1000000.0,0.0,1000000.0,0,4907900.864095367,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-15,3766255.6244023717,1129843.1778729628,4896098.8022753345,1275.5646235994893,503252.16536312836,4896098.802275333,583666.4260300974,1580988.6202052338,42924.58647973706,1312135.9126982708,0.0,1000000.0,503252.16536312836,1002974.2693718268,0,4908427.789181684,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-16,3818684.024562812,1086934.484320027,4905618.508882839,1380.6315577887483,507415.99999999994,4905618.508882836,537219.141766993,1586969.7361025698,42299.34255303415,1311510.668771568,0.0,1000000.0,507415.99999999994,1007138.1040086984,0,4896098.8022753345,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-17,3872799.2362382747,1034182.6495076342,4906981.885745909,1489.078875775648,508748.79999999993,4906981.885745907,483309.4127949669,1587175.2188060067,42124.436712667404,1311335.7629312011,0.0,1000000.0,508748.79999999993,1008470.9040086984,0,4905618.508882839,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-18,3905232.352196576,1013471.1542320498,4918703.506428625,1554.075100140981,515744.68203477137,4918703.506428624,455538.93201167294,1591837.8539810139,42187.5401856056,1311398.8664041394,0.0,1000000.0,515744.68203477137,1015466.7860434698,0,4906981.885745909,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-19,3936098.0065655448,981432.6957436504,4917530.702309195,1615.9301189164694,516911.59601670405,4917530.702309193,422049.26014420344,1589213.836482513,42471.839582742934,1311683.1658012767,0.0,1000000.0,516911.59601670405,1016633.7000254025,0,4918703.506428625,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-22,3936098.0065655448,991331.7106023442,4927429.717167889,1615.9301189164694,520290.3624161073,4927429.717167887,428840.1212368309,1596004.6975751405,42201.226949406046,1311412.55316794,0.0,1000000.0,520290.3624161073,1020012.4664248058,0,4917530.702309195,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-23,3936098.0065655448,999846.1211053105,4935944.127670855,1615.9301189164694,528336.0574850298,4935944.127670853,429567.30071465555,1596731.877052965,41942.762905625175,1311154.089124159,0.0,1000000.0,528336.0574850298,1028058.1614937282,0,4927429.717167889,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-24,3936098.0065655448,1001619.5832565328,4937717.589822077,1615.9301189164694,528145.6499369482,4937717.589822075,431285.72758746473,1598450.3039257743,42188.20573211985,1311399.5319506535,0.0,1000000.0,528145.6499369482,1027867.7539456466,0,4935944.127670855,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-25,3963173.707012226,970836.9749650582,4934010.681977284,1670.1900396513015,523790.3999999999,4934010.681977281,403997.31971368927,1598237.5964986803,43049.255251369,1312260.5814699028,0.0,1000000.0,523790.3999999999,1023512.5040086983,0,4937717.589822077,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-26,4113608.4525885866,824792.9667919636,4938401.41938055,1971.6624756760716,527622.3576158939,4938401.4193805475,297170.60917606956,1599127.836096835,0.0,1311929.1216591196,0.0,1000000.0,527622.3576158939,1027344.4616245923,0,4934010.681977284,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-29,4294224.960175366,633355.8885606776,4927580.848736044,2333.619404707693,517102.0038535645,4927580.848736041,116253.88470711315,1598827.6192146577,0.0,1311929.1216591196,0.0,1000000.0,517102.0038535645,1016824.107862263,0,4938401.41938055,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-30,4352891.382438047,566249.334813138,4919140.717251185,2451.1873851940277,509344.70556097553,4919140.717251182,56904.62925216246,1598144.786022388,0.0,1311929.1216591196,0.0,1000000.0,509344.70556097553,1009066.809569674,0,4927580.848736044,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-01-31,4352891.382438047,573484.2332354583,4926375.615673505,2451.1873851940277,516579.60398329585,4926375.615673502,56904.62925216246,1598144.786022388,0.0,1311929.1216591196,0.0,1000000.0,516579.60398329585,1016301.7079919942,0,4919140.717251185,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-01,4352891.382438047,575728.1006203206,4928619.483058368,2451.1873851940277,520743.9999999999,4928619.483058365,54984.100620320736,1596224.2573905461,0.0,1311929.1216591196,0.0,1000000.0,520743.9999999999,1020466.1040086984,0,4926375.615673505,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-02,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,4928619.483058368,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
