gap,mcb_mode,target,mechanic,year,scope,peak,trough,market_state_after_peak,breadth_after_peak,volatility_after_peak,state_source,market_transition_count,breadth_transition_count,incremental_scaling_pnl
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-9679625.488436976
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-4718758.762304042
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-19386572.820573945
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-976629.8424577815
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-18909829.22965151
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-1375724.62224874
OGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-9802825.290444676
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-1353179.910371325
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-8430991.416668888
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-18617049.64274783
OGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-980894.9355819384
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-4675573.384443351
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-9271526.264156744
IFCGR,independent,G75,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-8793014.192380015
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-1350609.66628787
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-9305443.382019028
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-916805.1814515692
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-8906304.526755515
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-2383529.549069737
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-19291408.670901623
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-2482324.1849365355
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-2497694.3818731345
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-4687413.773830117
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-3298892.9039044445
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-3332764.189075035
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-2397412.4909213865
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-4643268.849909992
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-3237142.590470181
OGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-8539309.634488061
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,55,36,-1368530.6952261515
OGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-3270675.383502635
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,TRANSITION,MINORITY_POSITIVE_20D,0.21056561272809798,2023-09-04 15:00:00,19,6,-881780.6075294325
IFCGR,independent,G100,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,BULL,MAJORITY_POSITIVE_20D,0.1483415725419003,2023-11-20 15:00:00,0,0,-9564063.88954162
OGR,independent,G100,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,BULL,MAJORITY_POSITIVE_20D,0.1483415725419003,2023-11-20 15:00:00,0,0,-9340706.705116509
IFCGR,independent,G25,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,BULL,MAJORITY_POSITIVE_20D,0.1483415725419003,2023-11-20 15:00:00,0,0,-738900.4424794493
OGR,independent,G25,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,BULL,MAJORITY_POSITIVE_20D,0.1483415725419003,2023-11-20 15:00:00,0,0,-745446.8953696629
IFCGR,confirmation_tag,G25,ENTRY_ONLY,2024,FULL_PATH_TROUGH_IN_YEAR,2023-11-20,2024-02-07,BULL,MAJORITY_POSITIVE_20D,0.1483415725419003,2023-11-20 15:00:00,0,0,-765300.461549649
