gap,mcb_mode,target,mechanic,year,state_family,state,family,pnl_scaled,pnl_native,incremental_pnl
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,32984.02502064094,26968.90892761915,6015.116093021791
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,110270.19955682126,60491.86291178117,49778.33664504008
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,IFCGR,115128.76652055474,60672.246387089544,54456.520133465194
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,IFCGR,1825.4267797412356,31.139446682386733,1794.2873330588488
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,IFCGR,26300.031277166217,26757.386005628392,-457.35472846217203
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,-189291.7886360557,2011.429013228053,-191303.21764928373
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,228409.55825806252,5719.454560632315,222690.10369743026
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,IFCGR,616382.7655976032,7990.459218186068,608392.3063794171
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,BULL,IFCGR,-149797.93098825405,1148.2655133563076,-150946.19650161036
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,IFCGR,-427467.0649873423,-1407.8411576820072,-426059.2238296602
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,IFCGR,405908.1871129421,1852.6389490154415,404055.5481639267
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,IFCGR,583311.6596390379,2350.301995036237,580961.3576440017
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,IFCGR,526124.2157054143,338.70598669144414,525785.5097187228
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,IFCGR,62874.893098934874,1252.1177956503798,61622.7753032845
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,IFCGR,400220.737947631,2612.1171617098544,397608.6207859211
