gap,date,field,parent_value,rollforward_value,difference,max_abs_difference_2022_2023,shared_dates,status
OGR,2022-01-04,nav,6661364.221536182,6902165.458219143,240801.23668296076,273471.2610054137,484,FAIL
OGR,2022-01-04,cash,5368293.010068811,6129027.646751771,760734.6366829602,760734.6366829602,484,FAIL
OGR,2022-01-04,gross_exposure,1293071.2114673718,773137.811467372,-519933.3999999998,519933.3999999998,484,FAIL
OGR,2022-01-04,SMV6_nav,1019454.741403424,1260255.9780863535,240801.23668292956,273471.2610053697,484,FAIL
OGR,2022-01-04,SMV6_cash,499521.34140342404,1260255.9780863535,760734.6366829295,760734.6366829295,484,FAIL
OGR,2022-01-04,SMV6_exposure,519933.39999999997,0.0,-519933.39999999997,519933.39999999997,484,FAIL
OGR,2022-01-01,SMV6_initial_cash,1000000.0,1260255.9780863535,260255.9780863535,,1,FAIL
IFCGR,2022-01-04,nav,6656371.961914215,6897173.198597168,240801.23668295238,273471.2610053774,484,FAIL
IFCGR,2022-01-04,cash,5363300.750446844,6124035.38712979,760734.6366829462,760734.6366829462,484,FAIL
IFCGR,2022-01-04,gross_exposure,1293071.2114673718,773137.8114673777,-519933.3999999941,519933.3999999941,484,FAIL
IFCGR,2022-01-04,SMV6_nav,1019454.741403424,1260255.9780863535,240801.23668292956,273471.2610053697,484,FAIL
IFCGR,2022-01-04,SMV6_cash,499521.34140342404,1260255.9780863535,760734.6366829295,760734.6366829295,484,FAIL
IFCGR,2022-01-04,SMV6_exposure,519933.39999999997,0.0,-519933.39999999997,519933.39999999997,484,FAIL
IFCGR,2022-01-01,SMV6_initial_cash,1000000.0,1260255.9780863535,260255.9780863535,,1,FAIL
