year,state,capital_days,state_family,gap,mcb_mode,target,mechanic
2018,BEAR,89265663.44667211,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2018,BULL,8063380.064533582,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2018,TRANSITION,123713579.30724373,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2019,BEAR,28439224.770027705,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2019,BULL,117293877.1677145,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2019,TRANSITION,119618584.70900278,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2020,BEAR,72856198.18966077,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2020,BULL,252081108.62486586,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2020,TRANSITION,42001463.69703841,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2021,BEAR,52579704.287297584,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2021,BULL,122449656.52531914,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2021,TRANSITION,108062812.27104291,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2022,BEAR,77284798.06116919,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2022,BULL,46290743.64833848,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2022,TRANSITION,222209156.79584762,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2023,BEAR,47346548.62558979,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2023,BULL,240735899.15050882,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2023,TRANSITION,85427392.68212874,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2024,BEAR,141955501.7866476,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2024,BULL,213943689.04925153,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2024,TRANSITION,149681541.3342019,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2025,BEAR,78506694.77814919,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2025,BULL,393705636.09856254,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2025,TRANSITION,301994321.1124058,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2026,BEAR,85993095.78041345,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
2026,BULL,141403323.6692043,market_regime,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION
