gap,mcb_mode,target,mechanic,year,state,strategy,route,pnl_scaled,pnl_native,incremental_pnl,state_family,mean_route_gross,max_route_gross,mean_Demand_gross,max_Demand_gross,max_Demand_single_name,max_overlap_names,capital_days,native_capital_days,incremental_capital_days,capital_trace_scope
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BEAR,ATRDR,BULL,199256.30603301103,31263.47010928844,167992.8359237226,market_regime,0.7138260949496044,0.9999999999999992,0.8317836734160357,0.9999999999999998,0.9999999999999992,0.0,282052056.48674107,15056847.03258093,266995209.45416012,ACTUAL_ROOT_CALENDAR_TRACE
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BEAR,ATRDR,SLOW_BEAR,-37586.64592896893,97118.10822611554,-134704.7541550845,market_regime,0.5490765453530427,0.9999999999999988,0.7028244642785018,0.9999999999999998,0.9999999999999976,0.0,594948239.735085,51774888.76414734,543173350.9709377,ACTUAL_ROOT_CALENDAR_TRACE
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BEAR,IFCGR,FIXED_BELOW_L_REPAIR,115128.76652055474,60672.246387089544,54456.520133465194,market_regime,0.1010747604453681,0.3605805325807633,0.7781091719571023,0.9761841583254623,0.3430494042977103,0.0,59119921.046216525,10975700.18443435,48144220.86178218,ACTUAL_ROOT_CALENDAR_TRACE
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BEAR,MCB,MCB,33869.817074515595,10701.443957879012,23168.373116636583,market_regime,0.061943262494965,0.1763154063959762,0.9518843244444144,0.9569358643309708,0.1013792296059545,0.0,4752485.903632511,546956.6809962365,4205529.222636275,ACTUAL_ROOT_CALENDAR_TRACE
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BEAR,SMV6,NATIVE_CALLBACK,131580.17475092696,25226.107825385116,106354.06692554185,market_regime,0.6038644864141066,0.9043357567306156,0.2896480891383118,0.5176496564704405,0.0484521836945781,0.0,39614092.09987069,5764290.841858585,33849801.2580121,ACTUAL_ROOT_CALENDAR_TRACE
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BULL,ATRDR,BULL,-169033.27863601147,-35891.20543017967,-133142.0732058318,market_regime,0.6727187091154766,0.7483189172446972,0.9204951048729731,0.9573284062116504,0.0837946622391487,0.0,28329111.133231055,3224522.8616669625,25104588.271564092,ACTUAL_ROOT_CALENDAR_TRACE
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BULL,ATRDR,SLOW_BEAR,59630.89056392822,-7038.470764180558,66669.36132810877,market_regime,0.2868115154344231,0.6281971843606277,0.8116649907277063,0.9573284062116504,0.2107566293024595,0.0,25240536.904710226,1961112.3340580869,23279424.57065214,ACTUAL_ROOT_CALENDAR_TRACE
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BULL,IFCGR,FIXED_BELOW_L_REPAIR,1825.4267797412356,31.139446682386733,1794.2873330588488,market_regime,0.0252681189171325,0.045077948177666,0.7754798349404695,0.9552947564772852,0.2107566293024595,0.0,1890670.1029452952,191141.69277864217,1699528.4101666529,ACTUAL_ROOT_CALENDAR_TRACE
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BULL,MCB,MCB,-52803.54404968376,-12727.893099851475,-40075.650949832285,market_regime,0.0770719698749279,0.2648369128962318,0.9204951048729731,0.9573284062116504,0.0837946622391487,0.0,3174414.9505789387,748998.9822332269,2425415.968345712,ACTUAL_ROOT_CALENDAR_TRACE
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,TRANSITION,ATRDR,BULL,-120534.3527073722,-18750.150624424055,-101784.20208294812,market_regime,0.503891630261201,0.9999999999999992,0.8856511313473071,0.9999999999999994,0.2127017068461885,0.0,211387769.26297763,50621519.3419599,160766249.92101774,ACTUAL_ROOT_CALENDAR_TRACE
