gap,mcb_mode,target,mechanic,state_family,state,omitted_year,independent_dates,incremental_pnl,pnl_ex_frozen_top5_events,direction_positive
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2018,454,1295323.1182823274,635874.0217646431,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2019,529,973641.7298062472,427848.1522738882,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2020,526,975242.29731395,315793.20079630066,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2021,534,583519.8047982287,245787.51361506217,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2022,519,1295186.253101456,765399.4945655469,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,2023,523,883346.1598894494,318311.49758793594,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2018,315,-6837.6681392379105,-217271.93659811432,False
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2019,258,153457.28326145187,61023.48374205702,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2020,239,70819.81835668162,-90495.44459085676,False
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2021,260,-223937.69691812992,-386195.4192310078,False
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2022,287,-59351.82758134138,-274180.0499742053,False
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BULL,2023,266,122000.87401726656,-88901.19264557358,False
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2018,445,1353574.4872342097,500001.50537730014,True
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,2019,426,1081857.5989508592,414376.57550986565,True
