gap,mcb_mode,target,mechanic,year,scope,peak,trough,dimension,name,pnl,peak_nav,drawdown_contribution_percentage_points,contribution_basis,effect_in_actual_drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,strategy,SMV6,-31019.683159759777,8016354.315796261,0.3869549914807951,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2024-05-07,2024-09-25,strategy,SMV6,-31019.683159759777,8016354.315796261,0.3869549914807951,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-05-15,strategy,SMV6,-90144.903932995,8936316.787997913,1.0087478552021096,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2025-02-26,2025-05-15,strategy,SMV6,-90144.903932995,8936316.787997913,1.0087478552021096,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-06-26,strategy,SMV6,-82600.29463400002,10667453.186603416,0.774320666696082,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-06-26,strategy,SMV6,-82600.29463400002,10667453.186603416,0.774320666696082,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,9360205.4034404,0.0584515027866062,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,strategy,SMV6,-7739.090120127945,9442962.60975649,0.0819561660885101,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-04-07,strategy,SMV6,-60181.52844786103,9549674.675892385,0.6301945405510609,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,strategy,SMV6,172945.45543837134,9442962.60975649,-1.831474533846864,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-07-24,strategy,SMV6,-45691.060718048066,11136022.947280236,0.4102996279224375,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-24,strategy,SMV6,-45691.060718048066,11136022.947280236,0.4102996279224375,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,16890208.61537213,0.0323926177989571,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,strategy,SMV6,-11325.036268991891,17235850.331560865,0.0657062811009354,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,strategy,SMV6,-68986.04387726681,17409409.233209144,0.3962572362632109,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,strategy,SMV6,667800.0051734414,17235850.331560865,-3.8744825020360105,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,OFFSETS_ACTUAL_WINDOW_LOSS
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-07-24,strategy,SMV6,-193148.274170768,23610401.64640013,0.8180643305583801,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-07-24,strategy,SMV6,-193148.274170768,23610401.64640013,0.8180643305583801,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,strategy,SMV6,-5471.180722224031,30008956.73626932,0.0182318258188945,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
OGR,independent,G75,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,strategy,SMV6,-11325.036268991937,30943379.953887016,0.0365992218234366,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown,ADDS_ACTUAL_WINDOW_LOSS
