gap,mcb_mode,target,mechanic,state_family,state,block,decisions,independent_dates,incremental_pnl,incremental_return_sum,incremental_pnl_path_max_drawdown,day_hit_rate,average_concentration,root_events,median_event_contribution,mean_event_contribution,positive_event_fraction,top5_positive_event_pnl,pnl_ex_top5_events,annual_blocks,evidence_grade,capital_days_basis,independent_original_signal_dates,roots_missing_signal_timestamp,sample_basis,capital_days
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,CONFIRMATION,139,192,6245411.513505534,0.1590383333801789,5130241.4325908385,0.46875,0.3163748609657394,336,2636.5079502839085,18587.53426638542,0.6011904761904762,6947261.662763767,-701850.1492582653,2022|2023,OBSERVATIONAL_INCREMENTAL_ACCOUNT_PNL;PATH_CAPITAL_AND_STATE_ASSOCIATION_NOT_CAUSAL_ROUTER_EFFECT,"Exact calendar occupancy; completed-timestamp exposure and state, including overnight/holiday/final carry",84,0,Original signal dates of contributing roots; includes carried roots signalled before the evaluation block; daily P&L observation dates reported separately,8414455524.743524
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,DISCOVERY,553,425,8503143.874463972,0.7101856517724668,1581669.956772373,0.4682352941176471,0.2766151776838076,864,431.13288375667867,9841.601706555552,0.5567129629629629,5788975.761151137,2714168.113312859,2018|2019|2020|2021,OBSERVATIONAL_INCREMENTAL_ACCOUNT_PNL;PATH_CAPITAL_AND_STATE_ASSOCIATION_NOT_CAUSAL_ROUTER_EFFECT,"Exact calendar occupancy; completed-timestamp exposure and state, including overnight/holiday/final carry",182,0,Original signal dates of contributing roots; includes carried roots signalled before the evaluation block; daily P&L observation dates reported separately,3918426380.2582016
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BEAR,ROLLFORWARD_DIAGNOSTIC,301,256,-19948995.228286788,-0.2952832555617578,37869239.72493303,0.42578125,0.2612484975718289,515,8146.302373325343,-38735.913064634326,0.6097087378640776,12879183.883949583,-32828179.11223626,2024|2025|2026,OBSERVATIONAL_INCREMENTAL_ACCOUNT_PNL;PATH_CAPITAL_AND_STATE_ASSOCIATION_NOT_CAUSAL_ROUTER_EFFECT,"Exact calendar occupancy; completed-timestamp exposure and state, including overnight/holiday/final carry",124,0,Original signal dates of contributing roots; includes carried roots signalled before the evaluation block; daily P&L observation dates reported separately,15907687017.820799
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,CONFIRMATION,83,97,-10013.585175762884,0.0043709723284551,4332522.922335464,0.4329896907216495,0.1800021648248469,374,754.8274220773765,-26.774291913579145,0.5508021390374331,2022412.3863747804,-2032425.971550459,2022|2023,OBSERVATIONAL_INCREMENTAL_ACCOUNT_PNL;PATH_CAPITAL_AND_STATE_ASSOCIATION_NOT_CAUSAL_ROUTER_EFFECT,"Exact calendar occupancy; completed-timestamp exposure and state, including overnight/holiday/final carry",72,0,Original signal dates of contributing roots; includes carried roots signalled before the evaluation block; daily P&L observation dates reported separately,4155006780.057194
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,DISCOVERY,225,228,5444174.195056334,0.3791282008517336,1139042.5398865612,0.5745614035087719,0.1965517227432398,886,544.676810658921,6144.666134375053,0.5507900677200903,1467482.8159916822,3976691.379064615,2018|2019|2020|2021,OBSERVATIONAL_INCREMENTAL_ACCOUNT_PNL;PATH_CAPITAL_AND_STATE_ASSOCIATION_NOT_CAUSAL_ROUTER_EFFECT,"Exact calendar occupancy; completed-timestamp exposure and state, including overnight/holiday/final carry",152,0,Original signal dates of contributing roots; includes carried roots signalled before the evaluation block; daily P&L observation dates reported separately,2976478807.2341447
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,BULL,ROLLFORWARD_DIAGNOSTIC,193,175,15864864.478397544,0.2007153861891379,4829458.528911492,0.5085714285714286,0.1281926652919877,761,-847.9136013622265,20847.39090459587,0.4625492772667542,12094614.47365005,3770250.0047474094,2024|2025|2026,OBSERVATIONAL_INCREMENTAL_ACCOUNT_PNL;PATH_CAPITAL_AND_STATE_ASSOCIATION_NOT_CAUSAL_ROUTER_EFFECT,"Exact calendar occupancy; completed-timestamp exposure and state, including overnight/holiday/final carry",117,0,Original signal dates of contributing roots; includes carried roots signalled before the evaluation block; daily P&L observation dates reported separately,10346330468.524452
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,CONFIRMATION,165,195,12523252.2853536,0.3358224624251747,3326705.61184791,0.5128205128205128,0.2047974602862947,430,245.14443139484092,29123.842524078013,0.5116279069767442,9458387.676467478,3064864.608886067,2022|2023,OBSERVATIONAL_INCREMENTAL_ACCOUNT_PNL;PATH_CAPITAL_AND_STATE_ASSOCIATION_NOT_CAUSAL_ROUTER_EFFECT,"Exact calendar occupancy; completed-timestamp exposure and state, including overnight/holiday/final carry",117,0,Original signal dates of contributing roots; includes carried roots signalled before the evaluation block; daily P&L observation dates reported separately,7507865649.151992
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,DISCOVERY,338,320,8000768.994570532,0.526761856322196,1152346.1278844085,0.534375,0.1795176252435276,1006,398.0027889604527,7953.050690427976,0.5506958250497018,3662633.944795444,4338135.0497751,2018|2019|2020|2021,OBSERVATIONAL_INCREMENTAL_ACCOUNT_PNL;PATH_CAPITAL_AND_STATE_ASSOCIATION_NOT_CAUSAL_ROUTER_EFFECT,"Exact calendar occupancy; completed-timestamp exposure and state, including overnight/holiday/final carry",206,0,Original signal dates of contributing roots; includes carried roots signalled before the evaluation block; daily P&L observation dates reported separately,3545909917.276656
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,market_regime,TRANSITION,ROLLFORWARD_DIAGNOSTIC,265,218,14417769.20145908,0.1266072610752727,6989517.189983265,0.5275229357798165,0.1752070265989969,820,309.97666037603517,17582.645367633086,0.5207317073170732,13393753.45330945,1024015.74814968,2024|2025|2026,OBSERVATIONAL_INCREMENTAL_ACCOUNT_PNL;PATH_CAPITAL_AND_STATE_ASSOCIATION_NOT_CAUSAL_ROUTER_EFFECT,"Exact calendar occupancy; completed-timestamp exposure and state, including overnight/holiday/final carry",156,0,Original signal dates of contributing roots; includes carried roots signalled before the evaluation block; daily P&L observation dates reported separately,15126197045.26504
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,market_regime,BEAR,CONFIRMATION,136,192,223971.3322857581,0.0194813447579755,417452.68942220975,0.4322916666666667,0.0764332300477374,330,77.06327342134932,678.7010069264397,0.5575757575757576,397810.2547566643,-173838.92247093917,2022|2023,OBSERVATIONAL_INCREMENTAL_ACCOUNT_PNL;PATH_CAPITAL_AND_STATE_ASSOCIATION_NOT_CAUSAL_ROUTER_EFFECT,"Exact calendar occupancy; completed-timestamp exposure and state, including overnight/holiday/final carry",83,0,Original signal dates of contributing roots; includes carried roots signalled before the evaluation block; daily P&L observation dates reported separately,400268801.9170375
