gap,mcb_mode,target,mechanic,year,state,strategy,category,actions,notional,fees,forward_5d_diagnostic,forward_20d_diagnostic,state_family,interpretation
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,ATRDR,EXISTING_POSITION_INCREASE,2347,9019887.416454203,18039.774832908406,-105653.72329251214,6016.581613502072,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,ATRDR,EXISTING_POSITION_REDUCTION,5097,10512530.125570586,21025.06025114117,-191053.41513170258,-438268.6486161445,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,ATRDR,EXIT,492,8959530.309489653,17919.060618979303,220167.43872339514,246705.49091037433,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,ATRDR,NEW_ENTRY_INCREASE,166,12473384.533307161,24946.769066614324,22940.677648165372,110773.58274520624,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,CASH,CASH_RESIDUAL,365,0.0,0.0,0.0,0.0,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,MCB,EXISTING_POSITION_INCREASE,37,184336.62477797025,368.6732495559405,-1197.2417424412758,671.519668466631,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,MCB,EXISTING_POSITION_REDUCTION,4,40625.053414500195,81.25010682900039,2083.168527851193,7049.7147006439745,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,MCB,EXIT,102,1138016.2756877292,2276.032551375459,79191.67184250776,96265.76390298498,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,OGR,EXISTING_POSITION_INCREASE,1885,510300.235015898,1020.600470031796,3544.08184690608,1993.4732696336418,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,OGR,EXISTING_POSITION_REDUCTION,4297,1040939.6371764016,2081.8792743528033,-38752.427268972155,-98467.41991718314,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,BEAR,OGR,EXIT,457,705250.495974807,1410.500991949614,4320.13789462211,2848.448803234767,market_regime,"Overlapping action horizons; BUY actual lot P&L, SELL signed-price counterfactual; never add to annual P&L"
