gap,mcb_mode,target,mechanic,year,state,strategy,route,pnl_scaled,pnl_native,incremental_pnl,state_family
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BEAR,ATRDR,BULL,199256.30603301106,31263.47010928844,167992.8359237226,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BEAR,ATRDR,SLOW_BEAR,-37586.64592896893,97118.10822611554,-134704.7541550845,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BEAR,IFCGR,FIXED_BELOW_L_REPAIR,115128.76652055474,60672.246387089544,54456.520133465194,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BEAR,MCB,MCB,33869.817074515595,10701.443957879012,23168.373116636583,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BEAR,SMV6,NATIVE_CALLBACK,131580.17475092696,25226.107825385116,106354.06692554185,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BULL,ATRDR,BULL,-169033.27863601147,-35891.20543017967,-133142.0732058318,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BULL,ATRDR,SLOW_BEAR,59630.89056392822,-7038.470764180558,66669.36132810877,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BULL,IFCGR,FIXED_BELOW_L_REPAIR,1825.4267797412356,31.139446682386733,1794.2873330588488,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,BULL,MCB,MCB,-52803.54404968376,-12727.893099851477,-40075.650949832285,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,TRANSITION,ATRDR,BULL,-120534.35270737219,-18750.150624424055,-101784.20208294813,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,TRANSITION,ATRDR,SLOW_BEAR,354848.43663020624,154458.8317259737,200389.60490423252,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,TRANSITION,IFCGR,FIXED_BELOW_L_REPAIR,26300.031277166217,26757.386005628392,-457.35472846217203,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,TRANSITION,MCB,MCB,87602.25406822875,35502.56767653891,52099.686391689844,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,TRANSITION,SMV6,NATIVE_CALLBACK,-42443.794876683576,-3188.358562542824,-39255.43631414075,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BEAR,ATRDR,BULL,250415.6921089566,7607.311751114354,242808.38035784228,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BEAR,ATRDR,FAST_BEAR,858219.7035448222,3632.5248039075486,854587.1787409147,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BEAR,ATRDR,SLOW_BEAR,-600157.5054229489,-48.03379556217851,-600109.4716273866,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BEAR,IFCGR,FIXED_BELOW_L_REPAIR,616382.7655976032,7990.459218186068,608392.3063794171,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BEAR,MCB,MCB,24914.963449555577,-554.8816437321912,25469.845093287768,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BEAR,SMV6,NATIVE_CALLBACK,-8485.377994587374,-6569.658516532826,-1915.719478054547,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BULL,ATRDR,BULL,991150.7262556427,341135.8939678364,650014.8322878062,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BULL,ATRDR,SLOW_BEAR,2677.6463218248937,4416.932323833236,-1739.2860020083426,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BULL,IFCGR,FIXED_BELOW_L_REPAIR,-149797.93098825405,1148.2655133563076,-150946.19650161036,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BULL,MCB,MCB,157653.55390383274,95437.34695970417,62216.20694412857,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,BULL,SMV6,NATIVE_CALLBACK,280459.3068419275,11777.906061636857,268681.40078029066,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,TRANSITION,ATRDR,BULL,-84671.05839473152,-103295.7287326084,18624.670337876865,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,TRANSITION,ATRDR,FAST_BEAR,-43450.034976489085,668.0579095413741,-44118.09288603046,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,TRANSITION,ATRDR,SLOW_BEAR,411027.44980007585,-915.6150244964851,411943.06482457236,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,TRANSITION,IFCGR,FIXED_BELOW_L_REPAIR,-427467.0649873423,-1407.8411576820072,-426059.2238296602,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,TRANSITION,MCB,MCB,-72710.0834987173,-14067.595809523486,-58642.48768919382,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,TRANSITION,SMV6,NATIVE_CALLBACK,-125150.93105681786,22696.85883439589,-147847.78989121376,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,BEAR,ATRDR,BULL,115359.9784250862,3006.077693116895,112353.90073196929,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,BEAR,ATRDR,FAST_BEAR,599672.2278393977,2027.5795751439437,597644.6482642539,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,BEAR,ATRDR,SLOW_BEAR,-100797.25777620956,-12731.593338711493,-88065.664437498,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,BEAR,IFCGR,FIXED_BELOW_L_REPAIR,526124.2157054143,338.70598669144414,525785.5097187228,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,BEAR,MCB,MCB,-8504.080018163571,-4471.889494625608,-4032.1905235379636,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,BEAR,SMV6,NATIVE_CALLBACK,-411029.1929624567,41387.377134837814,-452416.5700972946,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,BULL,ATRDR,BULL,743870.7198980399,176869.92261865028,567000.7972793897,market_regime
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,BULL,ATRDR,FAST_BEAR,-56005.009836678975,1688.3937854548349,-57693.40362213382,market_regime
