gap,mcb_mode,target,mechanic,state_family,decision_at,state_as_of,year,from_state,to_state,forward_1d_incremental_pnl,forward_3d_incremental_pnl,forward_5d_incremental_pnl,forward_10d_incremental_pnl,forward_20d_incremental_pnl,interpretation
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-01-04 09:30:00,2018-01-03 15:00:00,2018,BEAR,TRANSITION,-36.506124504841864,-3490.2953792875633,-6179.214601839893,-4283.621989987791,-7184.646513951009,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-01-10 09:30:00,2018-01-09 15:00:00,2018,TRANSITION,BEAR,-4491.601799038239,-1683.0538097163662,-2668.5964079089467,3611.466017564758,-673.3960552038607,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-01-11 09:30:00,2018-01-10 15:00:00,2018,BEAR,TRANSITION,2413.5758512923494,557.2096850937228,1895.5926118521015,8547.243042736314,3818.2057438343763,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-01-15 09:30:00,2018-01-12 15:00:00,2018,TRANSITION,BEAR,-2251.33830422815,-912.9553774697711,688.2819909639652,7188.96206646692,1009.6577545125037,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-01-23 09:30:00,2018-01-22 15:00:00,2018,BEAR,TRANSITION,2128.7958734994754,1646.5114448787645,-6202.143775492905,-2156.0661992691457,6687.405257309787,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-01-30 09:30:00,2018-01-29 15:00:00,2018,TRANSITION,BEAR,-9099.213202034123,1842.6255147717893,4046.077576223761,4046.077576223761,-4731.008126775734,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-03-09 09:30:00,2018-03-08 15:00:00,2018,BEAR,TRANSITION,-1631.4883432239294,-4042.7886746125296,5666.929703601636,-332.2069383729249,1578.3924004314467,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-03-27 09:30:00,2018-03-26 15:00:00,2018,TRANSITION,BEAR,-8894.089995437302,-10608.56234471593,-14788.573618844151,-20042.425554277375,-35858.4720293805,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-03-28 09:30:00,2018-03-27 15:00:00,2018,BEAR,TRANSITION,-162.0054556904361,-5373.923371003941,-615.5472918599844,-14294.751711687075,-71948.72220256366,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-04-11 09:30:00,2018-04-10 15:00:00,2018,TRANSITION,BEAR,-11022.078403645197,-11150.972780044192,-37763.948427286,-36392.14555887133,-72747.93976955768,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-04-25 09:30:00,2018-04-24 15:00:00,2018,BEAR,TRANSITION,9554.020680123009,-63982.06426315382,-53866.80962709803,-36355.79421068635,-27216.35613872949,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-04-27 09:30:00,2018-04-26 15:00:00,2018,TRANSITION,BEAR,-28551.74477465637,-18436.49013860058,-10574.79321752023,-9868.641234903596,4847.454079617746,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-05-10 09:30:00,2018-05-09 15:00:00,2018,BEAR,TRANSITION,5360.694705397822,-3582.471807316877,-3100.8980795498937,11325.652025876567,15857.998257829808,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-05-18 09:30:00,2018-05-17 15:00:00,2018,TRANSITION,BULL,4942.695481361821,28131.73625155352,25380.209709114395,27964.53279309813,12871.938296119682,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-05-31 09:30:00,2018-05-30 15:00:00,2018,BULL,BEAR,20716.401378268376,13240.297121804208,19489.94377475977,7827.6998006682825,5110.142831144854,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-07-18 09:30:00,2018-07-17 15:00:00,2018,BEAR,TRANSITION,-1685.6387030081823,-3297.510499519296,2899.389630257152,905.947652339004,-1669.3436147999,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-08-01 09:30:00,2018-07-31 15:00:00,2018,TRANSITION,BEAR,-9046.676149601117,-40365.09498729743,-26571.18081672117,-2575.291267138904,-25533.079376043752,Overlapping forward diagnostics from observable morning state; not additive annual P&L
OGR,independent,G25,FULL_BOOK_NORMALIZATION,market_regime,2018-11-09 09:30:00,2018-11-08 15:00:00,2018,BEAR,TRANSITION,181.03519822470844,-46234.133098094724,-73877.98663194943,-73015.53337795008,-66313.90773036331,Overlapping forward diagnostics from observable morning state; not additive annual P&L
