gap,mcb_mode,target,mechanic,year,scope,peak,trough,recovery,recovery_status,MaxDD,peak_nav,trough_nav,actual_pnl,native_same_window_pnl,incremental_scaling_pnl,average_gross,average_Demand_exposure,max_single_name,cash_at_peak,cash_at_trough,turnover,fees,full_book_normalizations,existing_position_increases,existing_position_reductions
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,2024-09-30,RECOVERED,0.06115151544657793,8016354.315796261,7526142.101028604,-490212.2147676563,-490212.2147676563,0.0,0.1338016114730355,0.1149375786459873,0.047091834795674206,4146817.510267598,4655899.618014277,1.7550762313061516,21464.693137456616,0,0,0
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2024-05-07,2024-09-25,2024-09-30,RECOVERED,0.06115151544657793,8016354.315796261,7526142.101028604,-490212.2147676563,-490212.2147676563,0.0,0.1338016114730355,0.1149375786459873,0.047091834795674206,4146817.510267598,4655899.618014277,1.7550762313061516,21464.693137456616,0,0,0
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-05-15,2025-07-18,RECOVERED,0.03335771320449454,8936316.787997913,8638221.695479369,-298095.0925185438,-298095.0925185438,0.0,0.13676590659952653,0.11435286146231777,0.06924255719683349,5351582.502923223,3286175.4768076227,1.8964970281574314,23575.69841425219,0,0,0
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2025-02-26,2025-05-15,2025-07-18,RECOVERED,0.03335771320449454,8936316.787997913,8638221.695479369,-298095.0925185438,-298095.0925185438,0.0,0.13676590659952653,0.11435286146231777,0.06924255719683349,5351582.502923223,3286175.4768076227,1.8964970281574314,23575.69841425219,0,0,0
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,ANNUAL_LOCAL,2026-05-13,2026-06-26,,NOT_RECOVERED_AT_DATA_END,0.020023159152426806,10667453.186603416,10453857.073696993,-213596.11290642247,-213596.11290642247,0.0,0.12845231930575388,0.07963615909561773,0.05803974434879476,4762281.96163603,9844581.746591916,0.6315229924615804,9197.222118682172,0,0,0
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,FULL_PATH_TROUGH_IN_YEAR,2026-05-13,2026-06-26,,NOT_RECOVERED_AT_DATA_END,0.020023159152426806,10667453.186603416,10453857.073696993,-213596.11290642247,-213596.11290642247,0.0,0.12845231930575388,0.07963615909561773,0.05803974434879476,4762281.96163603,9844581.746591916,0.6315229924615804,9197.222118682172,0,0,0
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-01-04,2024-02-07,2025-02-06,RECOVERED,0.09128012119586593,9360205.4034404,8505804.71979616,-854400.6836442389,-8134.813131542876,-846265.870512696,0.0840460625053034,0.0,0.2499999999999998,8852875.4034404,6439260.957715262,0.5353117595310534,8934.560868677985,2,0,1
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2024,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2024-02-07,2025-02-10,RECOVERED,0.0992440538726751,9442962.60975649,8505804.71979616,-937157.88996033,-55377.28243089747,-881780.6075294325,0.17288164753848984,0.14722164661905524,0.2508051529790654,7920425.151772605,6439260.957715262,5.896408293596457,105825.21673444277,46,674,389
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-02-26,2025-04-07,2025-05-08,RECOVERED,0.032276611117480924,9549674.675892383,9241443.540080149,-308231.13581223413,-220308.34139579535,-87922.79441643879,0.21584863909186852,0.18981532482098745,0.07358427792558903,7612391.506525217,7083060.542226918,2.243827185914672,31671.806415213436,28,398,557
OGR,independent,G25,FULL_BOOK_NORMALIZATION,2025,FULL_PATH_TROUGH_IN_YEAR,2023-09-04,2025-01-06,2025-02-10,RECOVERED,0.037128531381714236,9442962.60975649,9092359.276163792,-350603.333592698,1017927.3616334535,-1368530.6952261515,0.20255272411713895,0.1614604819849008,0.2508051529790654,7920425.151772605,6914398.19673756,21.36444913184505,344221.79281463986,277,3532,4126
