strategy,period,status,native_exits,frozen_source_modified,scope,native_platform_equivalence
ATRDR,2018_2021,CAUSALLY_VALIDATED,NATIVE_ONLY,NO,RESEARCH_GRADE_SHARED_PHYSICAL_ACCOUNT,NATIVE_RESEARCH_SEMANTICS
ATRDR,2022_2023,CAUSALLY_VALIDATED,NATIVE_ONLY,NO,RESEARCH_GRADE_SHARED_PHYSICAL_ACCOUNT,NATIVE_RESEARCH_SEMANTICS
MCB,2018_2021,CAUSALLY_VALIDATED,NATIVE_ONLY,NO,RESEARCH_GRADE_SHARED_PHYSICAL_ACCOUNT,NATIVE_RESEARCH_SEMANTICS
MCB,2022_2023,CAUSALLY_VALIDATED,NATIVE_ONLY,NO,RESEARCH_GRADE_SHARED_PHYSICAL_ACCOUNT,NATIVE_RESEARCH_SEMANTICS
OGR,2018_2021,CAUSALLY_VALIDATED,NATIVE_ONLY,NO,RESEARCH_GRADE_SHARED_PHYSICAL_ACCOUNT,NATIVE_RESEARCH_SEMANTICS
OGR,2022_2023,CAUSALLY_VALIDATED,NATIVE_ONLY,NO,RESEARCH_GRADE_SHARED_PHYSICAL_ACCOUNT,NATIVE_RESEARCH_SEMANTICS
IFCGR,2018_2021,CAUSALLY_VALIDATED_WITH_PIT_B,NATIVE_ONLY,NO,RESEARCH_GRADE_SHARED_PHYSICAL_ACCOUNT,NATIVE_RESEARCH_SEMANTICS
IFCGR,2022_2023,CAUSALLY_VALIDATED_WITH_PIT_B,NATIVE_ONLY,NO,RESEARCH_GRADE_SHARED_PHYSICAL_ACCOUNT,NATIVE_RESEARCH_SEMANTICS
SMV6,2018_2021,CAUSAL_BUG_FIXED_AND_REVALIDATED,NATIVE_ONLY,NO,RESEARCH_GRADE_SHARED_PHYSICAL_ACCOUNT,UNVERIFIED
SMV6,2022_2023,CAUSAL_BUG_FIXED_AND_REVALIDATED,NATIVE_ONLY,NO,RESEARCH_GRADE_SHARED_PHYSICAL_ACCOUNT,UNVERIFIED
