symbol,action_type,announcement_date,record_date,ex_right_date,accounting_effective_date,share_arrival_date,listing_tradable_date,conversion_ratio,cash_per_share,available_at,available_at_semantics,historical_revision_limit,manifest,manifest_sha256,producer_code,producer_sha256,status,layer,source,source_sha256,field,value,downstream_treatment
600622.SH,cash_and_share_distribution,2017-06-23T00:00:00.000,2017-06-29T00:00:00.000,2017-06-30T00:00:00.000,,,,0.3,0.21,2017-06-24T00:00:00.000,next_calendar_day_0000_asia_shanghai_after_date_only_implementation_announcement,official_current_snapshot_date_only_announcement_no_historical_revision_stream,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/manifest.json,d57afb7826aa87c3929367a989a369f087a7ecf05f1026bcfed751600a3e884c,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,CORPORATE_ACTION_STATE_UNRESOLVED,NORMALIZED,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,5982b7dd75ec53deb9ce3874aaf3e4a5168a731b5bbd6d8c2d89258fe4aff387,share_credit_date,,missing_share_credit_date;pending_raw_price_reset_reconciliation
600622.SH,cash_and_share_distribution,2017-06-23T00:00:00.000,2017-06-29T00:00:00.000,2017-06-30T00:00:00.000,,,,0.3,0.21,2017-06-24T00:00:00.000,next_calendar_day_0000_asia_shanghai_after_date_only_implementation_announcement,official_current_snapshot_date_only_announcement_no_historical_revision_stream,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/manifest.json,d57afb7826aa87c3929367a989a369f087a7ecf05f1026bcfed751600a3e884c,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,CORPORATE_ACTION_STATE_UNRESOLVED,OFFICIAL_RESPONSE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/responses/distribution/600622.json,4bf533362d10f50b80e37a6f62c7dc60cfdbe0b9b64836638cd0e7419b93e865,F025D,,source itself null; no dropped populated field
600622.SH,cash_and_share_distribution,2017-06-23T00:00:00.000,2017-06-29T00:00:00.000,2017-06-30T00:00:00.000,,,,0.3,0.21,2017-06-24T00:00:00.000,next_calendar_day_0000_asia_shanghai_after_date_only_implementation_announcement,official_current_snapshot_date_only_announcement_no_historical_revision_stream,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/manifest.json,d57afb7826aa87c3929367a989a369f087a7ecf05f1026bcfed751600a3e884c,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,CORPORATE_ACTION_STATE_UNRESOLVED,RAW_PARQUET,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/raw/distribution/600622.parquet,97ed7fb0f3cb968d044755b1b4617e4024934f7fb7f2c0906e4bf8ac2c605da6,股份到账日,,F025D preserved by explicit field map
600622.SH,cash_and_share_distribution,2017-06-23T00:00:00.000,2017-06-29T00:00:00.000,2017-06-30T00:00:00.000,,,,0.3,0.21,2017-06-24T00:00:00.000,next_calendar_day_0000_asia_shanghai_after_date_only_implementation_announcement,official_current_snapshot_date_only_announcement_no_historical_revision_stream,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/manifest.json,d57afb7826aa87c3929367a989a369f087a7ecf05f1026bcfed751600a3e884c,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,CORPORATE_ACTION_STATE_UNRESOLVED,PRODUCER,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,execution_timing_resolved,False,requires share_credit_date for share distributions
600622.SH,cash_and_share_distribution,2017-06-23T00:00:00.000,2017-06-29T00:00:00.000,2017-06-30T00:00:00.000,,,,0.3,0.21,2017-06-24T00:00:00.000,next_calendar_day_0000_asia_shanghai_after_date_only_implementation_announcement,official_current_snapshot_date_only_announcement_no_historical_revision_stream,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/manifest.json,d57afb7826aa87c3929367a989a369f087a7ecf05f1026bcfed751600a3e884c,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,CORPORATE_ACTION_STATE_UNRESOLVED,CONTRACT,/Users/linmei/Documents/CY-worktrees/five-strategy-shared-capital-v1/research/shared_capital_v1/contracts/initial_state_v05.json,70f2ed3e447b01c91f18f42e8b758ef4d2e5dd7e9bb524f4de9cf9671ec85450,missing_credit_state,,no ex-date/pay-date inference
603368.SH,cash_and_share_distribution,2020-06-18T00:00:00.000,2020-06-23T00:00:00.000,2020-06-24T00:00:00.000,,,,0.4,0.68,2020-06-19T00:00:00.000,next_calendar_day_0000_asia_shanghai_after_date_only_implementation_announcement,official_current_snapshot_date_only_announcement_no_historical_revision_stream,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/manifest.json,d57afb7826aa87c3929367a989a369f087a7ecf05f1026bcfed751600a3e884c,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,CORPORATE_ACTION_STATE_UNRESOLVED,NORMALIZED,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,5982b7dd75ec53deb9ce3874aaf3e4a5168a731b5bbd6d8c2d89258fe4aff387,share_credit_date,,missing_share_credit_date;pending_raw_price_reset_reconciliation
603368.SH,cash_and_share_distribution,2020-06-18T00:00:00.000,2020-06-23T00:00:00.000,2020-06-24T00:00:00.000,,,,0.4,0.68,2020-06-19T00:00:00.000,next_calendar_day_0000_asia_shanghai_after_date_only_implementation_announcement,official_current_snapshot_date_only_announcement_no_historical_revision_stream,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/manifest.json,d57afb7826aa87c3929367a989a369f087a7ecf05f1026bcfed751600a3e884c,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,CORPORATE_ACTION_STATE_UNRESOLVED,OFFICIAL_RESPONSE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/responses/distribution/603368.json,ee5b0c67b634f333e1196d7a2f2ab483ebad206f3db2e1b29878a675bff5b74b,F025D,,source itself null; no dropped populated field
603368.SH,cash_and_share_distribution,2020-06-18T00:00:00.000,2020-06-23T00:00:00.000,2020-06-24T00:00:00.000,,,,0.4,0.68,2020-06-19T00:00:00.000,next_calendar_day_0000_asia_shanghai_after_date_only_implementation_announcement,official_current_snapshot_date_only_announcement_no_historical_revision_stream,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/manifest.json,d57afb7826aa87c3929367a989a369f087a7ecf05f1026bcfed751600a3e884c,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,CORPORATE_ACTION_STATE_UNRESOLVED,RAW_PARQUET,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/raw/distribution/603368.parquet,6621d28cff4aac9ad479a602555eed147054fd2272dc1f2d03174a501afa13d6,股份到账日,,F025D preserved by explicit field map
603368.SH,cash_and_share_distribution,2020-06-18T00:00:00.000,2020-06-23T00:00:00.000,2020-06-24T00:00:00.000,,,,0.4,0.68,2020-06-19T00:00:00.000,next_calendar_day_0000_asia_shanghai_after_date_only_implementation_announcement,official_current_snapshot_date_only_announcement_no_historical_revision_stream,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/manifest.json,d57afb7826aa87c3929367a989a369f087a7ecf05f1026bcfed751600a3e884c,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,CORPORATE_ACTION_STATE_UNRESOLVED,PRODUCER,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,execution_timing_resolved,False,requires share_credit_date for share distributions
603368.SH,cash_and_share_distribution,2020-06-18T00:00:00.000,2020-06-23T00:00:00.000,2020-06-24T00:00:00.000,,,,0.4,0.68,2020-06-19T00:00:00.000,next_calendar_day_0000_asia_shanghai_after_date_only_implementation_announcement,official_current_snapshot_date_only_announcement_no_historical_revision_stream,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/manifest.json,d57afb7826aa87c3929367a989a369f087a7ecf05f1026bcfed751600a3e884c,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/lineage/fetch_crsp_lean_cninfo_corporate_actions_v1.py,e2711ee436b7188eb408e44739c6b22a86e94c2b9201d2df414894d81b362596,CORPORATE_ACTION_STATE_UNRESOLVED,CONTRACT,/Users/linmei/Documents/CY-worktrees/five-strategy-shared-capital-v1/research/shared_capital_v1/contracts/initial_state_v05.json,70f2ed3e447b01c91f18f42e8b758ef4d2e5dd7e9bb524f4de9cf9671ec85450,missing_credit_state,,no ex-date/pay-date inference
