strategy,gap,period,PRE_CAPITAL_INTENT_COUNT,NATIVE_FUNDED_COUNT,OTHER_REJECTED_COUNT,status
ATRDR,OGR,2018_2021,1228,915,922,PASS
MCB,OGR,2018_2021,584,478,480,PASS
OGR,OGR,2018_2021,255,255,100,PASS
ATRDR,OGR,2022_2023,502,441,276,PASS
MCB,OGR,2022_2023,347,206,76,PASS
OGR,OGR,2022_2023,44,44,0,PASS
ATRDR,IFCGR,2018_2021,1228,915,922,PASS
MCB,IFCGR,2018_2021,584,478,480,PASS
IFCGR,IFCGR,2018_2021,248,248,99,PASS
ATRDR,IFCGR,2022_2023,502,441,276,PASS
MCB,IFCGR,2022_2023,347,206,76,PASS
IFCGR,IFCGR,2022_2023,44,44,0,PASS
