strategy,symbol_action,event_id_action,record_date,effective_date,share_multiplier,cash_per_share_gross,share_credit_date,pay_date,announcement_date,holding_overlap,registered_source,execution_timing_resolved
ATRDR,002285,cninfo:distribution:7fb71b5954f198fdd1f1376d4d3176f3,2014-05-27,2014-05-28,1.7999999999999998,0.1,2014-05-28,2014-05-28,2014-05-22,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,002467,cninfo:distribution:dccd980f2e9d79d14293a2c260643692,2014-05-29,2014-05-30,2.000165,0.40006630000000004,2014-05-30,2014-05-30,2014-05-23,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,002576,cninfo:distribution:9339d66f04ca1de52cc380fb7d924da9,2014-05-29,2014-05-30,1.0,0.03,,2014-05-30,2014-05-23,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,002094,cninfo:distribution:66cd7cc27aca75510097387be86cc131,2014-06-10,2014-06-11,1.0,0.06,,2014-06-11,2014-06-05,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,002390,cninfo:distribution:74daa1c639064271fbbce410475b0810,2014-06-13,2014-06-16,2.0,0.06,2014-06-16,2014-06-16,2014-06-10,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,600438,cninfo:distribution:c61e942e3c98391ab5e1361eafaa49da,2014-06-16,2014-06-17,1.0,0.3,,2014-06-17,2014-06-11,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,002282,cninfo:distribution:f642a61ca03c6481d88c0799a86e240c,2014-06-19,2014-06-20,1.0,0.05,,2014-06-20,2014-06-13,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,002482,cninfo:distribution:59795764c637d59f3413e950ae74d9c8,2014-06-24,2014-06-25,1.0,0.15,,2014-06-25,2014-06-18,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,600201,cninfo:distribution:7796b093058847e7ec6397347cba7b20,2014-06-25,2014-06-26,1.0,0.27999999999999997,,2014-06-26,2014-06-20,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
ATRDR,300106,cninfo:distribution:2a78486aa95ab260ba08953b83e4e617,2014-07-11,2014-07-14,1.4,0.025,2014-07-14,2014-07-14,2014-07-05,POTENTIAL_ONLY_NOT_FUNDED_STATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,True
