strategy,route,family,event_id,parent_event_id,symbol,decision_at,earliest_execution_at,native_priority,native_requested_quantity,price,fee_rate,lot_size,side,reason,state_requirements,economic_event_definition,board,native_base_cash_limit,native_requested_notional
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180103-300470.SZ,,300470.SZ,2018-01-03 15:00:00,2018-01-04 09:30:00,[ 0.56158814 -0.04131599  3.30508046],10050.62107372955,1.6549623893800365,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,500000.0,16666.666666666668
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180103-603566.SH,,603566.SH,2018-01-03 15:00:00,2018-01-04 09:30:00,[ 0.42857143 -0.0625      3.69795949],8162.154821590392,2.0378687038543326,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,500000.0,16666.666666666668
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180309-300605.SZ,,300605.SZ,2018-03-09 15:00:00,2018-03-12 09:30:00,[ 0.59471154 -0.01666667  1.6910905 ],8426.859557505059,1.976430485022684,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,500652.3698010803,16688.41232670268
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180309-603383.SH,,603383.SH,2018-03-09 15:00:00,2018-03-12 09:30:00,[ 0.59471154 -0.05318661  1.65454795],9776.47622056346,1.6970470288005826,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,498729.6660627378,16624.32220209126
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180309-300036.SZ,,300036.SZ,2018-03-09 15:00:00,2018-03-12 09:30:00,[ 0.59471154 -0.05954693  2.39265516],3240.7074652786087,5.1393414249520655,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,483963.9574743775,16688.412326702677
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180309-603990.SH,,603990.SH,2018-03-09 15:00:00,2018-03-12 09:30:00,[ 0.59471154 -0.07345476  2.7714125 ],6331.823061774723,2.6202785138466105,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,482105.3438606467,16624.322202091258
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180309-300579.SZ,,300579.SZ,2018-03-09 15:00:00,2018-03-12 09:30:00,[ 0.59471154 -0.0842964   3.89582875],6575.210577292135,2.533014255083648,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,467275.5451476746,16688.412326702677
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180309-002696.SZ,,002696.SZ,2018-03-09 15:00:00,2018-03-12 09:30:00,[ 0.58333333 -0.04644955  1.84999329],11065.90507220492,1.4993025707332337,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,465481.0216585556,16624.322202091258
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180309-300393.SZ,,300393.SZ,2018-03-09 15:00:00,2018-03-12 09:30:00,[ 0.54166667 -0.06418733  1.67692143],6663.906982072386,2.4992999102875,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,450587.1328209718,16688.412326702677
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180309-002024.SZ,,002024.SZ,2018-03-09 15:00:00,2018-03-12 09:30:00,[ 0.48214286 -0.08108108  2.1804806 ],8467.260035189714,1.9594461317231808,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,448856.6994564645,16624.32220209126
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180309-300400.SZ,,300400.SZ,2018-03-09 15:00:00,2018-03-12 09:30:00,[ 0.48       -0.09211496  1.9527797 ],3918.0726705915267,4.250840533782973,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,433898.7204942689,16688.41232670268
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180312-300523.SZ,,300523.SZ,2018-03-12 15:00:00,2018-03-13 09:30:00,[ 0.58593607 -0.01374207  1.75355465],6047.330307393108,2.7458690522575795,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,417210.3081675661,16638.38749412975
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180312-600686.SH,,600686.SH,2018-03-12 15:00:00,2018-03-13 09:30:00,[ 0.58333333 -0.0577812   1.98325718],7517.368535621858,2.2066761422234538,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,432232.3772543734,16621.574595457732
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180312-002439.SZ,,002439.SZ,2018-03-12 15:00:00,2018-03-13 09:30:00,[ 0.48509615 -0.12407488  1.7854537 ],2264.830206416804,7.324345000724174,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,415610.8026589155,16621.574595457732
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180313-300291.SZ,,300291.SZ,2018-03-13 15:00:00,2018-03-14 09:30:00,[ 0.5625     -0.0533104   1.75441933],11094.22246434268,1.4927882121120228,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,400571.9206734365,16594.447166353788
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180313-002506.SZ,,002506.SZ,2018-03-13 15:00:00,2018-03-14 09:30:00,[ 0.54333333 -0.10831234  2.68907386],134643.7560478826,0.12299375992319864,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,398989.22806345765,16593.46249012402
MCB,MCB,DEMAND,V72|V65|EARLY_TRANSITION|V53-20180313-603611.SH,,603611.SH,2018-03-13 15:00:00,2018-03-14 09:30:00,[ 0.46666667 -0.02538787  3.90175553],9591.897204621873,1.7264928359043887,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,382395.7655733335,16593.46249012402
