strategy,period,ELIGIBLE_COUNT,PRE_CAPITAL_INTENT_COUNT,NATIVE_FUNDED_COUNT,CAPITAL_REJECTED_COUNT,OTHER_REJECTED_COUNT,status,common_p0_validated
ATRDR,2018_2021,2150,1228,915,313,922,PASS,True
ATRDR,2022_2023,778,502,441,61,276,PASS,True
MCB,2018_2021,1064,584,478,106,480,PASS,True
MCB,2022_2023,423,347,206,141,76,PASS,True
OGR,2018_2021,370,255,255,0,115,PASS,True
OGR,2022_2023,50,44,44,0,6,PASS,True
IFCGR,2018_2021,362,248,248,0,114,PASS,True
IFCGR,2022_2023,50,44,44,0,6,PASS,True
SMV6,2018_2021,77,77,77,0,0,PASS,True
SMV6,2022_2023,32,32,32,0,0,PASS,True
