strategy,event_id,symbol,legacy_exit_date,current_exit,legacy_reason,current_reason,classification
ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20140509|300187.SZ,300187.SZ,2014-06-11,2014-06-11 09:30:00,TARGET_10,H20_TIME_STOP,LEGACY_BUG
ATRDR,V29|BULL|V29B|20170623|600622.SH,600622.SH,,2017-07-18 09:30:00,,H15_TIME_STOP,CORPORATE_ACTION_CORRECTION
ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180306|002492.SZ,002492.SZ,2018-04-09,2018-04-09 09:30:00,TARGET_10,H20_TIME_STOP,LEGACY_BUG
ATRDR,V29|BULL|V29B|20190703|600195.SH,600195.SH,,2019-07-26 09:30:00,,H15_TIME_STOP,CORPORATE_ACTION_CORRECTION
ATRDR,V29|BULL|V29B|20200601|600570.SH,600570.SH,,2020-06-23 15:00:00,,TARGET_15,CORPORATE_ACTION_CORRECTION
ATRDR,V29|BULL|V29B|20200623|603138.SH,603138.SH,,2020-07-08 15:00:00,,TARGET_15,CORPORATE_ACTION_CORRECTION
ATRDR,V29|BULL|V29B|20200617|603368.SH,603368.SH,,2020-07-14 09:30:00,,H15_TIME_STOP,CORPORATE_ACTION_CORRECTION
ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20211110|300877.SZ,300877.SZ,2021-12-10,2021-12-10 09:30:00,TARGET_10,H20_TIME_STOP,LEGACY_BUG
ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220516|300551.SZ,300551.SZ,2022-06-16,2022-06-16 09:30:00,TARGET_10,H20_TIME_STOP,CORPORATE_ACTION_CORRECTION
ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220519|603331.SH,603331.SH,2022-06-21,2022-06-21 09:30:00,TARGET_10,H20_TIME_STOP,CORPORATE_ACTION_CORRECTION
MCB,V72|V65|MEDIUM_PARTICIPATION|V53-20200623-603138.SH,603138.SH,,2020-07-08 15:00:00,,TARGET_15,CORPORATE_ACTION_CORRECTION
MCB,V72|V65|MEDIUM_PARTICIPATION|V53-20200617-603368.SH,603368.SH,,2020-07-14 09:30:00,,H15_TIME_STOP,CORPORATE_ACTION_CORRECTION
