period,gap,mcb_mode,policy,status,first_reason,historical_metrics
2018_2021,OGR,independent,P0,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,independent,P1,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,independent,P2,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,independent,P3_D4,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,independent,P3_D5,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,independent,P3_D6,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,confirmation_tag,P0,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,confirmation_tag,P1,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,confirmation_tag,P2,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,confirmation_tag,P3_D4,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,confirmation_tag,P3_D5,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,OGR,confirmation_tag,P3_D6,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,independent,P0,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,independent,P1,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,independent,P2,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,independent,P3_D4,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,independent,P3_D5,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,independent,P3_D6,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,confirmation_tag,P0,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,confirmation_tag,P1,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,confirmation_tag,P2,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,confirmation_tag,P3_D4,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,confirmation_tag,P3_D5,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2018_2021,IFCGR,confirmation_tag,P3_D6,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,independent,P0,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,independent,P1,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,independent,P2,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,independent,P3_D4,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,independent,P3_D5,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,independent,P3_D6,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,confirmation_tag,P0,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,confirmation_tag,P1,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,confirmation_tag,P2,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,confirmation_tag,P3_D4,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,confirmation_tag,P3_D5,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,OGR,confirmation_tag,P3_D6,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,independent,P0,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,independent,P1,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,independent,P2,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,independent,P3_D4,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,independent,P3_D5,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,independent,P3_D6,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,confirmation_tag,P0,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,confirmation_tag,P1,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,confirmation_tag,P2,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,confirmation_tag,P3_D4,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,confirmation_tag,P3_D5,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
2022_2023,IFCGR,confirmation_tag,P3_D6,P0_FAIL,NATIVE_CONTINUOUS_INITIAL_STATE_BLOCKED_BY_UNRESOLVED_CORPORATE_ACTION,NOT_ESTIMABLE
