gap,period,mcb_mode,policy,entry,count,wins,losses,total_pnl,best_trade,worst_trade,capital_days
IFCGR,2018_2021,confirmation_tag,P1,2018-11-05 09:30:00,1,1,0,2983.5256981301463,2983.5256981301463,2983.5256981301463,39068.420049504224
IFCGR,2018_2021,confirmation_tag,P1,2019-02-25 09:30:00,1,1,0,5164.312891713387,5164.312891713387,5164.312891713387,602027.0440601017
IFCGR,2018_2021,confirmation_tag,P1,2019-02-26 09:30:00,1,1,0,1062.7363286418113,1062.7363286418113,1062.7363286418113,638164.8514944892
IFCGR,2018_2021,confirmation_tag,P1,2019-09-05 09:30:00,1,0,1,-1540.2722677670536,-1540.2722677670536,-1540.2722677670536,969401.4133598552
IFCGR,2018_2021,confirmation_tag,P1,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
IFCGR,2018_2021,confirmation_tag,P1,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
IFCGR,2018_2021,confirmation_tag,P1,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.0818016831
IFCGR,2018_2021,confirmation_tag,P1,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.615325843
IFCGR,2018_2021,confirmation_tag,P2,2018-11-05 09:30:00,1,1,0,2983.5256981301463,2983.5256981301463,2983.5256981301463,39068.420049504224
IFCGR,2018_2021,confirmation_tag,P2,2019-02-25 09:30:00,1,1,0,5164.312891713387,5164.312891713387,5164.312891713387,602027.0440601017
IFCGR,2018_2021,confirmation_tag,P2,2019-02-26 09:30:00,1,1,0,1062.7363286418113,1062.7363286418113,1062.7363286418113,638164.8514944892
IFCGR,2018_2021,confirmation_tag,P2,2019-09-05 09:30:00,1,0,1,-1540.2722677670536,-1540.2722677670536,-1540.2722677670536,969401.4133598552
IFCGR,2018_2021,confirmation_tag,P2,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
IFCGR,2018_2021,confirmation_tag,P2,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
IFCGR,2018_2021,confirmation_tag,P2,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.0818016831
IFCGR,2018_2021,confirmation_tag,P2,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.615325843
IFCGR,2018_2021,confirmation_tag,P3_D4,2018-11-05 09:30:00,1,1,0,2983.5256981301463,2983.5256981301463,2983.5256981301463,39068.420049504224
IFCGR,2018_2021,confirmation_tag,P3_D4,2019-02-25 09:30:00,1,1,0,5164.312891713387,5164.312891713387,5164.312891713387,602027.0440601017
IFCGR,2018_2021,confirmation_tag,P3_D4,2019-02-26 09:30:00,1,1,0,1062.7363286418113,1062.7363286418113,1062.7363286418113,638164.8514944892
IFCGR,2018_2021,confirmation_tag,P3_D4,2019-09-05 09:30:00,1,0,1,-1540.2722677670536,-1540.2722677670536,-1540.2722677670536,969401.4133598552
IFCGR,2018_2021,confirmation_tag,P3_D4,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
IFCGR,2018_2021,confirmation_tag,P3_D4,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
IFCGR,2018_2021,confirmation_tag,P3_D4,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.0818016831
IFCGR,2018_2021,confirmation_tag,P3_D4,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.615325843
IFCGR,2018_2021,confirmation_tag,P3_D5,2018-11-05 09:30:00,1,1,0,2983.5256981301463,2983.5256981301463,2983.5256981301463,39068.420049504224
IFCGR,2018_2021,confirmation_tag,P3_D5,2019-02-25 09:30:00,1,1,0,5164.312891713387,5164.312891713387,5164.312891713387,602027.0440601017
IFCGR,2018_2021,confirmation_tag,P3_D5,2019-02-26 09:30:00,1,1,0,1062.7363286418113,1062.7363286418113,1062.7363286418113,638164.8514944892
IFCGR,2018_2021,confirmation_tag,P3_D5,2019-09-05 09:30:00,1,0,1,-1540.2722677670536,-1540.2722677670536,-1540.2722677670536,969401.4133598552
IFCGR,2018_2021,confirmation_tag,P3_D5,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
IFCGR,2018_2021,confirmation_tag,P3_D5,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
IFCGR,2018_2021,confirmation_tag,P3_D5,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.0818016831
IFCGR,2018_2021,confirmation_tag,P3_D5,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.615325843
IFCGR,2018_2021,confirmation_tag,P3_D6,2018-11-05 09:30:00,1,1,0,2983.5256981301463,2983.5256981301463,2983.5256981301463,39068.420049504224
IFCGR,2018_2021,confirmation_tag,P3_D6,2019-02-25 09:30:00,1,1,0,5164.312891713387,5164.312891713387,5164.312891713387,602027.0440601017
IFCGR,2018_2021,confirmation_tag,P3_D6,2019-02-26 09:30:00,1,1,0,1062.7363286418113,1062.7363286418113,1062.7363286418113,638164.8514944892
IFCGR,2018_2021,confirmation_tag,P3_D6,2019-09-05 09:30:00,1,0,1,-1540.2722677670536,-1540.2722677670536,-1540.2722677670536,969401.4133598552
IFCGR,2018_2021,confirmation_tag,P3_D6,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
IFCGR,2018_2021,confirmation_tag,P3_D6,2019-12-26 09:30:00,1,1,0,5577.396001537025,5577.396001537025,5577.396001537025,325281.11130673456
IFCGR,2018_2021,confirmation_tag,P3_D6,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.0818016831
IFCGR,2018_2021,confirmation_tag,P3_D6,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.615325843
IFCGR,2018_2021,independent,P1,2018-11-05 09:30:00,1,1,0,2983.52569813015,2983.52569813015,2983.52569813015,39068.42004950425
IFCGR,2018_2021,independent,P1,2018-11-19 09:30:00,1,1,0,512.3767165938843,512.3767165938843,512.3767165938843,507352.81601153297
IFCGR,2018_2021,independent,P1,2019-02-25 09:30:00,1,1,0,5164.312891713409,5164.312891713409,5164.312891713409,602027.0440601038
IFCGR,2018_2021,independent,P1,2019-02-26 09:30:00,2,2,0,2492.9783427721813,1430.2420141303664,1062.736328641815,1107881.0357904956
IFCGR,2018_2021,independent,P1,2019-09-05 09:30:00,2,1,1,97.7895590374319,1638.0618268044927,-1540.2722677670608,1701436.4357736125
IFCGR,2018_2021,independent,P1,2019-09-10 09:30:00,1,0,1,-2980.875592255248,-2980.875592255248,-2980.875592255248,901570.4489180226
IFCGR,2018_2021,independent,P1,2019-12-26 09:30:00,1,1,0,5577.396001537047,5577.396001537047,5577.396001537047,325281.11130673595
IFCGR,2018_2021,independent,P1,2020-07-10 09:30:00,1,0,1,-2185.228470033653,-2185.228470033653,-2185.228470033653,743673.081801684
IFCGR,2018_2021,independent,P1,2021-08-30 09:30:00,1,1,0,2731.139273570785,2731.139273570785,2731.139273570785,1127155.6153258444
IFCGR,2018_2021,independent,P2,2018-11-05 09:30:00,1,1,0,2983.52569813015,2983.52569813015,2983.52569813015,39068.42004950425
IFCGR,2018_2021,independent,P2,2018-11-19 09:30:00,1,1,0,512.3767165938843,512.3767165938843,512.3767165938843,507352.81601153297
IFCGR,2018_2021,independent,P2,2019-02-25 09:30:00,1,1,0,5164.312891713409,5164.312891713409,5164.312891713409,602027.0440601038
IFCGR,2018_2021,independent,P2,2019-02-26 09:30:00,1,1,0,1062.736328641815,1062.736328641815,1062.736328641815,638164.8514944894
IFCGR,2018_2021,independent,P2,2019-09-05 09:30:00,2,1,1,97.7895590374319,1638.0618268044927,-1540.2722677670608,1701436.435773612
IFCGR,2018_2021,independent,P2,2019-12-26 09:30:00,1,1,0,5577.396001537054,5577.396001537054,5577.396001537054,325281.111306736
IFCGR,2018_2021,independent,P2,2020-07-10 09:30:00,1,0,1,-2192.5056771348245,-2192.5056771348245,-2192.5056771348245,746149.6480308205
