gap,period,mcb_mode,policy,strategy,count,wins,losses,total_pnl,best_trade,worst_trade,capital_days
IFCGR,2018_2021,confirmation_tag,P1,ATRDR,8,5,3,10812.7338635372,5577.396001537025,-2980.875592255248,5346341.986316234
IFCGR,2018_2021,confirmation_tag,P2,ATRDR,8,5,3,10812.7338635372,5577.396001537025,-2980.875592255248,5346341.986316234
IFCGR,2018_2021,confirmation_tag,P3_D4,ATRDR,8,5,3,10812.7338635372,5577.396001537025,-2980.875592255248,5346341.986316234
IFCGR,2018_2021,confirmation_tag,P3_D5,ATRDR,8,5,3,10812.7338635372,5577.396001537025,-2980.875592255248,5346341.986316234
IFCGR,2018_2021,confirmation_tag,P3_D6,ATRDR,8,5,3,10812.7338635372,5577.396001537025,-2980.875592255248,5346341.986316234
IFCGR,2018_2021,independent,P1,ATRDR,8,5,3,10812.733863537243,5577.396001537047,-2980.875592255248,5346341.986316243
IFCGR,2018_2021,independent,P1,MCB,3,3,0,3580.6805575287435,1638.0618268044927,512.3767165938843,1709104.0227212925
IFCGR,2018_2021,independent,P2,ATRDR,7,5,2,13786.332248691328,5577.396001537054,-2192.5056771348245,4447248.103627356
IFCGR,2018_2021,independent,P2,MCB,2,2,0,2150.438543398377,1638.0618268044927,512.3767165938843,1239387.8384252863
IFCGR,2018_2021,independent,P3_D4,ATRDR,7,5,2,13786.332248691328,5577.396001537054,-2192.5056771348245,4447248.103627356
IFCGR,2018_2021,independent,P3_D4,MCB,2,2,0,2150.438543398377,1638.0618268044927,512.3767165938843,1239387.8384252863
IFCGR,2018_2021,independent,P3_D5,ATRDR,7,5,2,13786.332248691328,5577.396001537054,-2192.5056771348245,4447248.103627356
IFCGR,2018_2021,independent,P3_D5,MCB,2,2,0,2150.438543398377,1638.0618268044927,512.3767165938843,1239387.8384252863
IFCGR,2018_2021,independent,P3_D6,ATRDR,7,5,2,13786.332248691328,5577.396001537054,-2192.5056771348245,4447248.103627356
IFCGR,2018_2021,independent,P3_D6,MCB,2,2,0,2150.438543398377,1638.0618268044927,512.3767165938843,1239387.8384252863
IFCGR,2022_2023,confirmation_tag,P1,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,confirmation_tag,P1,MCB,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
IFCGR,2022_2023,confirmation_tag,P2,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,confirmation_tag,P2,MCB,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
IFCGR,2022_2023,confirmation_tag,P3_D4,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
IFCGR,2022_2023,confirmation_tag,P3_D4,MCB,1,1,0,1743.6696200023434,1743.6696200023434,1743.6696200023434,795929.4906105574
IFCGR,2022_2023,confirmation_tag,P3_D5,ATRDR,1,1,0,5884.753869620057,5884.753869620057,5884.753869620057,565125.5440700715
