strategy,period,checkpoints,min_cash,max_abs_quantity_diff,max_abs_equity_diff,status,common_account,scope,tolerance_quantity,tolerance_nav_pnl,gap
ATRDR,2018_2021,1699.0,3020205.491337672,0.0,8.381903171539307e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False,INDEPENDENT_NATIVE_ADAPTER_THROUGH_COMMON_DISPATCHER,1e-08,1e-06,
ATRDR,2022_2023,1868.0,3014387.442728205,0.0,1.30385160446167e-08,PASS_THROUGH_LAST_VALID_CHECKPOINT,False,INDEPENDENT_NATIVE_ADAPTER_THROUGH_COMMON_DISPATCHER,1e-08,1e-06,
MCB,2018_2021,1643.0,3012585.877580155,0.0,6.5192580223083504e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False,INDEPENDENT_NATIVE_ADAPTER_THROUGH_COMMON_DISPATCHER,1e-08,1e-06,
MCB,2022_2023,1243.0,3030291.1256999983,0.0,8.381903171539307e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False,INDEPENDENT_NATIVE_ADAPTER_THROUGH_COMMON_DISPATCHER,1e-08,1e-06,
OGR,2018_2021,1746.0,3234258.8903316734,0.0,3.725290298461914e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False,INDEPENDENT_NATIVE_ADAPTER_THROUGH_COMMON_DISPATCHER,1e-08,1e-06,
OGR,2022_2023,622.0,3865518.7588813063,0.0,9.313225746154783e-10,PASS_THROUGH_LAST_VALID_CHECKPOINT,False,INDEPENDENT_NATIVE_ADAPTER_THROUGH_COMMON_DISPATCHER,1e-08,1e-06,
IFCGR,2018_2021,1725.0,3234240.770241795,0.0,4.190951585769653e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False,INDEPENDENT_NATIVE_ADAPTER_THROUGH_COMMON_DISPATCHER,1e-08,1e-06,
IFCGR,2022_2023,622.0,3865518.7588813063,0.0,9.313225746154783e-10,PASS_THROUGH_LAST_VALID_CHECKPOINT,False,INDEPENDENT_NATIVE_ADAPTER_THROUGH_COMMON_DISPATCHER,1e-08,1e-06,
SMV6,2018_2021,1287.0,3000073.063237857,0.0,2.7939677238464355e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False,INDEPENDENT_NATIVE_ADAPTER_THROUGH_COMMON_DISPATCHER,1e-08,1e-06,
SMV6,2022_2023,610.0,3114453.9040531507,0.0,3.725290298461914e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False,INDEPENDENT_NATIVE_ADAPTER_THROUGH_COMMON_DISPATCHER,1e-08,1e-06,
ALL_ACTIVE,2018_2021,,,,,NOT_RUN_NATIVE_INITIAL_STATE_UNRESOLVED,True,FORMAL_COMMON_P0,,,OGR
ALL_ACTIVE,2022_2023,,,,,NOT_RUN_NATIVE_INITIAL_STATE_UNRESOLVED,True,FORMAL_COMMON_P0,,,OGR
ALL_ACTIVE,2018_2021,,,,,NOT_RUN_NATIVE_INITIAL_STATE_UNRESOLVED,True,FORMAL_COMMON_P0,,,IFCGR
ALL_ACTIVE,2022_2023,,,,,NOT_RUN_NATIVE_INITIAL_STATE_UNRESOLVED,True,FORMAL_COMMON_P0,,,IFCGR
