gap,period,mcb_mode,policy,date,portfolio_return,DD,ATRDR_contribution,MCB_contribution,Gap_contribution,SMV6_contribution,shared_funded_contribution,Demand_exposure,Gap_exposure,SMV6_exposure,total_gross,cash,top_symbols
OGR,2018_2021,independent,P0,2020-07-16,-0.025299659892363935,0.04186750555432239,-0.011451017434974663,-0.005721725413539143,0.0,-0.008126917043850128,0.0,0.48795518373684676,0.0,0.15307775733623605,0.6410329410730828,2221512.430643469,"[[""512980.SH"", 359132.2], [""159938.SZ"", 213540.39999999997], [""159928.SZ"", 179545.8], [""510180.SH"", 168989.99999999997], [""600496.SH"", 79313.98677736486], [""002062.SZ"", 74756.87821196324], [""002743.SZ"", 73906.96611641531], [""002061.SZ"", 72965.78553353732], [""002543.SZ"", 72787.71700036687], [""600406.SH"", 72569.38697043972]]"
OGR,2018_2021,independent,P0,2020-07-24,-0.023016407407668193,0.035989118773418594,-0.009229283367345919,-0.0060516933357395285,0.0,-0.00773543070458266,0.0,0.4199841629873568,0.0,0.08425089826513932,0.5042350612524962,3086926.7715723785,"[[""512980.SH"", 302285.7], [""159938.SZ"", 182360.6], [""000713.SZ"", 77841.34802872027], [""601226.SH"", 76916.26880000616], [""603861.SH"", 72933.18046630634], [""600939.SH"", 72715.28093108824], [""600477.SH"", 71858.02727239998], [""002543.SZ"", 71639.36709623487], [""600406.SH"", 71475.54788280239], [""002061.SZ"", 71393.81169798535]]"
OGR,2018_2021,independent,P0,2018-03-23,-0.019763343905121245,0.023866170246595764,-0.016458751337573414,-0.0033045925675478215,0.0,0.0,0.0,0.32104255744875365,0.001267254557121047,0.0,0.32230981200587466,3358358.282037331,"[[""300291.SZ"", 41606.50501666477], [""002799.SZ"", 35674.53033627409], [""603617.SH"", 32236.683093938467], [""600518.SH"", 31281.433119930858], [""002286.SZ"", 31280.817005408768], [""600736.SH"", 30719.182023665067], [""002550.SZ"", 30639.70455357055], [""002880.SZ"", 30121.372337972225], [""600580.SH"", 30039.52119464395], [""603858.SH"", 29800.739454556628]]"
OGR,2018_2021,independent,P0,2019-09-17,-0.018690962442349912,0.018690962442349912,-0.00945613467674876,-0.006879111664733561,-3.8920751835849627e-05,-0.0023167953490318338,0.0,0.5774930192384611,0.0011865570523912688,0.13844621834421336,0.7171257946350656,1622002.6019465297,"[[""159915.SZ"", 205486.0], [""159901.SZ"", 204452.34999999998], [""510300.SH"", 203879.99999999997], [""159928.SZ"", 144943.2], [""600406.SH"", 70723.65048989591], [""002831.SZ"", 70108.75285080014], [""002065.SZ"", 69398.15906425119], [""002534.SZ"", 69156.76782160439], [""600560.SH"", 68701.96433954721], [""603528.SH"", 68695.9763494756]]"
OGR,2018_2021,independent,P0,2018-11-23,-0.0168567193438236,0.021964718510546155,-0.011489711680177258,-0.00514845624655845,-0.00021855141708776592,0.0,0.0,0.39382092269815877,0.004889691769295542,0.0,0.3987106144674543,3125728.2622862523,"[[""603922.SH"", 55390.80809844138], [""600820.SH"", 55284.92472556275], [""603488.SH"", 54330.40431671866], [""002519.SZ"", 53916.57457436195], [""603000.SH"", 53830.807403131614], [""300457.SZ"", 49284.86840900602], [""300600.SZ"", 45474.554792710966], [""300499.SZ"", 44726.00586785215], [""300313.SZ"", 44662.87037159882], [""300071.SZ"", 44234.21871645599]]"
OGR,2018_2021,independent,P0,2020-07-15,-0.015332894980992773,0.01699788640694322,-0.008092213261320015,-0.004941456025218387,0.0,-0.002299225694454397,0.0,0.49300486586220205,0.0,0.1573318591823936,0.6503367250445956,2220102.644584601,"[[""512980.SH"", 371055.1], [""159938.SZ"", 229244.99999999997], [""159928.SZ"", 194128.19999999998], [""510180.SH"", 177245.99999999997], [""002062.SZ"", 77877.94072180663], [""600496.SH"", 77421.05153208168], [""000713.SZ"", 76652.39662127351], [""002543.SZ"", 75614.4244566918], [""600406.SH"", 75201.43727506707], [""002743.SZ"", 75188.58980629533]]"
OGR,2018_2021,independent,P0,2019-09-25,-0.013094784488255184,0.016943437265886874,-0.006938674910350739,-0.004999151431671197,0.0,-0.0011569581462331482,0.0,0.48144137134849807,0.0,0.13807904930709816,0.6195204206555962,2185557.6194998715,"[[""159915.SZ"", 204597.0], [""159901.SZ"", 204541.65000000002], [""510300.SH"", 202859.99999999997], [""159928.SZ"", 146370.0], [""002831.SZ"", 74276.50820460347], [""002534.SZ"", 71132.67547365022], [""002829.SZ"", 69313.81920998819], [""600560.SH"", 68628.8771434413], [""000425.SZ"", 67443.49766793608], [""000157.SZ"", 67342.97167413072]]"
OGR,2018_2021,independent,P0,2020-03-09,-0.011109530447504845,0.013248904949347606,-0.006597874103635718,-0.0044873839676288,-2.4272376240207887e-05,0.0,0.0,0.42198816272661765,0.0012616161012368478,0.0,0.42324977882785453,3357869.699514781,"[[""600963.SH"", 72617.75918237728], [""600433.SH"", 70451.65598337773], [""002337.SZ"", 69863.64502068995], [""603909.SH"", 69710.29342086462], [""002251.SZ"", 69457.68034575033], [""002615.SZ"", 68715.59798493345], [""600987.SH"", 68671.94627197886], [""601996.SH"", 68663.28310256959], [""000929.SZ"", 68293.39367811377], [""002142.SZ"", 68162.29534458592]]"
OGR,2018_2021,independent,P0,2019-09-26,-0.010873160182393926,0.027632368740848512,-0.004684520149845844,-0.003755697866325244,0.0,-0.002432942166222799,0.0,0.35269104323767686,0.0,0.13713722212399812,0.48982826536167495,2898673.417589338,"[[""510300.SH"", 201240.0], [""159901.SZ"", 201103.6], [""159915.SZ"", 198247.0], [""159928.SZ"", 144008.4], [""002831.SZ"", 73662.652764896], [""002829.SZ"", 68220.34966942745], [""000425.SZ"", 66705.60382036566], [""600560.SH"", 66582.43565247605], [""000157.SZ"", 66410.88902120158], [""603955.SH"", 65199.24162926566]]"
OGR,2018_2021,independent,P0,2019-12-23,-0.010523094053691118,0.0370506039790196,-0.004579613687821201,-0.0019961949143739678,0.0,-0.003947285451495839,0.0,0.34162826402992885,0.0,0.1795898323542079,0.5212180963841367,2693975.198975069,"[[""512980.SH"", 206524.80000000002], [""159901.SZ"", 202870.2], [""510500.SH"", 200745.30919162906], [""159949.SZ"", 200344.0], [""159915.SZ"", 200018.7], [""603608.SH"", 71227.60385265929], [""600754.SH"", 70018.36941032956], [""002729.SZ"", 68702.48933153367], [""000712.SZ"", 68649.9812380101], [""002632.SZ"", 68000.62958395806]]"
