calendar_year,sleeve,stock_dates,uncovered_stock_dates,uncovered_fraction,covered_unfunded_dates,size_available_dates,account_context_dates,market_state_dates
2018,CHINEXT,146968,146799.0,0.9988500898154701,0.0,146968,146968,146968
2018,MAIN,482694,482223.0,0.9990242265286082,132.0,482694,482694,482694
2019,CHINEXT,160815,160693.0,0.9992413643005938,31.0,160815,160815,160815
2019,MAIN,512980,512689.0,0.9994327264220827,126.0,512980,512980,512980
2020,CHINEXT,174848,174747.0,0.9994223554172768,24.0,174848,174848,174848
2020,MAIN,521596,521415.0,0.9996529881364121,0.0,521596,521596,521596
2021,CHINEXT,207693,207622.0,0.9996581492876505,0.0,207693,207693,207693
2021,MAIN,555276,555132.0,0.9997406695048948,3.0,555276,555276,555276
2022,CHINEXT,246426,246335.0,0.9996307207843328,0.0,246426,246426,246426
2022,MAIN,573835,573634.0,0.9996497250951929,0.0,573835,573835,573835
2023,CHINEXT,275870,275716.0,0.9994417660492261,61.0,275870,275870,275870
2023,MAIN,590141,589944.0,0.9996661814718856,87.0,590141,590141,590141
2024,CHINEXT,286675,286415.0,0.9990930496206506,115.0,286675,286675,286675
2024,MAIN,593147,592668.0,0.9991924430200271,240.0,593147,593147,593147
2025,CHINEXT,284184,284043.0,0.9995038425808631,0.0,284184,284184,284184
2025,MAIN,587002,586811.0,0.9996746178036872,0.0,587002,587002,587002
2026,CHINEXT,190410,190316.0,0.9995063284491361,0.0,170848,190410,190410
2026,MAIN,391089,390964.0,0.9996803796578273,4.0,350736,391089,391089
