scale,period,strategy,ratio_type,orders,p50,p95,max,missing_denominator,grade
X1,DISCOVERY,ATRDR,order_to_daily_amount,886,0.0005348751842094365,0.002962951714755371,0.010764373575422294,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,DISCOVERY,ATRDR,order_to_ADV20,886,0.0009055144738124956,0.0042867076114921025,0.01,4,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,DISCOVERY,MCB,order_to_daily_amount,39,0.00031864348853678326,0.001603094452442408,0.0019030400700818947,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,DISCOVERY,MCB,order_to_ADV20,39,0.0006624743870525016,0.0030326221844278285,0.0036999323623305913,2,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,DISCOVERY,OGR,order_to_daily_amount,236,0.001553380861557192,0.007233757162051457,0.011551176691366143,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,DISCOVERY,OGR,order_to_ADV20,236,0.0013252479900603203,0.005713778080989899,0.01,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,DISCOVERY,SMV6,order_to_execution_window_volume,80,0.2535549132947977,0.5,0.5,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,VALIDATION,ATRDR,order_to_daily_amount,435,0.0005816611224626886,0.0031632345005131834,0.007504985475417036,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,VALIDATION,ATRDR,order_to_ADV20,435,0.0009368751417953899,0.004103759026627359,0.01,1,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,VALIDATION,MCB,order_to_daily_amount,12,0.00031936564827818553,0.0008242105972969283,0.0010093179451677577,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,VALIDATION,MCB,order_to_ADV20,12,0.0005687972793925276,0.001370628719520834,0.001623448865278131,1,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,VALIDATION,OGR,order_to_daily_amount,44,0.0009873528663349603,0.005270244058796293,0.0069288116261201765,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,VALIDATION,OGR,order_to_ADV20,44,0.000845247446112648,0.0035403695313200242,0.005762470651531462,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,VALIDATION,SMV6,order_to_execution_window_volume,32,0.25211345530932855,0.5,0.5,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,2024_POST_HOC,ATRDR,order_to_daily_amount,306,0.0006012223476680998,0.0031055529671504814,0.00917936189660853,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,2024_POST_HOC,ATRDR,order_to_ADV20,306,0.0009630909748158539,0.0035697744107895772,0.01,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,2024_POST_HOC,MCB,order_to_daily_amount,10,0.00028331681842177646,0.0006353931297703437,0.0006767833961295922,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,2024_POST_HOC,MCB,order_to_ADV20,10,0.00187397778878494,0.002933721044808541,0.003120309603357174,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,2024_POST_HOC,OGR,order_to_daily_amount,53,0.001866918133118556,0.0050624614860215154,0.008470567128276683,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
X1,2024_POST_HOC,OGR,order_to_ADV20,53,0.001998427284572147,0.004259574841021892,0.005668236101838423,0,DESCRIPTIVE_REGISTERED_EXECUTION_FACTS_NO_IMPACT_MODEL
