scale,period,start,end,return_,CAGR,MaxDD,CVaR5,Sharpe,average_gross,P95_gross,cash_ratio,fees,turnover,worst_month,max_security,max_family,top5_day_concentration,top5_event_concentration,top5_symbol_concentration,net_pnl,max_gross,days_gross_gt25,days_gross_gt50,days_gross_gt75,days_gross_gt90,days_gross_ge99,trading_days
X1,2018,2018-01-01,2018-12-31,0.17343930515302097,0.17356785926630125,0.03192287367133628,0.00880476732282147,2.4403033940227545,0.17299259854223722,0.5635912821126108,0.8270074014577629,76587.0956896448,7.306874841910873,-0.010052684564330616,0.01710688209056957,0.8770359245935344,0.2528362754593566,0.06491828292854866,0.06654932944438276,850682.0044139912,1.0,70,17,5,3,1,243
X1,2019,2019-01-01,2019-12-31,0.08574822486132483,0.08580940727608488,0.021391024539253678,0.006146228694122154,1.9591754465404854,0.11183797285739598,0.4284396755155607,0.8881620271426041,47991.08241233647,4.253172716805342,-0.00749858580875018,0.017167413755989194,0.47091899866830744,0.2677791563715512,0.07930796890789901,0.08810136263925741,493520.832709725,0.5668638823511231,40,9,0,0,0,244
X1,2020,2020-01-01,2020-12-31,0.08952099351660259,0.08932958920831324,0.03019512155018056,0.007691320154967062,1.7100120188370296,0.13151449806631865,0.3807642153173961,0.8684855019336813,55676.969730608675,4.661016515226585,-0.010086936903914379,0.019878108988739297,0.44408840315115183,0.24376658498879022,0.07563662968497764,0.09424772201948362,559415.3426548839,0.52094177859609,42,2,0,0,0,243
X1,2021,2021-01-01,2021-12-31,0.0891135648276502,0.089177245609384,0.009086217671912755,0.0028266078199316804,3.7899557923433815,0.09850816581947426,0.29100295669387766,0.9014918341805256,50274.72999197731,3.925418386364212,0.00015082691677892335,0.02058260119477318,0.2432435398244498,0.1546377235818649,0.08894441764455713,0.08894441764455713,606720.8223060323,0.3942918291501064,16,0,0,0,0,243
X1,2022,2022-01-01,2022-12-31,0.10029110732626179,0.10036313714215117,0.02621833161794962,0.006746879517658306,2.0034690047706767,0.14670104894567407,0.5405378152196494,0.8532989510543258,81865.9496164599,5.420965880617313,-0.013272030536402801,0.01829828606847912,0.38220450084034396,0.17668745470266461,0.09091119833833779,0.09091119833833779,743670.7092140829,0.6772498301279332,48,17,0,0,0,242
X1,2023,2023-01-01,2023-12-31,0.03952819392553675,0.03955579657834707,0.01178457764149543,0.0044375863869692105,1.4513326743229786,0.1006324424818583,0.4102122062558868,0.8993675575181417,52612.053150045336,3.4870286470664955,-0.00234140668600602,0.01899416019250209,0.45699042831454323,0.2317066172294506,0.08605861045977238,0.1003299370705527,322502.30606899783,0.5215703254322107,32,4,0,0,0,242
X1,2024,2024-01-01,2024-12-31,0.17335835355361673,0.17297402136966866,0.051523979342355974,0.008579660603730464,1.953929005065192,0.13212466566478057,0.39824911831307885,0.8678753343352195,112824.08705177001,6.478057293052601,-0.02296525936886018,0.024791025278366224,0.42047288371283364,0.3255042916992249,0.11953534497745368,0.1195353449774537,1470303.1892514937,0.5891814733538872,48,3,0,0,0,242
X1,2025,2025-01-01,2025-12-31,0.09027233418041791,0.09033687686215619,0.015192759481980844,0.006090435868023936,2.0390150682899084,0.1781414860688216,0.43506608183008283,0.8218585139311784,114672.90265301784,6.361860745118092,-0.004962642418598673,0.022479534972472064,0.3916519972597036,0.18554527962816467,0.09761262719813878,0.10088898935792821,898353.9203272928,0.47468084237135627,74,0,0,0,0,243
X1,2026,2026-01-01,2026-09-04,0.06622219262141904,0.09946060268577073,0.02690856772736372,0.005067386630586788,2.3035066616133433,0.14146200635628292,0.35464247364290574,0.8585379936437171,80383.6228175339,5.807787977303956,-0.013402957516552405,0.020672277438085314,0.335616203628644,0.2249664819957628,0.13593472481375682,0.13641333639699907,718507.5620170012,0.4068410975123067,33,0,0,0,0,164
X1.5,2018,2018-01-01,2018-12-31,0.21563679586482265,0.2157993923736139,0.04114136772545807,0.012555982656100277,2.249442217939809,0.23981270887332823,0.7606303941506456,0.7601872911266717,102286.51908569247,9.545240823784788,-0.014984111152403279,0.025667324242709542,0.8230752202437058,0.23446308372545122,0.07497142847999283,0.0764445798295063,1057651.5027539749,1.0000000000000002,80,43,14,4,1,243
X1.5,2019,2019-01-01,2019-12-31,0.12760587889840225,0.12769863732852005,0.03204077510299297,0.00907008688893764,1.9527921749848554,0.16342359702463688,0.6256108565507879,0.8365764029753632,76377.32082406606,6.315875300509651,-0.01125947499535862,0.025726733624520357,0.7045648950343119,0.26898962461593595,0.07584749883171618,0.08351225171787285,760841.5839778408,0.8336435157346098,53,23,8,0,0,244
X1.5,2020,2020-01-01,2020-12-31,0.1326724322521491,0.13238331314713703,0.04414635588027194,0.011471036356484951,1.6916417408506608,0.19425113924228524,0.5617545263524317,0.8057488607577148,91169.06785067375,6.884877165744942,-0.015326313984426965,0.02781867773091368,0.6619674527956133,0.24238562997800528,0.07301565094720429,0.09124597509520418,891993.2755971868,0.7655632359602196,70,26,1,0,0,243
X1.5,2021,2021-01-01,2021-12-31,0.13539600893592763,0.13549476274027406,0.013567390284992098,0.004193538599003544,3.7943251895338252,0.14573101407878422,0.43039971306985364,0.8542689859212158,85409.74747911288,5.840984769396672,0.00028713365131927127,0.03072551577439827,0.3600843538772628,0.15510314755543575,0.08830588902966957,0.08830588902966957,1031076.9607274458,0.5840094849071943,51,8,0,0,0,243
X1.5,2022,2022-01-01,2022-12-31,0.14235409204473393,0.14245823185475848,0.03718321484006204,0.009868269412542187,1.9445637660732593,0.21406026810329742,0.7719787126209728,0.7859397318967025,141262.87228825298,7.852046548252607,-0.019863750001536284,0.027241573994131473,0.5020453863226866,0.17765264222986943,0.09337631814263535,0.09337631814263535,1230842.6563599221,0.9311866728614148,80,26,14,1,0,242
X1.5,2023,2023-01-01,2023-12-31,0.05917130702827267,0.05921301222372555,0.017090434377050823,0.0064434331737453455,1.4694872326112884,0.14824838275292165,0.6115728979480327,0.8517516172470784,96423.2979603862,5.1313642689459185,-0.003379985712835376,0.028388723182205113,0.6819461968636162,0.2344638099010466,0.0871837699181769,0.09968626066553662,584446.1301504616,0.7691332483007682,48,27,3,0,0,242
X1.5,2024,2024-01-01,2024-12-31,0.2563972800087162,0.25580977279732675,0.07650678136136746,0.012413940580780892,1.941594568997836,0.1948781759368932,0.5914949010600394,0.8051218240631067,211606.23367955396,9.478627842125576,-0.03460072451186702,0.03567179705673708,0.623674099151199,0.32209702788594446,0.12132922831181993,0.12132922831181993,2682334.563263785,0.807253741147575,77,27,2,0,0,242
X1.5,2025,2025-01-01,2025-12-31,0.13527116679775153,0.1353698242326058,0.022556128976612855,0.009036944584382901,2.023633280803119,0.2628708195801095,0.6484399312955086,0.7371291804198905,231489.82381679327,9.367910659313193,-0.007439741345108497,0.03352337857980605,0.5858270342694163,0.18808584839811485,0.08626640477340042,0.09545668018101705,1777999.9962028246,0.7053886956938943,104,43,0,0,0,243
X1.5,2026,2026-01-01,2026-09-04,0.09852208577652233,0.1490681735061512,0.040217290675044426,0.007555704569234674,2.281218551797368,0.21034700677182455,0.5282181065768848,0.7896529932281755,168636.57102229632,8.622351522491986,-0.020079877358953224,0.030493274930383434,0.5029637129023555,0.2247308195503808,0.13635615196310014,0.13681715824464316,1470143.4898933414,0.5977599217830992,54,13,0,0,0,164
X2,2018,2018-01-01,2018-12-31,0.24115543838930376,0.24133911131761066,0.04960486240748496,0.01570747286684719,2.0837857554668267,0.2903665080183974,0.8448661071438797,0.7096334919816027,122309.39399582308,11.283523287479776,-0.01987142462238789,0.034157369113478005,0.7777230410398713,0.22981464653936906,0.08592316129132828,0.08728961488005157,1182814.8845692854,1.0,86,64,33,7,1,243
X2,2019,2019-01-01,2019-12-31,0.1736823120034936,0.17381105921749862,0.03809810095837851,0.011238226619456025,2.0554346729577793,0.20630584128748192,0.8090132128902776,0.7936941587125181,102582.50430248905,8.046647546904735,-0.01498576922951056,0.03426958924460958,0.8138829358544128,0.2741707598654218,0.07794475715578816,0.08184181863323732,1057307.9238955993,0.9713603214967425,75,38,16,7,0,244
X2,2020,2020-01-01,2020-12-31,0.17347389377061062,0.17308928704477977,0.05433159996843695,0.014639074336288322,1.7204334462735995,0.25123955931504527,0.7400760516667,0.7487604406849546,129211.21578968622,8.935046531867698,-0.02215161003187538,0.037037725188670934,0.8377871910128165,0.23722436061601235,0.0723516502842559,0.08403710265734247,1239454.4801561777,0.9460054874586556,84,40,12,2,0,243
X2,2021,2021-01-01,2021-12-31,0.17975566046913327,0.1798892449365923,0.017915462584456643,0.00545143036646907,3.7974343044548995,0.18865876501756107,0.5590132161708888,0.8113412349824389,124720.33367135789,7.618976705422421,0.0004247822085086117,0.04076464398623324,0.4648219720226928,0.15487249691895905,0.08900273229097186,0.08900273229097186,1507136.06475956,0.7516077602230532,70,16,1,0,0,243
X2,2022,2022-01-01,2022-12-31,0.16129854286257927,0.16141749361518798,0.04870801917743384,0.012441877121668546,1.8044391077994302,0.2662882446178865,0.8679880676998403,0.7337117553821134,198242.04917823407,9.565774822298334,-0.026426450880349672,0.035673904046570414,0.5825116284761624,0.17585994936204008,0.10069612068748832,0.10069612068748832,1595483.8080707267,0.9659671798727005,104,44,19,8,0,242
X2,2023,2023-01-01,2023-12-31,0.07695611512194134,0.07701080423137086,0.021062720859472583,0.00819574300239557,1.4817084938862122,0.19026859970721538,0.7774642077335068,0.8097314002927846,147728.66525615472,6.591482121868549,-0.004379247922678409,0.03772395553104442,0.8450832591526471,0.23457757564058643,0.0895723041908099,0.10200729370185442,883993.300694095,0.9448499034622804,54,30,18,4,0,242
X2,2024,2024-01-01,2024-12-31,0.3016747636219388,0.3009716978570174,0.09554550280030738,0.01468096931175593,1.9079217266593973,0.24047265605656057,0.7000730757694866,0.7595273439434395,303177.24916769064,11.310840814859127,-0.04326476893749043,0.04643305877946852,0.6998480928421372,0.3168898376897309,0.13444016692055408,0.13444016692055405,3732010.232265163,0.8866247112430147,95,39,7,0,0,242
X2,2025,2025-01-01,2025-12-31,0.17104407046147463,0.17117072309437065,0.02968389802743765,0.011747319039735693,1.9655713359546776,0.3394484495127785,0.8480404556893268,0.6605515504872214,376499.9621263277,12.049783617590275,-0.009578090134959472,0.04434228505009434,0.7790556639163103,0.18160631188930337,0.0854775132652224,0.09335058275133737,2754319.728720175,0.9271356479409925,120,72,22,5,0,243
X2,2026,2026-01-01,2026-09-04,0.13268367365163392,0.20230008717507597,0.05335810639509464,0.01002297974940642,2.3027801585346204,0.2765186279385488,0.6995527313733245,0.723481372061451,287997.42009469727,11.323870729626302,-0.026750145194849972,0.04003587842564556,0.6686485561787059,0.22473341940536867,0.1362322766230797,0.1366855471608838,2502056.1778024994,0.7874034014718905,72,32,6,0,0,164
X3,2018,2018-01-01,2018-12-31,0.2636324475427627,0.2638349829147886,0.06581219048661213,0.021384411921438414,1.7879877706995093,0.3641945711120769,0.9785416426488545,0.635805428887923,144325.24812836442,13.179813977439451,-0.021083414753631624,0.05109563147925792,0.8063560219836855,0.21908258775075937,0.11094953428161024,0.11234375333093478,1293059.717382853,1.0,115,78,50,31,10,243
X3,2019,2019-01-01,2019-12-31,0.22351137788028708,0.22368043936382453,0.05299655773258782,0.013733348132361258,2.054564569003266,0.2634402777601539,0.942036282784582,0.7365597222398461,136114.93522772766,10.197096109587232,-0.022419517417020307,0.051299614433289516,0.9206720047815463,0.2789146831411769,0.09354853498729059,0.09816825660652369,1385288.171012017,1.0,92,49,35,20,2,244
X3,2020,2020-01-01,2020-12-31,0.21760673654675267,0.21711558311128565,0.08062683395900427,0.01877423690423394,1.7265089067974269,0.3328040797002611,0.8785451225806112,0.6671959202997387,186064.8504266758,11.882674386853695,-0.04010541508404719,0.0542898126724544,0.863356931367284,0.20912289147012136,0.06731626869153676,0.07394825116480012,1650140.1759367678,0.9794513304229011,126,57,34,10,0,243
X3,2021,2021-01-01,2021-12-31,0.25587891393098117,0.2560749114137637,0.02368360906696565,0.007562406691831964,3.757422164052853,0.259756466986711,0.7646289113963646,0.7402435330132889,196769.08975900075,10.582079678341694,0.0005883411653220261,0.057169141047554856,0.6286869935669006,0.15710078276869222,0.09384050475982117,0.09416358111561965,2362599.149150092,1.0,108,34,13,6,2,243
