scale,period,reason,average_cash_NAV_share,share_of_unused_cash_NAV_days,cash_currency_days,negative_interaction_days,decision_waterfall_sum,decision_count_positive,method
X1,DISCOVERY,NO_QUALIFYING_OPPORTUNITY,0.07191152900454904,0.08253322162303733,435276392.17720133,0,2723619.309781824,1,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,DISCOVERY,SINGLE_SECURITY_CAP,0.5251429186986458,0.6027091551617859,3205390706.795534,0,794925577.4195944,199,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,DISCOVERY,LIQUIDITY_CAP,0.08048713407608975,0.09237548646872487,498316234.50399375,0,125307998.37984194,173,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,DISCOVERY,GROSS_CAP,0.0,0.0,0.0,0,0.0,0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,DISCOVERY,CASH_EXHAUSTED,0.0,0.0,0.0,0,0.0,0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,DISCOVERY,SOFT_RISK_BUDGET,0.19372231402821757,0.22233606903292377,1183161333.6833494,0,369543243.21940446,252,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,DISCOVERY,FAMILY_RISK_BUDGET,4.013898467055416e-05,4.6067713527951565e-05,245584.6555364996,0,245584.65553649957,1,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,VALIDATION,NO_QUALIFYING_OPPORTUNITY,0.04667731615696485,0.05326434427617737,185420330.91225797,0,0.0,0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,VALIDATION,SINGLE_SECURITY_CAP,0.5878051721718874,0.6707552969111619,2319563171.8474884,0,461216184.52978796,93,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,VALIDATION,LIQUIDITY_CAP,0.05645353373437443,0.06442016602503046,221362431.0142143,0,67980260.78447324,80,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,VALIDATION,GROSS_CAP,0.0,0.0,0.0,0,0.0,0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,VALIDATION,CASH_EXHAUSTED,0.0,0.0,0.0,0,0.0,0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,VALIDATION,SOFT_RISK_BUDGET,0.1845638273450482,0.2106091791476907,717571056.7899787,0,231427050.23503473,121,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,VALIDATION,FAMILY_RISK_BUDGET,0.000833404877958863,0.0009510136399395963,3349993.281582617,0,827857.2047966355,3,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,2024_POST_HOC,NO_QUALIFYING_OPPORTUNITY,0.12406662462333438,0.14295443102823946,291896556.3123126,0,8199350.225051336,1,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,2024_POST_HOC,SINGLE_SECURITY_CAP,0.528994264388247,0.609527939624473,1174595050.308768,0,218535190.47521028,38,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,2024_POST_HOC,LIQUIDITY_CAP,0.05453644098578902,0.06283902633039247,123128262.54971074,0,43648615.99172811,41,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,2024_POST_HOC,GROSS_CAP,0.0,0.0,0.0,0,0.0,0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,2024_POST_HOC,CASH_EXHAUSTED,0.0,0.0,0.0,0,0.0,0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,2024_POST_HOC,SOFT_RISK_BUDGET,0.15978855127655936,0.18411463600236455,360414750.5278239,0,135121161.93277636,57,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,2024_POST_HOC,FAMILY_RISK_BUDGET,0.0004894530612896072,0.0005639670145304008,1129866.1293045816,0,626786.0869905408,2,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,2025_POST_HOC,NO_QUALIFYING_OPPORTUNITY,0.032532195227417834,0.03958369314908873,82903171.89170259,0,0.0,0,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
X1,2025_POST_HOC,SINGLE_SECURITY_CAP,0.4570166864814863,0.5560770847228291,1171040587.9194775,0,343920704.7013113,62,EXCLUSIVE_SIGNED_SNAPSHOT_WATERFALL_WITH_CASH_PROVENANCE; ORDER_DEPENDENT_NOT_SHAPLEY
