scale,strategy,upstream_request_count,qualifying_requests,funded_requests,state_dependent_request_keys_added,state_dependent_request_keys_absent,producer_rules
X1,ATRDR,4957,2121,2088,0,0,UNCHANGED
X1,MCB,2591,66,65,0,0,UNCHANGED
X1,OGR,485,485,393,0,0,UNCHANGED
X1,SMV6,272,272,205,0,0,UNCHANGED
X1.5,ATRDR,4957,2119,2089,0,0,UNCHANGED
X1.5,MCB,2591,66,65,0,0,UNCHANGED
X1.5,OGR,506,506,374,21,0,UNCHANGED
X1.5,SMV6,272,272,222,0,0,UNCHANGED
X2,ATRDR,4952,2244,2064,0,5,UNCHANGED
X2,MCB,2591,66,65,0,0,UNCHANGED
X2,OGR,506,506,370,21,0,UNCHANGED
X2,SMV6,275,275,233,4,1,UNCHANGED
X3,ATRDR,5002,2477,1981,51,6,UNCHANGED
X3,MCB,2591,108,24,0,0,UNCHANGED
X3,OGR,507,507,343,22,0,UNCHANGED
X3,SMV6,275,275,246,4,1,UNCHANGED
X5,ATRDR,5096,2572,1761,141,2,UNCHANGED
X5,MCB,2591,31,17,0,0,UNCHANGED
X5,OGR,510,510,339,25,0,UNCHANGED
X5,SMV6,299,299,252,48,21,UNCHANGED
X8,ATRDR,5107,2718,1610,150,0,UNCHANGED
X8,MCB,2591,31,11,0,0,UNCHANGED
X8,OGR,510,510,335,25,0,UNCHANGED
X8,SMV6,343,343,246,102,31,UNCHANGED
X10,ATRDR,5108,2738,1550,151,0,UNCHANGED
X10,MCB,2591,31,13,0,0,UNCHANGED
X10,OGR,510,510,330,25,0,UNCHANGED
X10,SMV6,352,352,237,103,23,UNCHANGED
MAX_FILL,ATRDR,5109,2742,1486,152,0,UNCHANGED
MAX_FILL,MCB,2591,30,6,0,0,UNCHANGED
MAX_FILL,OGR,510,510,328,25,0,UNCHANGED
MAX_FILL,SMV6,386,386,220,153,39,UNCHANGED
