X,Y,CAGR_delta_pp,MaxDD_delta_pp,CAGR_not_lower_and_MaxDD_not_higher,strict_improvement
X1,0.1,0.0,0.0,True,False
X1,0.15,0.0,0.0,True,False
X1,0.2,0.0,0.0,True,False
X1,0.3,0.0,0.0,True,False
X1.5,0.1,0.0,0.0,True,False
X1.5,0.15,0.0,0.0,True,False
X1.5,0.2,0.0,0.0,True,False
X1.5,0.3,0.0,0.0,True,False
X2,0.1,0.0,0.0,True,False
X2,0.15,0.0,0.0,True,False
X2,0.2,0.0,0.0,True,False
X2,0.3,0.0,0.0,True,False
X3,0.1,0.0,0.0,True,False
X3,0.15,0.0,0.0,True,False
X3,0.2,0.0,0.0,True,False
X3,0.3,0.0,0.0,True,False
X5,0.1,0.0,0.0,True,False
X5,0.15,0.0,0.0,True,False
X5,0.2,0.0,0.0,True,False
X5,0.3,0.0,0.0,True,False
X8,0.1,0.0,0.0,True,False
X8,0.15,0.4340729972018398,0.5772233652577063,False,True
X8,0.2,0.4340729972018398,0.5772233652577063,False,True
X8,0.3,0.4340729972018398,0.5772233652577063,False,True
X10,0.1,0.0,0.0,True,False
X10,0.15,0.8900067497761066,0.8104342192441938,False,True
X10,0.2,0.9836539980693448,0.7732488474862076,False,True
X10,0.3,0.9836539980693448,0.7732488474862076,False,True
MAX_FILL,0.1,0.0,0.0,True,False
MAX_FILL,0.15,-1.6452557797708822,6.72390891045197,False,False
MAX_FILL,0.2,-3.4642348934814216,13.963820020731143,False,False
MAX_FILL,0.3,-6.000665880209954,17.905421364913888,False,False
