case_id,strategy,timestamp,qualifying_requests,joint_feasible_upper_share,account_tail_risk,account_tail_budget,cash_after_fraction,security_risk_aggregated,family_enforced,liquidity_enforced,strategy_cap,dates_upper_gt50,dates_upper_gt75,dates_upper_ge95,test,interpretation
R0_RP75_S10_F1,ATRDR,2025-01-15 09:30:00,20,0.2128312589408346,0.014011211937351237,0.05704468743587214,0.7867430785412829,True,True,True,NONE,0,0,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R0_RP75_S10_F1,MCB,2019-09-10 09:30:00,10,0.05681486309073864,0.007011102302824289,0.05704468743587214,0.9430715071830794,True,True,True,NONE,0,0,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R0_RP75_S10_F1,OGR,2018-10-29 09:30:00,140,0.7472914039403982,0.04726915403813506,0.05704468743587214,0.25121401325172305,True,True,True,NONE,1,0,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R0_RP75_S10_F1,SMV6,2021-01-04 09:30:00,5,0.060922759186295895,0.00350283147827517,0.05704468743587214,0.9390650562618668,True,True,True,NONE,0,0,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R1_RP100_S10_F1,ATRDR,2025-01-15 09:30:00,20,0.283775011921113,0.018681615916468317,0.07605958324782952,0.7156574380550444,True,True,True,NONE,0,0,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R1_RP100_S10_F1,MCB,2019-09-10 09:30:00,10,0.07577117365727698,0.009350360472888843,0.07605958324782952,0.924077283995409,True,True,True,NONE,0,0,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R1_RP100_S10_F1,OGR,2018-10-29 09:30:00,140,0.996388538587198,0.0630255387175135,0.07605958324782952,0.0016186843356287446,True,True,True,NONE,2,1,1,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R1_RP100_S10_F1,SMV6,2021-01-04 09:30:00,5,0.08123058975317649,0.004670456009981365,0.07605958324782952,0.9187531641288725,True,True,True,NONE,0,0,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R1_RP75_S10_F0,ATRDR,2025-01-15 09:30:00,20,0.2128312589408346,0.014011211937351237,0.05704468743587214,0.7867430785412844,True,False,True,NONE,0,0,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R1_RP75_S10_F0,MCB,2019-09-10 09:30:00,10,0.05681448417600786,0.0070110555437581405,0.05704468743587214,0.9430718868556394,True,False,True,NONE,0,0,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R1_RP75_S10_F0,OGR,2018-10-29 09:30:00,140,0.9018355718171399,0.05704468743587212,0.05704468743587214,0.09636075703922678,True,False,True,NONE,1,1,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
R1_RP75_S10_F0,SMV6,2021-01-04 09:30:00,5,0.060922759067518095,0.0035028314714458894,0.05704468743587214,0.9390650563806681,True,False,True,NONE,0,0,0,OPTIMISTIC_FLAT_BOOK_SAME_CLOCK_FEASIBILITY_NOT_NAV,"If this upper bound is below a threshold, that historical batch cannot reach it even with all cash; accumulated actual holdings are reported separately. ETF lot rounding can only reduce this bound."
