case_id,matched_family_OFF,period,delta_CAGR,delta_MaxDD,delta_CVaR5,delta_Sharpe,delta_net_pnl,incremental
R0_RP75_S10_F1,R0_RP75_S10_F0,DISCOVERY,0.0006258784826083108,-1.3553868600385544e-08,-1.3053791878999722e-05,0.016882509539541513,15510.10084291175,True
R0_RP75_S15_F1,R0_RP75_S15_F0,DISCOVERY,0.0006258784826083108,-1.3553868600385544e-08,-1.3053791878999722e-05,0.016882509539541513,15510.10084291175,True
R0_RP75_S20_F1,R0_RP75_S20_F0,DISCOVERY,0.0006258784826083108,-1.3553868600385544e-08,-1.3053791878999722e-05,0.016882509539541513,15510.10084291175,True
R0_RP100_S10_F1,R0_RP100_S10_F0,DISCOVERY,0.0008961210013092025,-1.162588667093234e-06,-1.691989901099998e-05,0.016583198825490086,23850.41818576958,True
R0_RP100_S15_F1,R0_RP100_S15_F0,DISCOVERY,0.0008961210013092025,-1.162588667093234e-06,-1.691989901099998e-05,0.016583198825490086,23850.41818576958,True
R0_RP100_S20_F1,R0_RP100_S20_F0,DISCOVERY,0.0008961210013092025,-1.162588667093234e-06,-1.691989901099998e-05,0.016583198825490086,23850.41818576958,True
R0_RP125_S10_F1,R0_RP125_S10_F0,DISCOVERY,0.001335798630926588,-2.1508833843997266e-06,-1.0692709003199546e-05,0.016754472796079778,37681.324802034535,True
R0_RP125_S15_F1,R0_RP125_S15_F0,DISCOVERY,0.001335798630926588,-2.1508833843997266e-06,-1.0692709003199546e-05,0.016754472796079778,37681.324802034535,True
R0_RP125_S20_F1,R0_RP125_S20_F0,DISCOVERY,0.001335798630926588,-2.1508833843997266e-06,-1.0692709003199546e-05,0.016754472796079778,37681.324802034535,True
R0_RP150_S10_F1,R0_RP150_S10_F0,DISCOVERY,0.0008102320793514917,-1.0610269979199893e-05,-2.8735920842600307e-05,0.012168874186405443,24133.979161487892,True
R0_RP150_S15_F1,R0_RP150_S15_F0,DISCOVERY,0.0008102320793514917,-1.0610269979199893e-05,-2.8735920842600307e-05,0.012168874186405443,24133.979161487892,True
R0_RP150_S20_F1,R0_RP150_S20_F0,DISCOVERY,0.0008102320793514917,-1.0610269979199893e-05,-2.8735920842600307e-05,0.012168874186405443,24133.979161487892,True
R1_RP75_S10_F1,R1_RP75_S10_F0,DISCOVERY,-0.0007372587478255976,-2.0122792321330962e-16,-2.1200772505200298e-05,-0.004257404955612998,-18324.1359068444,True
R1_RP75_S15_F1,R1_RP75_S15_F0,DISCOVERY,-0.0007372587478255976,-2.0122792321330962e-16,-2.1200772505200298e-05,-0.004257404955612998,-18324.1359068444,True
R1_RP75_S20_F1,R1_RP75_S20_F0,DISCOVERY,-0.0007372587478255976,-2.0122792321330962e-16,-2.1200772505200298e-05,-0.004257404955612998,-18324.1359068444,True
R1_RP100_S10_F1,R1_RP100_S10_F0,DISCOVERY,-1.6377289366001357e-05,6.382593552400201e-05,-3.096898126329992e-05,0.011565665367596178,-438.0818424541503,False
R1_RP100_S15_F1,R1_RP100_S15_F0,DISCOVERY,-1.6377289366001357e-05,6.382593552400201e-05,-3.096898126329992e-05,0.011565665367596178,-438.0818424541503,False
R1_RP100_S20_F1,R1_RP100_S20_F0,DISCOVERY,-1.6377289366001357e-05,6.382593552400201e-05,-3.096898126329992e-05,0.011565665367596178,-438.0818424541503,False
R1_RP125_S10_F1,R1_RP125_S10_F0,DISCOVERY,0.0001264590291867873,-2.9277208615022254e-06,-1.3401405565400398e-05,0.003406080213940843,3595.9057534402236,True
