case_id,period,group,requests,known_lifecycle,median_native_return,median_capital_days
R0_RP75_S10_F0,DISCOVERY,FUNDED,1317,1179,0.0585777163621475,20.875968369773855
R0_RP75_S10_F0,DISCOVERY,REJECTED,2209,811,0.0426958582834347,21.9790717252766
R0_RP75_S10_F1,DISCOVERY,FUNDED,1318,1179,0.0585777163621475,20.875968369773855
R0_RP75_S10_F1,DISCOVERY,REJECTED,2208,811,0.0426958582834347,21.9790717252766
R0_RP75_S15_F0,DISCOVERY,FUNDED,1317,1179,0.0585777163621475,20.875968369773855
R0_RP75_S15_F0,DISCOVERY,REJECTED,2209,811,0.0426958582834347,21.9790717252766
R0_RP75_S15_F1,DISCOVERY,FUNDED,1318,1179,0.0585777163621475,20.875968369773855
R0_RP75_S15_F1,DISCOVERY,REJECTED,2208,811,0.0426958582834347,21.9790717252766
R0_RP75_S20_F0,DISCOVERY,FUNDED,1317,1179,0.0585777163621475,20.875968369773855
R0_RP75_S20_F0,DISCOVERY,REJECTED,2209,811,0.0426958582834347,21.9790717252766
R0_RP75_S20_F1,DISCOVERY,FUNDED,1318,1179,0.0585777163621475,20.875968369773855
R0_RP75_S20_F1,DISCOVERY,REJECTED,2208,811,0.0426958582834347,21.9790717252766
R0_RP100_S10_F0,DISCOVERY,FUNDED,1324,1181,0.0585777163621475,20.893241765057457
R0_RP100_S10_F0,DISCOVERY,REJECTED,2202,809,0.0426958582834347,21.9790717252766
R0_RP100_S10_F1,DISCOVERY,FUNDED,1323,1181,0.0585777163621475,20.893241765057457
R0_RP100_S10_F1,DISCOVERY,REJECTED,2203,809,0.0426958582834347,21.9790717252766
R0_RP100_S15_F0,DISCOVERY,FUNDED,1324,1181,0.0585777163621475,20.893241765057457
R0_RP100_S15_F0,DISCOVERY,REJECTED,2202,809,0.0426958582834347,21.9790717252766
R0_RP100_S15_F1,DISCOVERY,FUNDED,1323,1181,0.0585777163621475,20.893241765057457
R0_RP100_S15_F1,DISCOVERY,REJECTED,2203,809,0.0426958582834347,21.9790717252766
R0_RP100_S20_F0,DISCOVERY,FUNDED,1324,1181,0.0585777163621475,20.893241765057457
R0_RP100_S20_F0,DISCOVERY,REJECTED,2202,809,0.0426958582834347,21.9790717252766
R0_RP100_S20_F1,DISCOVERY,FUNDED,1323,1181,0.0585777163621475,20.893241765057457
R0_RP100_S20_F1,DISCOVERY,REJECTED,2203,809,0.0426958582834347,21.9790717252766
R0_RP125_S10_F0,DISCOVERY,FUNDED,1326,1179,0.0585777163621475,20.893241765057457
R0_RP125_S10_F0,DISCOVERY,REJECTED,2200,811,0.0426958582834347,21.9790717252766
R0_RP125_S10_F1,DISCOVERY,FUNDED,1329,1181,0.0585777163621475,20.893241765057457
R0_RP125_S10_F1,DISCOVERY,REJECTED,2197,809,0.0426958582834347,21.9790717252766
R0_RP125_S15_F0,DISCOVERY,FUNDED,1326,1179,0.0585777163621475,20.893241765057457
R0_RP125_S15_F0,DISCOVERY,REJECTED,2200,811,0.0426958582834347,21.9790717252766
R0_RP125_S15_F1,DISCOVERY,FUNDED,1329,1181,0.0585777163621475,20.893241765057457
R0_RP125_S15_F1,DISCOVERY,REJECTED,2197,809,0.0426958582834347,21.9790717252766
R0_RP125_S20_F0,DISCOVERY,FUNDED,1326,1179,0.0585777163621475,20.893241765057457
R0_RP125_S20_F0,DISCOVERY,REJECTED,2200,811,0.0426958582834347,21.9790717252766
R0_RP125_S20_F1,DISCOVERY,FUNDED,1329,1181,0.0585777163621475,20.893241765057457
R0_RP125_S20_F1,DISCOVERY,REJECTED,2197,809,0.0426958582834347,21.9790717252766
R0_RP150_S10_F0,DISCOVERY,FUNDED,1329,1181,0.0585777163621475,20.893241765057457
R0_RP150_S10_F0,DISCOVERY,REJECTED,2197,809,0.0426958582834347,21.9790717252766
