group,period,opportunities,completed,independent_dates,mean,median,p10,p25,p75,p90,positive_fraction,profit_factor,MAE_median,MAE_p10,MFE_median,MFE_p75,MFE_p90,holding_days,capital_days,giveback,top5_event_concentration,top5_symbol_concentration
BULL,DISCOVERY,813,813,112,0.02502506024062752,0.01309635630699377,-0.09148160972377006,-0.05297601518274923,0.1454091816367258,0.1454091816367265,0.5387453874538746,1.8866883818291125,-0.047702194239308694,-0.11506280368555835,0.05614014689068487,0.10316556968707198,0.1321695566220216,22.0,22.042118803537814,0.0403103963802954,0.018074713350002856,0.03936697059932393
BULL,VALIDATION,357,357,61,0.02071546109892134,0.011390346719688041,-0.07575487313860889,-0.03494656026156102,0.0719902107549666,0.14540918163672656,0.5854341736694678,1.9232524571393355,-0.026883888084180702,-0.09021929131323822,0.05010861810515519,0.08331431510844026,0.11555530104791821,22.0,21.983073079182187,0.0371691225195496,0.04719360900127855,0.06730806460164421
BULL,POST_HOC,919,905,95,0.06110168432626285,0.09705227226706015,-0.07579810227485737,-0.0132572065171907,0.14540918163672645,0.1454091816367307,0.7060773480662983,4.1843350116848,-0.019863087124982862,-0.10415465910390385,0.11266658037008467,0.1547993256784683,0.26078221572821736,22.0,20.59126004905332,0.03981261779078443,0.012299728321699403,0.02225337327033917
MCB,DISCOVERY,75,75,22,0.03347933116041803,0.0175821641914726,-0.07800008323544261,-0.03936047078589332,0.14540918163672623,0.14540918163672653,0.6133333333333333,2.3537020996274576,-0.04322356403679424,-0.12912416778176106,0.07637289523517071,0.10716012034503897,0.12512853991986966,22.0,21.65952949020571,0.03868797194151945,0.16653112108899235,0.16653112108899226
MCB,VALIDATION,99,99,10,0.02634631393960412,0.0141970467126211,-0.040576391622174635,-0.01066125711806015,0.0508452536072986,0.14540918163672772,0.6565656565656566,3.293767820664962,-0.015371319217231,-0.057109298197831115,0.0392111704193428,0.07000083770017945,0.1125435331108163,22.0,22.091910249031596,0.0223080255783717,0.19411685698921427,0.19411685698921427
MCB,POST_HOC,37,37,14,0.018904608310611935,0.0215466502891652,-0.12828139754485365,-0.04979384297099234,0.14540918163672642,0.14540918163672653,0.5135135135135135,1.4830082648690524,-0.03163969091519922,-0.14646871149758706,0.04022723783202835,0.1291702309666381,0.20321151602990528,22.0,21.245280920689314,0.04477212127706052,0.3385348769420787,0.3385348769420787
SLOW,DISCOVERY,383,383,81,0.054712040319634246,0.09560878243512967,-0.04110630517264678,0.019898189509915412,0.09560878243513027,0.0956087824351409,0.8172323759791122,5.437570425987585,-0.02003716478300607,-0.09235558403026062,0.0646354350123285,0.08153315080331522,0.09262155779447309,15.229166666666666,15.625337772109209,-0.009859164169606666,0.01909595375549433,0.03723543797153262
SLOW,VALIDATION,104,104,31,0.03996438219877507,0.09495471768822156,-0.08303938283275476,-0.010206466535774332,0.09560878243512981,0.09560878243513003,0.6923076923076923,3.1995506701661176,-0.02015700951809333,-0.09348617181176089,0.05517562325258418,0.07640568321389085,0.09236686793753023,22.729166666666668,23.527328418601535,0.006460754271784976,0.07906901482570977,0.08535306058183642
SLOW,POST_HOC,187,187,33,0.018374448046042838,0.09560878243512967,-0.1307415606318729,-0.04598559237027264,0.09560878243512984,0.09560878243512995,0.6577540106951871,1.463245630958335,-0.057204739457255745,-0.1408981412904625,0.05130054028069511,0.07946504283228828,0.0999770242568698,22.229166666666668,21.49844434265797,0.0034126868214790773,0.04404594977442691,0.06230129547875022
SMV6,DISCOVERY,77,77,39,0.03366259351825931,0.011240246456852204,-0.04224557151990564,-0.023116864387912283,0.06523121365473844,0.16797778987130824,0.5584415584415584,3.5568662692711106,-0.011108644794013973,-0.04191841786748622,0.042107005571594774,0.14126519148542754,0.24378569249676343,24.229166666666668,22.796477680169808,0.04347975003959457,0.28282294798027496,0.7113140379954108
SMV6,VALIDATION,32,32,15,0.025353300656320923,0.03251804242418592,-0.020322812247294368,0.008872380475909717,0.0438067129212614,0.06058228409768958,0.78125,5.894202386297499,-0.00525621980507119,-0.037982485564815996,0.07826611252493075,0.11727518282813261,0.12610821275614725,32.11458333333333,31.84664629239285,0.045191484896130014,0.3767126876129079,0.6840747346263825
SMV6,POST_HOC,106,106,48,0.04196518066493216,0.006903922581904495,-0.026091398351364335,-0.01151128427058849,0.038077258282678855,0.2206139356823751,0.5754716981132075,6.07650004652632,-0.007911028278355985,-0.027850297737301397,0.025377202531164735,0.06769268961702059,0.25286150622227566,17.229166666666668,15.834299362071636,0.020203524204336583,0.3266081009419155,0.45381909078986354
GAP,DISCOVERY,255,255,55,0.06677055830632897,0.06851952350344812,0.0075728367731745265,0.04533482394291575,0.09481511496887776,0.12337309324930827,0.9098039215686274,11.25192940630814,-0.013600705565612822,-0.06974501568438911,0.043134745766863984,0.06665892814198535,0.0917403406868617,10.032638888888888,10.323800515251799,-0.02487575735183061,0.05920186386812492,0.0615064587029901
GAP,VALIDATION,44,44,25,0.058269456631592866,0.05794047527184008,-0.018223593126492754,0.021310322063581244,0.08625535538134645,0.15339200482959872,0.8409090909090909,8.945585131328876,-0.008959424189446426,-0.0680722259288995,0.04297991921745244,0.06057684576120545,0.11947059865432345,15.14236111111111,15.34542799281425,-0.009168972509417804,0.32839138030249454,0.32839138030249454
GAP,POST_HOC,113,113,39,0.05440597750071402,0.06147329753638273,-0.06066395675825145,0.03690364989633687,0.10090674192068194,0.1657850356026711,0.8407079646017699,3.433646743468246,-0.01011811575221885,-0.12582859003502586,0.04113294586281204,0.07815864334323466,0.13107871844207605,11.008333333333333,11.125119670161936,-0.020709374900991506,0.1610440090035483,0.1610440090035483
FAST,DISCOVERY,32,32,12,0.06776070169543802,0.0956087824351298,0.0022226875888113847,0.08286688342065829,0.09560878243513005,0.0956087824351302,0.90625,9.246221311965279,-0.030906211261505435,-0.08285171411479139,0.07228763383196285,0.08248017787837457,0.10203780932572377,15.229166666666668,15.387248212963824,-0.015007924781235318,0.1966213261048881,0.1966213261048881
FAST,VALIDATION,41,41,11,0.03239184166960611,0.09560878243512955,-0.10418869772088857,-0.018846721173611154,0.09560878243512991,0.09560878243512999,0.7317073170731707,2.175841940743461,-0.03447283094321474,-0.14087181276710922,0.057675381673126074,0.0700248986562955,0.07785592620403656,16.229166666666668,15.857666435020734,-0.004457751164337942,0.1945225245366688,0.1945225245366688
FAST,POST_HOC,36,36,6,0.0667957845551528,0.09560878243512978,-0.02936051650489073,0.09560878243512964,0.09560878243512994,0.09560878243513002,0.8333333333333334,7.688015536613311,-0.05135911345906671,-0.10824619182323847,0.05771823861959373,0.07807004217301243,0.09309084621252123,22.229166666666668,22.522929437118478,-0.020181436443382703,0.17294151408473044,0.17294151408473046
MCB_CONFIRMED_BULL,DISCOVERY,557,557,55,0.031133542069332793,0.025248585398011267,-0.08790289897949419,-0.05428548842908247,0.14540918163672611,0.14540918163672656,0.5565529622980251,2.1423944303859668,-0.04367337559643689,-0.10360495939338399,0.06668069424839923,0.1059762653278105,0.135990062664959,22.0,22.309061905649987,0.04241574787851869,0.02324396892997874,0.05240343411017614
MCB_CONFIRMED_BULL,VALIDATION,248,248,27,0.03154359945511078,0.02082615270584111,-0.06757940993634391,-0.031468076276222,0.1454091816367222,0.14540918163672664,0.6169354838709677,2.593561806523822,-0.023044962932377427,-0.08384443146279932,0.05440386312830473,0.08874750022824342,0.1207665373581525,22.0,21.96861017447919,0.033416661551357515,0.05710461589559018,0.08144325592154508
