case,batches,multi_request_same_security_batches,native_fallback_batches,max_registered_total_target_to_shared_cap,max_fallback_total_target_to_sum_native_caps,binding_batches,status
cost/R0_RP75_S10_F1_C150,4040,21,14,1.0,1.0,0,PASS
cost/R0_RP75_S10_F1_C200,4040,21,14,1.0,1.0,0,PASS
cost/R1_RP100_S10_F1_C150,4087,22,14,1.0,1.0,0,PASS
cost/R1_RP100_S10_F1_C200,4087,22,14,1.0,1.0,0,PASS
cost/R1_RP75_S10_F0_C150,4087,22,14,1.0,1.0,0,PASS
cost/R1_RP75_S10_F0_C200,4042,22,14,1.0,1.0,0,PASS
determinism/R0_RP75_S10_F0,1882,8,12,1.0,1.0,0,PASS
diagnostic/R0_RP75_S10_F1,4040,21,14,1.0,1.0,0,PASS
diagnostic/R1_RP100_S10_F1,4066,22,14,1.0,1.0,0,PASS
diagnostic/R1_RP75_S10_F0,4087,22,14,1.0,1.0,0,PASS
discovery/R0_RP100_S10_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP100_S10_F1,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP100_S15_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP100_S15_F1,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP100_S20_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP100_S20_F1,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP125_S10_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP125_S10_F1,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP125_S15_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP125_S15_F1,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP125_S20_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP125_S20_F1,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP150_S10_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP150_S10_F1,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP150_S15_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP150_S15_F1,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP150_S20_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP150_S20_F1,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP75_S10_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP75_S10_F1,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP75_S15_F0,1882,8,12,1.0,1.0,0,PASS
discovery/R0_RP75_S15_F1,1882,8,12,1.0,1.0,0,PASS
