symbol,raw_max_diff,pre_adj_max_diff,new_end
159998.SZ,0.0,0.0,2026-09-16
515900.SH,0.0,0.0,2026-09-16
512200.SH,0.0,0.0,2026-09-16
515450.SH,0.0,0.014999999999999902,2026-09-16
515790.SH,0.0,0.0,2026-09-16
560280.SH,0.0,0.0,2026-09-16
510210.SH,0.0,0.0,2026-09-16
159201.SZ,0.0,0.0,2026-09-16
159235.SZ,0.0,0.0,2026-09-16
561580.SH,0.0,0.004999999999999893,2026-09-16
588200.SH,0.0,0.0,2026-09-16
589680.SH,0.0,0.0,2026-09-16
562060.SH,0.0,0.0,2026-09-16
159758.SZ,0.0,0.0,2026-09-16
515400.SH,0.0,0.0,2026-09-16
510180.SH,0.0,0.0,2026-09-16
560050.SH,0.0,0.0,2026-09-16
510300.SH,0.0,0.0,2026-09-16
159387.SZ,0.0,0.0,2026-09-16
159325.SZ,0.0,1.055,2026-09-16
561980.SH,0.0,0.0,2026-09-16
159638.SZ,0.0,0.0,2026-09-16
515800.SH,0.0,0.0,2026-09-16
588220.SH,0.0,0.0,2026-09-16
516350.SH,0.0,0.0,2026-09-16
159883.SZ,0.0,0.0,2026-09-16
159992.SZ,0.0,0.0,2026-09-16
159870.SZ,0.0,0.0,2026-09-16
588790.SH,0.0,0.0,2026-09-16
515180.SH,0.0,0.0,2026-09-16
515300.SH,0.0,0.0,2026-09-16
512950.SH,0.0,0.0,2026-09-16
512940.SH,0.0,0.0,2026-09-16
512800.SH,0.0,0.0,2026-09-16
159623.SZ,0.0,0.0,2026-09-16
159732.SZ,0.0,0.0,2026-09-16
159790.SZ,0.0,0.0,2026-09-16
159825.SZ,0.0,0.0,2026-09-16
159530.SZ,0.0,0.0,2026-09-16
516510.SH,0.0,0.0,2026-09-16
588460.SH,0.0,0.0,2026-09-16
512690.SH,0.0,0.0,2026-09-16
512400.SH,0.0,0.08000000000000007,2026-09-16
510810.SH,0.0,0.0,2026-09-16
159736.SZ,0.0,0.0,2026-09-16
159997.SZ,0.0,0.0,2026-09-16
159667.SZ,0.0,0.0,2026-09-16
516970.SH,0.0,0.0,2026-09-16
159593.SZ,0.0,0.0,2026-09-16
159901.SZ,0.0,0.0,2026-09-16
515220.SH,0.0,0.0,2026-09-16
515230.SH,0.0,0.0,2026-09-16
159583.SZ,0.0,0.0,2026-09-16
159851.SZ,0.0,0.0,2026-09-16
516820.SH,0.0,0.0,2026-09-16
159865.SZ,0.0,0.0,2026-09-16
159766.SZ,0.0,0.0,2026-09-16
159905.SZ,0.0,0.0,2026-09-16
561380.SH,0.0,0.0,2026-09-16
516570.SH,0.0,0.0,2026-09-16
159781.SZ,0.0,0.0,2026-09-16
159993.SZ,0.0,0.0,2026-09-16
515210.SH,0.0,0.0,2026-09-16
159399.SZ,0.0,0.0029999999999998916,2026-09-16
560710.SH,0.0,0.0,2026-09-16
510500.SH,0.0,0.0,2026-09-16
159622.SZ,0.0,0.0,2026-09-16
159680.SZ,0.0,0.0,2026-09-16
159915.SZ,0.0,0.0,2026-09-16
159967.SZ,0.0,0.0,2026-09-16
563360.SH,0.0,0.0,2026-09-16
159876.SZ,0.0,0.0,2026-09-16
159697.SZ,0.0,0.0,2026-09-16
159601.SZ,0.0,0.0,2026-09-16
515050.SH,0.0,0.0,2026-09-16
562950.SH,0.0,0.0,2026-09-16
512880.SH,0.0,0.0,2026-09-16
562800.SH,0.0,0.0,2026-09-16
512890.SH,0.0,0.0,2026-09-16
512760.SH,0.0,0.0,2026-09-16
159209.SZ,0.0,0.0029999999999998916,2026-09-16
159611.SZ,0.0,0.0,2026-09-16
159852.SZ,0.0,0.0,2026-09-16
159516.SZ,0.0,0.0,2026-09-16
159796.SZ,0.0,0.0,2026-09-16
159625.SZ,0.0,0.0,2026-09-16
159837.SZ,0.0,0.0,2026-09-16
563230.SH,0.0,0.0,2026-09-16
