symbol,trade_date,max_abs_ohlc_error,volume_relative_error,amount_relative_error
600000.SH,2026-09-07,0.0,3.6904057707244075e-07,3.596558722230908e-10
600000.SH,2026-09-08,0.0,7.67746123495035e-07,1.8678461730569087e-10
600000.SH,2026-09-09,0.0,8.311489617227802e-07,6.416427028884598e-10
600000.SH,2026-09-10,0.0,7.026436028699846e-07,8.275135527822018e-10
600000.SH,2026-09-11,0.0,1.0715276385323359e-07,1.9846984451814777e-10
600000.SH,2026-09-14,0.0,1.2955532557182061e-08,5.676253367291146e-10
600000.SH,2026-09-15,0.0,2.350145254084779e-07,2.549245079689631e-10
600000.SH,2026-09-16,0.0,6.773527214352789e-07,1.2188659957975224e-10
600004.SH,2026-09-07,0.0,2.955394234813953e-06,1.2493083255831406e-09
600004.SH,2026-09-08,0.0,5.423184656725969e-06,1.7275028075438458e-09
600004.SH,2026-09-09,0.0,2.5611241379197945e-06,1.1931518765506652e-09
600004.SH,2026-09-10,0.0,2.6743338033920714e-07,5.637696639254889e-09
600004.SH,2026-09-11,0.0,0.0,0.0
600004.SH,2026-09-14,0.0,4.5165778732548885e-07,4.275098212578107e-09
600004.SH,2026-09-15,0.0,0.0,0.0
600004.SH,2026-09-16,0.0,5.888738180811743e-06,4.334320281191257e-09
600006.SH,2026-09-07,0.0,1.8762954647499433e-07,8.794322097200282e-09
600006.SH,2026-09-08,0.0,0.0,0.0
600006.SH,2026-09-09,0.0,6.041513085855696e-06,2.5150428642325272e-09
600006.SH,2026-09-10,0.0,0.0,1.5207725210030545e-16
600006.SH,2026-09-11,0.0,1.313831142360651e-06,5.398141556188212e-09
600006.SH,2026-09-14,0.0,2.4460777449120054e-06,1.9100547092973296e-09
600006.SH,2026-09-15,0.0,2.0000456677094126e-06,3.4195787227277484e-09
600006.SH,2026-09-16,0.0,1.5009495757490977e-07,4.613716564072246e-09
600007.SH,2026-09-07,0.0,3.912514608351419e-07,4.122006353703134e-10
600007.SH,2026-09-08,0.0,0.0,5.8309585511062964e-09
600007.SH,2026-09-09,0.0,2.997610904109425e-06,1.1794129325396884e-08
600007.SH,2026-09-10,0.0,0.0,0.0
600007.SH,2026-09-11,0.0,0.0,3.5742677021604565e-08
600007.SH,2026-09-14,0.0,1.6975014664526557e-05,1.0241092346777295e-08
600007.SH,2026-09-15,0.0,1.171522627959559e-05,6.984071701907511e-09
600007.SH,2026-09-16,0.0,2.384992672110015e-06,6.986648553808722e-09
600008.SH,2026-09-07,0.0,6.302287756587078e-07,1.2115125404513844e-09
600008.SH,2026-09-08,0.0,1.2409986839885863e-07,2.685117119477081e-09
600008.SH,2026-09-09,0.0,8.527207139659994e-07,3.2922257390303243e-09
600008.SH,2026-09-10,0.0,2.6488178723158537e-07,4.690732219245034e-10
600008.SH,2026-09-11,0.0,4.6231291865645293e-07,2.0228052105907806e-09
600008.SH,2026-09-14,0.0,5.410674232232089e-07,9.695605707632732e-10
600008.SH,2026-09-15,0.0,2.8689662770227936e-07,2.5842504011050853e-09
600008.SH,2026-09-16,0.0,4.7662091026491306e-07,5.325417548443116e-09
600009.SH,2026-09-07,0.0,4.277412814536535e-06,3.6731576697577485e-10
600009.SH,2026-09-08,0.0,3.6787111758019285e-06,3.5212401684963278e-09
600009.SH,2026-09-09,0.0,9.34910589825742e-07,1.6528525944049002e-09
600009.SH,2026-09-10,0.0,0.0,1.1462975297134404e-16
600009.SH,2026-09-11,0.0,2.056291669893902e-06,1.65052534854097e-09
600009.SH,2026-09-14,0.0,3.434643878949411e-06,1.2600996562575784e-09
600009.SH,2026-09-15,0.0,8.020501223743399e-06,4.1823196373061856e-09
600009.SH,2026-09-16,0.0,5.152872855438728e-06,7.334563474721008e-10
600012.SH,2026-09-07,0.0,2.5913735357205156e-06,2.445613108654464e-10
600012.SH,2026-09-08,0.0,0.0,2.990261688871766e-09
600012.SH,2026-09-09,0.0,3.1782259942182943e-06,1.7492046577700056e-09
600012.SH,2026-09-10,0.0,1.2779554348824837e-07,2.421818275000218e-10
600012.SH,2026-09-11,0.0,3.91635258334855e-06,2.331199588954085e-10
600012.SH,2026-09-14,0.0,5.052552865492201e-06,1.783031092638565e-09
600012.SH,2026-09-15,0.0,6.796457124081512e-06,5.195785739687447e-09
600012.SH,2026-09-16,0.0,0.0,5.241994821348055e-10
600015.SH,2026-09-07,0.0,1.3933032412343637e-07,2.224839414579739e-10
600015.SH,2026-09-08,0.0,3.6914869562772264e-07,1.011932494456879e-09
600015.SH,2026-09-09,0.0,1.2166913999750092e-07,4.225047805061129e-10
600015.SH,2026-09-10,0.0,1.4724966961907162e-07,5.08583661082555e-10
600015.SH,2026-09-11,0.0,4.573891516511379e-07,6.991274479019637e-10
600015.SH,2026-09-14,0.0,6.405584029444164e-08,4.019701242999278e-11
600015.SH,2026-09-15,0.0,3.92780845177967e-07,4.553731574006233e-10
600015.SH,2026-09-16,0.0,3.196832167270268e-07,7.075233736185288e-10
600016.SH,2026-09-07,0.0,5.960879108066506e-08,4.968495750753343e-10
600016.SH,2026-09-08,0.0,2.5727708889121525e-08,8.091661354952792e-11
600016.SH,2026-09-09,0.0,5.8625298883987313e-08,3.361175558244582e-10
600016.SH,2026-09-10,0.0,1.8989381327855277e-07,3.7406356972304424e-10
600016.SH,2026-09-11,0.0,1.944615843425055e-08,2.7041822254879303e-10
600016.SH,2026-09-14,0.0,1.4219426511434137e-07,1.478163709054971e-09
600016.SH,2026-09-15,0.0,1.1690942567923134e-07,4.062494560203116e-11
600016.SH,2026-09-16,0.0,9.473555469893562e-08,4.387436033922855e-10
600017.SH,2026-09-07,0.0,9.603027313204656e-07,5.7853962400436934e-09
600017.SH,2026-09-08,0.0,3.286220974042469e-07,2.2894657806141015e-09
600017.SH,2026-09-09,0.0,5.168786463527156e-08,1.6005072633341672e-09
600017.SH,2026-09-10,0.0,4.602751478806516e-07,4.342531473583324e-09
600017.SH,2026-09-11,0.0,3.1168811444530184e-07,4.3524700698260585e-09
600017.SH,2026-09-14,0.0,0.0,1.4681052576878293e-16
600017.SH,2026-09-15,0.0,1.672243713208292e-06,1.9154441996283923e-09
600017.SH,2026-09-16,0.0,1.2623928242837556e-06,3.4408492356537024e-09
600018.SH,2026-09-07,0.0,2.1707336446866693e-07,4.932080098920648e-10
600018.SH,2026-09-08,0.0,1.549940613250433e-08,1.3705300008457231e-09
600018.SH,2026-09-09,0.0,5.834067113124487e-08,1.5610840038571308e-09
600018.SH,2026-09-10,0.0,6.551713613121175e-07,3.6870381817189237e-10
600018.SH,2026-09-11,0.0,5.51650337536853e-07,1.3151699692067645e-10
600018.SH,2026-09-14,0.0,6.833657783139338e-07,1.4857940919322583e-09
600018.SH,2026-09-15,0.0,6.444839584720316e-07,7.834379541299374e-10
600018.SH,2026-09-16,0.0,2.3338059148868196e-07,1.905821989954716e-09
600020.SH,2026-09-07,0.0,3.6741028759302697e-06,4.042934071130461e-09
600020.SH,2026-09-08,0.0,6.51949557358848e-07,4.9889443836034056e-09
600020.SH,2026-09-09,0.0,4.932752605849883e-07,6.060221977021881e-09
