strategy,period,start,end,start_equity,end_equity,return_,CAGR,average_gross
ATRDR,全期,2018-01-01,2026-09-16,1591804.8951726859,4138465.6694628177,1.5998573581556044,0.1159519432388032,0.22800285569765105
ATRDR,4月至今,2026-04-01,2026-09-16,4020722.1097774077,4138465.6694628177,0.02928418241068842,0.06436803104392363,0.2005287393290547
ATRDR,7月至今,2026-07-01,2026-09-16,4143670.1748423753,4138465.6694628177,-0.0012560134276989876,-0.005867937158159808,0.15969713668881327
MCB,全期,2018-01-01,2026-09-16,1312977.2340191728,2342975.203908685,0.7844751174676283,0.06875715334441512,0.10791139290796073
MCB,4月至今,2026-04-01,2026-09-16,2286787.981588678,2342975.203908685,0.024570368032533096,0.053861086343457876,0.03748599217934319
MCB,7月至今,2026-07-01,2026-09-16,2342975.203908685,2342975.203908685,0.0,0.0,0.0
OGR,全期,2018-01-01,2026-09-16,1000000.0,1171816.5452958597,0.17181654529585977,0.018372413552644407,0.011255519440764089
OGR,4月至今,2026-04-01,2026-09-16,1166317.2697152446,1171816.5452958597,0.0047150768692276745,0.010218330134149634,0.01817499102792644
OGR,7月至今,2026-07-01,2026-09-16,1162624.6997516956,1171816.5452958597,0.007906115830953242,0.03756469195104706,0.02347787665082588
IFCGR,全期,2018-01-01,2026-09-16,1000000.0,1171255.198564647,0.1712551985646471,0.01831638661950863,0.010817318115980686
IFCGR,4月至今,2026-04-01,2026-09-16,1159058.1190934007,1171255.198564647,0.010523268221257709,0.022882376579651975,0.014379575916491255
IFCGR,7月至今,2026-07-01,2026-09-16,1160479.6559390745,1171255.198564647,0.009285421394873872,0.04423038842499927,0.020917783422351267
SMV6,全期,2018-01-01,2026-09-16,1000000.0,2817144.2533703228,1.8171442533703228,0.12628461338003283,0.18583473529950592
SMV6,4月至今,2026-04-01,2026-09-16,2453787.671408818,2817144.2533703228,0.14807987919871124,0.3477652976559775,0.21554459722368738
SMV6,7月至今,2026-07-01,2026-09-16,2842421.423811474,2817144.2533703228,-0.00889282997566787,-0.040965903927262515,0.024703726527023174
