variable,year,n,rank_corr_net_delta,rank_corr_delay_return,rank_corr_base_return
t1_open_extension_A,2020,49,-0.05989795918367346,0.19153061224489795,0.14581632653061224
t1_open_extension_A,2021,72,-0.010193909385596844,0.03701321672814501,0.08586037242758227
t1_open_extension_A,2022,61,0.015626859161322847,0.09024445062198795,0.055526910725512656
t1_open_extension_A,2023,64,-0.035760482608599854,-0.10606806397288293,-0.1093419109722618
t1_open_extension_A,ALL,246,0.000653342667993192,0.0691394538002592,0.0614452455757126
t1_open_gap_A,2020,49,0.03923569480089971,0.14418735176507488,0.09331870714024133
t1_open_gap_A,2021,72,-0.023363509264940564,-0.06563650710219365,-0.032930810030693924
t1_open_gap_A,2022,61,-0.12539051637152432,0.04034096410179503,0.041267429812794264
t1_open_gap_A,2023,64,-0.010918076776003954,-0.08268837558297112,-0.054429823927431474
t1_open_gap_A,ALL,246,-0.004962167338287689,0.02644956967232591,0.03166738580733669
t1_close_location,2020,49,-0.23285714285714285,0.07469387755102042,0.1704081632653061
t1_close_location,2021,72,-0.35028257672506846,-0.11799889059879176,-0.02013007371981023
t1_close_location,2022,61,-0.15748697750025423,0.09117110450316934,0.17266453376035257
t1_close_location,2023,64,-0.24606227106227102,0.21717032967032965,0.27829670329670325
t1_close_location,ALL,246,-0.28620888191031635,0.020391354562567694,0.11830072985959755
t1_upper_reversal_A,2020,49,0.3216326530612244,0.03653061224489795,-0.12285714285714285
t1_upper_reversal_A,2021,72,0.41665058846228065,0.05106437713036209,-0.12135828670654064
t1_upper_reversal_A,2022,61,0.3400846113167636,-0.1034902168164992,-0.22273929138022208
t1_upper_reversal_A,2023,64,0.3442765567765567,-0.2787545787545787,-0.3904761904761905
t1_upper_reversal_A,ALL,246,0.36796850770088135,-0.06895046560729198,-0.21957995086482746
t1_volume_vs20,2020,49,0.0011224489795918367,0.027551020408163266,0.046836734693877544
t1_volume_vs20,2021,72,0.19168435269149145,0.07006881471477266,-0.055662743584796455
t1_volume_vs20,2022,61,0.018455843469063985,-0.028662083553675298,-0.04722369116869381
t1_volume_vs20,2023,64,0.268543956043956,-0.1586996336996337,-0.23800366300366296
t1_volume_vs20,ALL,246,0.11894128244760922,-0.0242991558230876,-0.08320170568474253
t1_amount_vs20,2020,49,-0.0060204081632653055,0.046224489795918366,0.06683673469387755
t1_amount_vs20,2021,72,0.188275773361631,0.048041674705768866,-0.07022959675863401
t1_amount_vs20,2022,61,0.02940243257535695,-0.02659968270756213,-0.052353252247488095
t1_amount_vs20,2023,64,0.2476190476190476,-0.1556318681318681,-0.2257326007326007
t1_amount_vs20,ALL,246,0.11490922428021272,-0.02999417600554589,-0.08518307293293538
t1_close_extension_A,2020,49,-0.35459183673469385,0.17244897959183672,0.3474489795918367
t1_close_extension_A,2021,72,-0.4469740819345296,-0.14753360344716704,0.01566017107209467
t1_close_extension_A,2022,61,-0.36536224219989416,-0.02876784769962982,0.0943416181914331
t1_close_extension_A,2023,64,-0.5504578754578754,0.14748168498168499,0.356043956043956
t1_close_extension_A,ALL,246,-0.437928511979493,0.017561056218675875,0.19183915296147092
